instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿lou.kt.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.8107095032586,-85.47136896058329,,,,,,﻿Right Rev.,﻿Ben J. Flaget,﻿D.D,,,,,,1834,Bardstown
﻿lou.kt.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095032586,-85.47136896058329,,,,,,﻿Right Rev.,﻿John B. David,﻿D.D.,﻿Codaj.,,,,,1834,Bardstown
﻿lou.kt.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095032586,-85.47136896058329,,,,,,﻿Rev.,﻿Ignatius A. Reynolds,,,,,,,1834,Bardstown
﻿lou.kt.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095032586,-85.47136896058329,,,,,,﻿Rev.,﻿-- Petit,,,﻿and other gentlemen from the seminary,,,,1834,Bardstown
﻿lou.kt.9000,﻿cathedral,not recorded,English,,,,﻿Breckinridge County,,,,﻿KY,,37.8107095032586,-85.47136896058329,,,,,,﻿Rev.,﻿-- Rogers,,,,,,,1834,Bardstown
﻿lou.kt.9001,﻿cathedral,not recorded,English,,,,﻿Bullet County,﻿Bullitt County,,,﻿KY,,37.8107095032586,-85.47136896058329,,,,,,﻿Rev.,﻿J. Elliott,,,,,,,1834,Bardstown
﻿lou.kt.0074,﻿cathedral,not recorded,English,,,,﻿Casey County,﻿Casey County,,﻿Liberty,﻿KY,﻿KY,37.2885900964476,-85.0960577038259,,,,,,﻿Rev.,﻿David Deparq,,,,,,,1834,Bardstown
﻿lou.kt.9002,﻿cathedral,not recorded,English,,,,,,﻿Clare Creek,,﻿KY,,37.2885900964476,-85.0960577038259,,,,,,﻿Rev.,﻿Walter Coomes,,,,,,,1834,Bardstown
﻿lou.kt.0034,﻿church,﻿St. Patrick's,English,,,,﻿Mercer County,﻿Boyle County,﻿Danville,﻿Danville,﻿KY,﻿KY,37.646077327506,-84.7706978496893,,,,,,﻿Rev.,﻿D. Debarq,,,,,,,1834,Bardstown
﻿lou.kt.9003,﻿church,not recorded,English,,,,﻿Davies County,,,,﻿KY,,37.646077327506,-84.7706978496893,,,,,,﻿Rev.,﻿Charles Coomes,,,,,,,1834,Bardstown
﻿lou.kt.9004,﻿church,not recorded,English,,,,﻿Hardin County,﻿Hardin County,﻿Elizabethtown,﻿Elizabethtown,﻿KY,﻿KY,37.6999545682083,-85.87335512817579,,,,,,﻿Rev.,﻿Chas. Cecil,,,,,,,1834,Bardstown
﻿lou.kt.0038,﻿church,﻿St. Michael's,English,﻿Mass at 11,,,﻿Nelson County,﻿Nelson County,﻿Fairfield,﻿Fairfield,﻿KY,﻿KY,37.93178213,-85.38291799,,,,,,﻿Rev.,﻿J. Elliott,,,,,,,1834,Bardstown
﻿lou.kt.0045,﻿church,not recorded,English,,,,,,﻿Hendersonville,﻿Henderson,﻿KY,﻿KY,37.83895375,-87.58671155,,,,,,﻿-,﻿-,,,,,,,1834,Bardstown
﻿lou.kt.9005,﻿church,﻿Holy Cross,English,,,,﻿Washington County,,,,﻿KY,,37.83895375,-87.58671155,,,,,,﻿Rev.,﻿R. Byrne,,,,,,,1834,Bardstown
﻿lou.kt.9006,﻿church,﻿Holy Mary's,English,,,,﻿Washington County,,,,﻿KY,,37.83895375,-87.58671155,,,,,,﻿Rev.,﻿D. Deparq,,,,,,,1834,Bardstown
﻿lou.kt.9007,﻿church,not recorded,English,﻿Mass at 11,,,﻿Washington County,,﻿Lebanon,,﻿KY,,37.83895375,-87.58671155,,,,,,,,,,,,,,1834,Bardstown
﻿cov.kt.0028,﻿church,﻿St. Peter's,English,﻿Mass at 11,,,﻿Fayette County,﻿Fayette County,﻿Lexington,﻿Lexington,﻿KY,,38.04673404,-84.49459291,,,,,,﻿Rev.,﻿E. McMahon,,,﻿dw. at St. Pius,,,,1834,Bardstown
﻿lou.kt.0048,﻿church,not recorded,English,,,,,﻿Marion County,﻿Loretto,﻿Loretto,﻿KY,﻿KY,37.6728593,-85.44784585,,,,,,﻿Rev. Mr.,﻿Chabrat,,,,,,,1834,Bardstown
﻿lou.kt.0016,﻿church,﻿St. Louis's,English,﻿Mass at 11,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,﻿KY,38.23690764,-85.76363854,,,,,,﻿Rev.,﻿Robert A. Abell,,,,,,,1834,Bardstown
﻿lou.kt.0016,﻿church,﻿St. Louis's,English,﻿Mass at 11,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.23690764,-85.76363854,,,,,,﻿Rev.,﻿-- Hayden,,,,,,,1834,Bardstown
﻿lou.kt.0059,﻿church,not recorded,English,,,,﻿Union County,﻿Union County,﻿Morganfield,﻿Morganfield,﻿KY,﻿KY,37.682562969809204,-87.9215951978104,,,,,,﻿Rev.,﻿Elisha Durbin,,,,,,,1834,Bardstown
﻿lou.kt.0059,﻿church,not recorded,English,,,,﻿Union County,﻿Union County,﻿Morganfield,﻿Morganfield,﻿KY,,37.682562969809204,-87.9215951978104,,,,,,﻿Rev.,﻿Edward Clark,,,,,,,1834,Bardstown
﻿lou.kt.9008,﻿church,﻿St. Benedict,English,,,,﻿Nelson County,,,,﻿KY,,37.682562969809204,-87.9215951978104,,,,,,﻿Rev.,﻿Walter Coomes,,,,,,,1834,Bardstown
﻿lou.kt.9009,﻿church,﻿St. Charles's,English,,,,﻿Washington County,,,,﻿KY,,37.682562969809204,-87.9215951978104,,,,,,﻿Rev.,﻿David Debarq,,,,,,,1834,Bardstown
﻿lou.kt.9009,﻿church,﻿St. Charles's,English,,,,﻿Washington County,,,,﻿KY,,37.682562969809204,-87.9215951978104,,,,,,﻿Rev.,﻿John Wathen,,,,,,,1834,Bardstown
﻿lou.kt.0020,﻿church,﻿St. Joseph's,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8104203519326,-85.4716490055571,,,,,,,,,,,,,,1834,Bardstown
﻿cov.kt.0023,﻿church,﻿St. Pius,English,,,,﻿Scott County,,﻿Frankfort,,﻿KY,,37.8104203519326,-85.4716490055571,,,,,,﻿Rev.,﻿E. McMahon,,,,,,,1834,Bardstown
