instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿har.ct.0132,﻿church,﻿Holy Trinity,English,,,,,﻿Hartford County,﻿Hartford,﻿Hartford,﻿CT,﻿CT,41.7691004025693,-72.6784361285108,,,,,,﻿Rev.,﻿James Fitton,,,,,,,,Boston 
﻿har.ct.0132,﻿church,﻿Holy Trinity,English,,,,,﻿Hartford County,﻿Hartford,﻿Hartford,﻿CT,,41.7691004025693,-72.6784361285108,,,,,,﻿Rev.,﻿Francis Kiernan,,,,,,,,Boston 
﻿har.ct.9000,﻿church,﻿Christ's Church,English,,,,,﻿New Haven County,﻿New Haven,﻿New Haven,﻿CT,﻿CT,41.3121734425384,-72.9322694,,,,,,﻿Rev. Mr.,﻿McDermott,,,,,,,,Boston 
﻿har.ct.9000,﻿church,﻿Worcester Congregation,English,,,,,﻿New Haven County,﻿New Haven,﻿New Haven,﻿CT,,41.3121734425384,-72.9322694,,,,,,﻿Rev.,﻿James Fitton,,,,,,,,Boston 
﻿har.ct.0001,﻿church,not recorded,English,,,,,﻿Providence County,﻿Providence,﻿Providence,﻿RI,﻿RI,41.8192563523806,-71.4165555927615,,,,,,﻿Rev.,﻿Constantine Lee,,,,,,,,Boston 
﻿har.ct.0001,﻿church,not recorded,English,,,,,﻿Providence County,﻿Canton,﻿Providence,﻿RI,﻿RI,41.8192563523806,-71.4165555927615,,,,,,﻿Rev.,﻿Constantine Lee,,,,,,,,Boston 
﻿har.ct.0001,﻿church,not recorded,English,,,,,﻿Providence County,﻿Fall River,﻿Fall River,﻿RI,﻿RI,41.8192563523806,-71.4165555927615,,,,,,﻿Rev.,﻿Constantine Lee,,,,,,,,Boston 
﻿har.ct.0026,﻿church,not recorded,English,,,,,,﻿Pawtucket,﻿Pawtucket,﻿RI,﻿RI,41.8192563523806,-71.4165555927615,,,,,,﻿Rev.,﻿Constantine Lee,,,,,,,,Boston 
﻿har.ct.0025,﻿church,not recorded,English,﻿every other Sunday,,,,,﻿Newport,﻿Newport,﻿RI,﻿RI,41.4839326092396,-71.31239368789609,,,,,,﻿Rev.,﻿John Corry,,,,,,,,Boston 
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,﻿MA,42.3407786836978,-71.06950954047551,,,,,,﻿Right Rev.,﻿Benedict Fenwick,﻿D. D.,,,,,,,Boston 
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.3407786836978,-71.06950954047551,,,,,,﻿Very Rev.,﻿Wm. Tyler,,,,,,,,Boston 
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.3407786836978,-71.06950954047551,,,,,,﻿Very Rev.,﻿Michael Healy,,,,,,,,Boston 
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.3407786836978,-71.06950954047551,,,,,,﻿Rev. Mr.,﻿Curtin,,,,,,,,Boston 
﻿bos.ma.0001,﻿chapel,﻿St. Aloysius' Chapel,English,"﻿under the Cathedral, is appropriated exclusively to the use of the children of the Congregation",,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,﻿MA,42.3407786836978,-71.06950954047551,,﻿is served by one of the above-mentioned clergymen,,,,,,,,,,,,,Boston 
﻿bos.ma.0012,﻿church,﻿St. Augustin's Church,English,,﻿South Boston,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,﻿MA,42.334167,-71.049444,,,,,,﻿Rev.,﻿Thomas Lynch,,,,,,,,Boston 
﻿bos.ma.0055,﻿church,﻿St. Mary's,English,,,,,﻿Suffolk County,﻿Charlestown,﻿Charlestown,﻿MA,﻿MA,42.373402898102704,-71.0644585070973,,,,,,﻿Rev.,﻿Ed. J. McCool,,,,,,,,Boston 
﻿bos.ma.0109,﻿church,﻿St. Patrick's,English,,,,,﻿Middlesex County,﻿Lowell,﻿Lowell,﻿MA,﻿MA,42.645237513059996,-71.3177197413205,,,,,,﻿Rev.,﻿J. Mahoney,,,,,,,,Boston 
﻿bos.ma.0109,﻿church,﻿St. Patrick's,English,,,,,﻿Middlesex County,﻿Lowell,﻿Lowell,﻿MA,,42.645237513059996,-71.3177197413205,,,,,,﻿Rev. Mr.,﻿Conolly,,,,,,,,Boston 
﻿bos.ma.0129,﻿church,not recorded,English,﻿every other Sun.,,,,﻿Bristol County,﻿New Bedford,﻿New Bedford,﻿MA,﻿MA,41.63779641229671,-70.9597371308124,,,,,,﻿Rev.,﻿P. Canavan,,,,,,,,Boston 
﻿bos.ma.0152,﻿church,﻿St. Mary's,English,,,,,﻿Essex County,﻿Salem,﻿Salem,﻿MA,﻿MA,42.5212836936131,-70.8898947395781,,,,,,﻿Rev.,﻿Wm. Wiley,,,,,,,,Boston 
﻿bos.ma.0154,﻿church,﻿St. Peter's,English,﻿3d Sun.,,,,﻿Barnstable County,﻿Sandwich,﻿Sandwich,﻿MA,﻿MA,41.7614069400496,-70.4931098280286,,,,,,﻿Rev.,﻿P. Canavan,,,,,,,,Boston 
﻿bos.ma.0170,﻿church,﻿St. Mary's,English,﻿2d Sun.,,,,﻿Bristol County,﻿Taunton,﻿Taunton,﻿MA,﻿MA,41.9073059522244,-71.09254200986891,,,,,,﻿Rev.,﻿J. Corry,,,,,,,,Boston 
