instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿har.ct.0132,﻿church,﻿Holy Trinity,English,,,,,﻿Hartford County,﻿Hartford,﻿Hartford,﻿CT,﻿CT,41.7691004025693,-72.6784361285108,,,,,﻿jam_fitton_901,﻿Rev.,﻿James Fitton,,,,,,,1836.0,Boston
﻿har.ct.9000,﻿church,﻿Christ's Church,English,,,,,﻿New Haven County,﻿New Haven,﻿New Haven,﻿CT,﻿CT,41.3121734425384,-72.9322694,,,,,﻿jam_mdermott_901,﻿Rev.,﻿James M'Dermott,,,,,,,1836.0,Boston
﻿har.ct.0001,﻿church,not recorded,English,,,,,﻿Providence County,﻿Providence,﻿Providence,﻿RI,﻿RI,41.8192563523806,-71.4165555927615,,,,,﻿con_lee_901,﻿Rev.,﻿Constantine Lee,,,,,,,1836.0,Boston
﻿har.ct.0026,﻿church,not recorded,English,﻿once a month,,,,,﻿Pawtucket,﻿Pawtucket,﻿RI,﻿RI,41.8192563523806,-71.4165555927615,,,,,﻿con_lee_901,﻿Rev.,﻿Constantine Lee,,,,,,,1836.0,Boston
﻿har.ct.0025,﻿church,not recorded,English,﻿once in three weeks,,,,,﻿Newport,﻿Newport,﻿RI,﻿RI,41.4839326092396,-71.31239368789609,,,,,﻿joh_corry_901,﻿Rev.,﻿John Corry,,,,,,,1836.0,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,﻿MA,42.3407786836978,-71.06950954047551,,,,,﻿ben_fenwick_901,﻿Right Rev.,﻿Benedict Fenwick,﻿D. D.,,,,,,1836.0,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.3407786836978,-71.06950954047551,,,,,﻿wil_tyler_901,﻿Very Rev.,﻿Wil. Tyler,,,,,,,1836.0,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.3407786836978,-71.06950954047551,,,,,﻿mic_healy_901,﻿Very Rev.,﻿Michael Healy,,,,,,,1836.0,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.3407786836978,-71.06950954047551,,,,,﻿curtin_901,﻿Rev. Mr.,﻿Curtin,,,,,,,1836.0,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.3407786836978,-71.06950954047551,,,,,﻿wil_wiley_901,﻿Rev.,﻿Wil. Wiley,,,,,,,1836.0,Boston
﻿bos.ma.9001,﻿chapel,﻿St. Aloysius' Chapel,English,"﻿under the Cathedral, is appropriated exclusively to the use of the male children of the Congregation",,,,,﻿Boston,,﻿MA,﻿MA,42.3407786836978,-71.06950954047551,,,,,﻿pat_obeirne_901,﻿Rev.,﻿Patrick O'Beirne,,,,,,,1836.0,Boston
