instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,,,,,,,﻿wm_gleeson_001,﻿Very Rev.,﻿Wm. Gleeson,,"﻿V.G., Rector",,,,,1869.0,Buffalo
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,,,,,,,﻿d_moore_001,﻿Rev.,﻿D. Moore,,,,,,,1869.0,Buffalo
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,,,,,,,﻿j_mcevoy_001,﻿Rev.,﻿J. McEvoy,,,,,,,1869.0,Buffalo
﻿buf.ny.0006,﻿church,﻿St. Louis',﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,,,,,,,﻿jos_m_sorg_001,﻿Rev.,﻿Jos. M. Sorg,,,,,,,1869.0,Buffalo
﻿buf.ny.0008,﻿church,﻿St. Mary's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,,,,,,,﻿jb_hespelein_001,﻿Rev.,﻿J.B. Hespelein,﻿C.SS.R.,﻿Rector,,,,,1869.0,Buffalo
﻿buf.ny.0007,﻿church,﻿St. Boniface,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,,,,,,,﻿nic_sorg_001,﻿Rev.,﻿Nicholas Sorg,,,,,,,1869.0,Buffalo
﻿buf.ny.0011,﻿church,﻿St. Peter's,﻿French,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,,,,,,,﻿le_burton_001,﻿Rev.,﻿Le Burton,,,,,,,1869.0,Buffalo
﻿buf.ny.0009,﻿church,﻿St. Michael's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,,,,,,,﻿jos_m_durthaller_001,﻿Rev.,﻿J. Durthaller,﻿S.J.,﻿Superior,,,,,1869.0,Buffalo
﻿buf.ny.0009,﻿church,﻿St. Michael's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,,,,,,,﻿m_hoering_001,﻿Rev.,﻿M. Hoering,﻿S.J.,,,,,,1869.0,Buffalo
﻿buf.ny.0009,﻿church,﻿St. Michael's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,,,,,,,﻿cha_jansen_001,﻿Rev.,﻿Charles Jansen,﻿S.J.,,,,,,1869.0,Buffalo
