instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿sav.ga.0003,﻿church,﻿Holy Trinity Church,English,,,,,﻿Richmond County,﻿Augusta,﻿Augusta,﻿GA,﻿GA,33.47167613,-81.9668056,,,,,,﻿Rev.,﻿John Barry,,,,,,,1834,Charleston,Charleston
﻿sav.ga.0003,﻿church,﻿Holy Trinity Church,English,,,,,﻿Richmond County,﻿Augusta,﻿Augusta,﻿GA,,33.47167613,-81.9668056,,,,,,﻿Rev.,﻿T. Bermingham,,,,,,,1834,Charleston,Charleston
﻿sav.ga.0006,﻿church,﻿SS. Philip and James,English,,,,,﻿Muscogee County,﻿Columbus,﻿Columbus,﻿GA,﻿GA,32.468159299999996,-84.98813711,,﻿visited by Rev. M.D. O'Reilly,,,,,,,,,,,,1834,Charleston,Charleston
﻿sav.ga.0010,﻿church,not recorded,English,,,,﻿Wilson County,﻿Henry County,﻿Locust Grove,﻿Locust Grove,﻿GA,﻿GA,33.54252264,-82.77668703,,,,,,﻿Rev.,﻿M. D. O'Reilly,,,,,,,1834,Charleston,Charleston
﻿sav.ga.0001,﻿church,not recorded,English,,,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,﻿GA,32.0733565,-81.0909827,,,,,,﻿Rev.,﻿Joseph Stokes,,,,,,,1834,Charleston,Charleston
﻿sav.ga.9000,﻿church,﻿St. Mary's,English,,,,,,,,﻿GA,,32.0733565,-81.0909827,,,﻿visited occasionally by Rev. Joseph Stokes,,,,,,,,,,,1834,Charleston,Charleston
"﻿After the above cluster, almanac says ""There are 12 to 14 stations in other parts of this state [GA], which are visited once or twice in the year.""",﻿church,not recorded,English,,,,,,,,,,32.0733565,-81.0909827,,,,,,,,,,,,,,1834,Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.77642653,-79.93453937,,,,,,﻿Right Rev.,﻿John England,﻿D. D.,,,,,,1834,Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77642653,-79.93453937,,,,,,﻿Rev.,﻿A. Byrne,,,,,,,1834,Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77642653,-79.93453937,,,,,,﻿Rev.,﻿R. S. Baker,,,,,,,1834,Charleston,Charleston
