instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,39.103622937176794,-84.5091434037047,,,,,,﻿Right. Rev.,﻿John B. Purcell,﻿D.D.,,,,,,,Cincinnati 
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.103622937176794,-84.5091434037047,,,,,,﻿Rev.,﻿S. H. Montgomery,,,,,,,,Cincinnati 
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.103622937176794,-84.5091434037047,,,,,,﻿Rev.,﻿Dennis A. Deloughry,,,,,,,,Cincinnati 
﻿cin.oh.0001,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,39.103622937176794,-84.5091434037047,,,,,,﻿Rev.,﻿J. M. Henni,,,,,,,,Cincinnati 
﻿cin.oh.0001,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.103622937176794,-84.5091434037047,,,,,,﻿Rev.,﻿S. Mazzuchelli,,,,,,,,Cincinnati 
﻿cin.oh.0001,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Dayton,﻿Cincinnati,﻿OH,,39.103622937176794,-84.5091434037047,,,,,,﻿Rev.,﻿E. T. Collins,,,,,,,,Cincinnati 
﻿cin.oh.0094,﻿church,not recorded,English,,,,﻿Butler County,﻿Butler County,﻿Hamilton,﻿Hamilton,﻿OH,﻿OH,39.401816898600295,-84.56024414537141,,,,,,﻿Rev.,﻿E. T. Collins,,,,,,,,Cincinnati 
﻿cin.oh.0094,﻿church,not recorded,English,,,,﻿Butler County,﻿Butler County,﻿Urbana,﻿Hamilton,﻿OH,,39.401816898600295,-84.56024414537141,,,,,,﻿Rev.,﻿E. T. Collins,,,,,,,,Cincinnati 
﻿cin.oh.0094,﻿church,not recorded,English,,,,﻿Butler County,﻿Butler County,﻿Springfield,﻿Hamilton,﻿OH,,39.401816898600295,-84.56024414537141,,,,,,﻿Rev.,﻿E. T. Collins,,,,,,,,Cincinnati 
﻿cin.oh.0094,﻿church,not recorded,English,,,,﻿Butler County,﻿Butler County,﻿West Liberty,﻿Hamilton,﻿OH,,39.401816898600295,-84.56024414537141,,,,,,﻿Rev.,﻿E. T. Collins,,,,,,,,Cincinnati 
﻿col.oh.0040,﻿church,not recorded,English,﻿every 3d Sunday,,,﻿Fairfield County,﻿Fairfield County,﻿Lancaster,﻿Lancaster,﻿OH,﻿OH,39.712793095978206,-82.5989784049478,﻿col.oh.9002,"﻿Clergyman from St. Joseph's, Perry Co.",﻿every 3d Sunday,,,﻿Rev.,﻿E. T. Collins,,,"﻿Dw. at St. Joseph's, Somerset",,,,,Cincinnati 
﻿cle.oh.9000,﻿church,﻿St. Paul's,English,﻿2d Sunday,,,﻿Columbiana County,﻿Columbiana County,﻿New Lisbon,﻿Lisbon,﻿OH,﻿OH,40.773561691792004,-80.7725691413427,,﻿attended by a clergyman from Canton,,,,,,,,﻿Dw. at Steubenville,,,,,Cincinnati 
﻿cle.oh.0122,﻿church,﻿St. Alphonza,English,,,,﻿Huron County,﻿Huron County,﻿Norwalk,﻿Norwalk,﻿OH,﻿OH,41.239444,-82.62,,,,,,﻿Rev.,﻿F. X. Tshenhess,,,﻿Dw. at Tiffin,,,,,Cincinnati 
﻿col.oh.9000,﻿church,﻿St. Lewis Bertrand,English,,,,﻿Perry County,﻿Perry County,﻿Rohoboth,﻿Rehoboth,﻿OH,﻿OH,39.742955798591105,-82.1916070545104,﻿col.oh.9002,﻿attended from St. Joseph's,,,,,,,,,,,,,Cincinnati 
﻿col.oh.0024,﻿church,﻿St. Barnabas,English,﻿2d Sunday,,,﻿Morgan County,﻿Perry County,,﻿Crooksville,﻿OH,﻿OH,39.7348949244159,-82.038431539808,﻿col.oh.9002,﻿attended from St. Joseph's,,,,,,,,,,,,,Cincinnati 
﻿col.oh.0024,﻿church,﻿St. Patrick,English,﻿2d Sunday,,,﻿Morgan County,﻿Perry County,,﻿Crooksville,﻿OH,,39.7348949244159,-82.038431539808,﻿col.oh.9002,﻿attended from St. Joseph's,,,,,,,,,,,,,Cincinnati 
﻿col.oh.9001,﻿church,﻿St. Dominick,English,,,,﻿Guernsey County,,﻿Barnsville,,﻿OH,,39.9878433329052,-81.1814788056987,,,,,,﻿Rev.,﻿C. P. Montgomery,,,,,,,,Cincinnati 
﻿col.oh.0023,﻿church,﻿St. Luke's,English,,,,﻿Knox County,﻿Knox County,﻿Danville,﻿Danville,﻿OH,﻿OH,40.44785521250439,-82.26083151478349,﻿col.oh.9002,﻿attended from St. Joseph's,,,,,,,,,,,,,Cincinnati 
﻿col.oh.0023,﻿church,﻿St. Martin's,English,,,,﻿Knox County,﻿Knox County,﻿Fayetteville,﻿Danville,﻿OH,,40.44785521250439,-82.26083151478349,,,,,,﻿Rev.,﻿J. Reed,,,,,,,,Cincinnati 
﻿col.oh.0023,﻿church,﻿St. Martin's,English,,,,﻿Knox County,﻿Knox County,﻿Eagle Creek,﻿Danville,﻿OH,,40.44785521250439,-82.26083151478349,,,,,,﻿Rev.,﻿J. Reed,,,,,,,,Cincinnati 
