instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,39.103622937176794,-84.5091434037047,,,,,﻿joh_b_purcell_001,﻿Right. Rev.,﻿John B. Purcell,﻿D.D.,,,,,,1835,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.103622937176794,-84.5091434037047,,,,,﻿s_h_montgomery_001,﻿Rev.,﻿S. H. Montgomery,,,,,,,1835,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.103622937176794,-84.5091434037047,,,,,﻿den_a_deloughry_001,﻿Rev.,﻿Dennis A. Deloughry,,,,,,,1835,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,39.09989682,-84.52362173,,,,,﻿joh_m_henni_901,﻿Rev.,﻿J. M. Henni,,,,,,,1835,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.09989682,-84.52362173,,,,,﻿s_mazzuchelli_002,﻿Rev.,﻿S. Mazzuchelli,,,,,,,1835,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,,﻿Dayton,﻿Cincinnati,﻿OH,,39.09989682,-84.52362173,,,,,﻿e_t_collins_001,﻿Rev.,﻿E. T. Collins,,,,,,,1835,Cincinnati
﻿cin.oh.0094,﻿church,not recorded,English,,,,,﻿Butler County,﻿Hamilton,﻿Hamilton,﻿OH,﻿OH,39.401816898600295,-84.56024414537141,,,,,﻿e_t_collins_001,﻿Rev.,﻿E. T. Collins,,,,,,,1835,Cincinnati
﻿cin.oh.0174,﻿church,not recorded,English,,,,,,﻿Urbana,,﻿OH,,40.1083912,-83.7524298,,,,,﻿e_t_collins_001,﻿Rev.,﻿E. T. Collins,,,,,,,1835,Cincinnati
﻿cin.oh.0174,﻿church,not recorded,English,,,,,,﻿Springfield,,﻿OH,,40.1083912,-83.7524298,,,,,﻿e_t_collins_001,﻿Rev.,﻿E. T. Collins,,,,,,,1835,Cincinnati
﻿cin.oh.0182,﻿church,not recorded,English,,,,,,﻿West Liberty,,﻿OH,,40.2522771,-83.75576629999999,,,,,﻿e_t_collins_001,﻿Rev.,﻿E. T. Collins,,,,,,,1835,Cincinnati
﻿col.oh.0040,﻿church,not recorded,English,﻿every 3d Sunday,,,,﻿Fairfield County,﻿Lancaster,﻿Lancaster,﻿OH,﻿OH,39.712793095978206,-82.5989784049478,﻿col.oh.9002,"﻿Clergyman from St. Joseph's, Perry Co.",﻿every 3d Sunday,,﻿e_t_collins_001,﻿Rev.,﻿E. T. Collins,,,"﻿Dw. at St. Joseph's, Somerset",,,,1835,Cincinnati
﻿cle.oh.9000,﻿church,﻿St. Paul's,English,﻿2d Sunday,,,,﻿Columbiana County,﻿New Lisbon,﻿Lisbon,﻿OH,﻿OH,40.773561691792004,-80.7725691413427,,﻿attended by a clergyman from Canton,,,,,,,,﻿Dw. at Steubenville,,,,1835,Cincinnati
﻿cle.oh.0122,﻿church,﻿St. Alphonza,English,,,,,﻿Huron County,﻿Norwalk,﻿Norwalk,﻿OH,﻿OH,41.239444,-82.62,,,,,﻿f_x_tshenhess_001,﻿Rev.,﻿F. X. Tshenhess,,,﻿Dw. at Tiffin,,,,1835,Cincinnati
﻿col.oh.9000,﻿church,﻿St. Lewis Bertrand,English,,,,,﻿Perry County,﻿Rehoboth,﻿Rehoboth,﻿OH,﻿OH,39.742955798591105,-82.1916070545104,﻿col.oh.9002,﻿attended from St. Joseph's,,,,,,,,,,,,1835,Cincinnati
﻿col.oh.0024,﻿church,﻿St. Barnabas,English,﻿2d Sunday,,,﻿Morgan County,﻿Perry County,,﻿Crooksville,﻿OH,﻿OH,39.7348949244159,-82.038431539808,﻿col.oh.9002,﻿attended from St. Joseph's,,,,,,,,,,,,1835,Cincinnati
