instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,order,diocese,diocese_reg
﻿det.mi.0002,﻿Cathedral,﻿Cathedral of St. Ann,"﻿German, French, English","﻿Sermons in German, French and English.",,,,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,﻿MI,42.320833,-83.076667,,,,,,﻿f_rézé_901,﻿Rt. Rev.,﻿F. Rézé,﻿D.D.,,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.0002,﻿Cathedral,﻿Cathedral of St. Ann,"﻿German, French, English","﻿Sermons in German, French and English.",,,,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.320833,-83.076667,,,,,,﻿vin_badin_901,﻿Very Rev.,﻿Vincent Badin,,,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.0002,﻿Cathedral,﻿Cathedral of St. Ann,"﻿German, French, English","﻿Sermons in German, French and English.",,,,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.320833,-83.076667,,,,,,﻿mar_kundig_901,﻿Rev.,﻿Martin Kundig,,,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.0002,﻿Cathedral,﻿Cathedral of St. Ann,"﻿German, French, English","﻿Sermons in German, French and English.",,,,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.320833,-83.076667,,,,,,,﻿Rev. Mr.,﻿Kopp,,,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.9007,﻿church,﻿Trinity Church,English,,,,,,﻿Detroit,,﻿MI,,42.320833,-83.076667,,,,,,﻿ber_ocavanagh_901,﻿Rev.,﻿Bernard O'Cavanagh,,,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.0018,﻿church,not recorded,English,,,,,,﻿Ann Arbour,﻿Ann Arbor,﻿MI,,42.2857551,-83.7413768,,,,,,﻿kelly_901,﻿Rev. Mr.,﻿Kelly,,,,,,,1838,,﻿Detroit,Detroit
﻿mar.mi.9000,﻿church,not recorded,English,,,,,﻿Emmet County,﻿Arbre Croche,,﻿MI,﻿MI,45.626436918453905,-85.0710526564355,,,,,,﻿sanderl_901,﻿Rev. Mr.,﻿Sanderl,,,,,,,1838,,﻿Detroit,Detroit
﻿mar.mi.9000,﻿church,not recorded,English,,,,,﻿Emmet County,﻿Bay Settlement,,﻿MI,,45.626436918453905,-85.0710526564355,,,,,,,﻿Rev. Mr.,﻿Warlop,,,,,,,1838,,﻿Detroit,Detroit
﻿mar.mi.9000,﻿church,not recorded,English,,,,,﻿Emmet County,﻿Bertrand,,﻿MI,,45.626436918453905,-85.0710526564355,,,,,,,﻿Rev. Mr.,﻿Alwill,,,,,,,1838,,﻿Detroit,Detroit
﻿mar.mi.9000,﻿church,not recorded,English,,﻿Fond du lac Superieur,,,﻿Emmet County,﻿Bertrand,,﻿MI,,45.626436918453905,-85.0710526564355,,,,,,,﻿Rev. Mr.,﻿Baraga,,,,,,,1838,,﻿Detroit,Detroit
﻿mar.mi.9000,﻿church,not recorded,English,,﻿A la Croix,,,﻿Emmet County,﻿Bertrand,,﻿MI,,45.626436918453905,-85.0710526564355,,,,,,,﻿Rev. Mr.,﻿Baraga,,,,,,,1838,,﻿Detroit,Detroit
﻿mar.mi.9000,﻿church,not recorded,English,,﻿A la Croix,,,﻿Emmet County,﻿Fort Winebago,,﻿MI,,45.626436918453905,-85.0710526564355,,,,﻿once in two months,,,﻿Rev.,﻿Theodore J. Vandenbroeck,,,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.9005,﻿church,not recorded,English,﻿Instructions in the English language,﻿Grand River,,,,,,﻿MI,﻿MI,45.626436918453905,-85.0710526564355,,,,,,﻿vizosky_901,﻿Rev. Mr.,﻿Vizosky,,,,,,,1838,,﻿Detroit,Detroit
﻿gre.wi.0002,﻿church,not recorded,English,,,,,﻿Brown County,﻿Green Bay,﻿Green Bay,,﻿WI,44.508541015782605,-88.01525684610941,,,,,,﻿flo_bonduel_901,﻿Rev.,﻿Floriment Bonduel,,,,,,"﻿Served by a Seminary of Liguorists, 5 in No.",1838,,﻿Detroit,Detroit
﻿gre.wi.0002,﻿church,not recorded,English,,﻿Little Shoot Cockalin,,,﻿Brown County,﻿Green Bay,﻿Green Bay,,,44.508541015782605,-88.01525684610941,,,,,,,﻿Rev.,﻿Theodore J. Vanden Broeck,,,,,,"﻿Served by a Seminary of Liguorists, 5 in No.",1838,,﻿Detroit,Detroit
﻿det.mi.0114,﻿church,not recorded,English,,,,,﻿Monroe County,﻿Monroe,﻿Monroe,﻿MI,﻿MI,41.9185513506712,-83.3968562355573,,,,,,﻿carabin_901,﻿Rev. Mr.,﻿Carabin,,,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.0114,﻿church,not recorded,English,,,,,﻿Monroe County,﻿Machinac,﻿Monroe,﻿MI,,41.9185513506712,-83.3968562355573,,,,,,,﻿Rev. Mr.,﻿Bonduel,,,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.0114,﻿church,not recorded,English,,﻿Pointe St. Ignace,,,﻿Monroe County,﻿Machinac,﻿Monroe,﻿MI,,41.9185513506712,-83.3968562355573,,,,,,,﻿Rev. Mr.,﻿Bonduel,,,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.0114,﻿church,not recorded,English,,﻿Pointe St. Ignace,,,﻿Monroe County,﻿Prairie du Chien,﻿Monroe,﻿WI,,41.9185513506712,-83.3968562355573,,,,,,,﻿Rev.,﻿S. Mazzuchelli,,,,,,,1838,,﻿Detroit,Detroit
﻿mar.mi.0082,﻿church,not recorded,English,,,,,,﻿Sault Ste. Marie,,﻿MI,,41.9185513506712,-83.3968562355573,,,,,,﻿pierz_901,﻿Rev. Mr.,﻿Pierz,,,,,,,1838,,﻿Detroit,Detroit
﻿mar.mi.0082,﻿church,not recorded,English,,﻿St. Clare's,,,,﻿Sault Ste. Marie,,﻿MI,,41.9185513506712,-83.3968562355573,,,,﻿alternately,,,﻿Rev.,﻿S. A. Bernier,,,,,,,1838,,﻿Detroit,Detroit
﻿mar.mi.0082,﻿church,not recorded,English,,﻿Mt. Clemen's,,,,﻿Sault Ste. Marie,,﻿MI,,41.9185513506712,-83.3968562355573,,,,﻿alternately,,,﻿Rev.,﻿S. A. Bernier,,,,,,,1838,,﻿Detroit,Detroit
﻿mar.mi.0082,﻿church,﻿St. Joseph's,English,,﻿near Detroit,,,,﻿Sault Ste. Marie,,﻿MI,,41.9185513506712,-83.3968562355573,,,,,,﻿de-brugn_901,﻿Very Rev. Mr.,﻿De Brugn,,,,,,,1838,,﻿Detroit,Detroit
﻿mar.mi.0082,﻿church,﻿St. Joseph's,English,,﻿near Detroit,,,,﻿Sault Ste. Marie,,﻿MI,,41.9185513506712,-83.3968562355573,,,,,,,﻿Rev.,﻿Thomas Cullen,,,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.9001,﻿church,﻿St. Joseph's,English,,,,,,,,,,41.9185513506712,-83.3968562355573,,,,,,,,,,,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.0083,﻿church,﻿St. Paul,English,,,,,,,,,,42.3861485,-82.91185909999999,,,﻿Visited alternately by Rev. Mr. Bohemes,,,,,,,,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.9002,﻿church,﻿St. Felicitas,English,,,,,,,,,,42.3861485,-82.91185909999999,,,﻿Visited alternately by Rev. Mr. Bohemes,,,,,,,,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.9003,﻿church,﻿St. Francis,English,,,,,,,,,,42.3861485,-82.91185909999999,,,,,,﻿bowens_901,﻿Rev. Mr.,﻿Bowens,,﻿General Missionary,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.9003,﻿college,﻿St. Philip's College (Cote Du Nord-est),English,,,,,,﻿Detroit,,﻿MI,,42.3861485,-82.91185909999999,,,,,,,﻿RT. Rev. Dr.,﻿Reeze,,﻿Bishop of Detroit,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.9003,﻿college,﻿St. Philip's College (Cote Du Nord-est),English,,,,,,﻿Detroit,,﻿MI,,42.3861485,-82.91185909999999,,,,,,,﻿Rev. Mr.,﻿De Brugn,,﻿President of Studies,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.9003,﻿high school,﻿St. Ann's High School,English,,,,,,﻿Detroit,,﻿MI,,42.3861485,-82.91185909999999,,,,,,,,﻿William McDonagh,,﻿Superintendent,,,,,1838,,﻿Detroit,Detroit
﻿det.mi.9003,﻿convent,﻿Convent,English,,,,,,﻿Detroit,,﻿MI,,42.3861485,-82.91185909999999,,,,,,,,,,,,,,﻿Sisters of St. Clare,1838,,﻿Detroit,Detroit
