instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,﻿#REF!,﻿#REF!,,,,,﻿joh_h_luers_001,﻿Rt. Rev.,﻿John H. Luers,﻿D.D.,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,﻿#REF!,﻿#REF!,,,,,﻿jul_benoit_001,﻿Very Rev.,﻿Julian Benoit,,"﻿Pastor, V.G.",,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,﻿#REF!,﻿#REF!,,,,,﻿edw_p_walters_001,﻿Rev.,﻿Edward P. Walters,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0002,﻿church,﻿Mother of God,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,﻿#REF!,﻿#REF!,,,,,﻿jos_weutz_001,﻿Rev.,﻿Joseph Weutz,,﻿Pastor,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0002,﻿church,﻿Mother of God,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,﻿#REF!,﻿#REF!,,,,,﻿a_a_heitmann_001,﻿Rev.,﻿A. Heitmann,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0003,﻿church,﻿St. Paul's,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,﻿#REF!,﻿#REF!,,,,,﻿edw_koenig_001,﻿Rev.,﻿E. Koenig,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0005,﻿church,not recorded,English,﻿church building,,,﻿Allen County,﻿Allen County,﻿Arcola,﻿Arcola,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0023,﻿Attended from Columbia City,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0006,﻿church,﻿St. Francis',English,,,,﻿Fountain County,﻿Fountain County,﻿Attica,﻿Attica,﻿IN,,﻿#REF!,﻿#REF!,,,,,﻿jos_rademacher_001,﻿Rev.,﻿Joseph Rademacher,,﻿Pastor,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0007,﻿church,﻿Assumption B.V.M.,English,,,,﻿Noble County,﻿Noble County,﻿Avilla,﻿Avilla,﻿IN,,﻿#REF!,﻿#REF!,,,,,﻿aug_oechtering_001,﻿Rev.,﻿Augustin B. Oechtering,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0008,﻿church,not recorded,English,﻿no church,,,﻿DeKalb County,﻿DeKalb County,﻿Auburn,﻿Auburn,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0007,﻿attended from Avilla,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0009,﻿church,﻿St. Mary's,English,,,,﻿Madison County,﻿Madison County,﻿Anderson,﻿Anderson,﻿IN,,﻿#REF!,﻿#REF!,,,,,﻿jam_crawley_001,﻿Rev.,﻿James Crowley,,﻿Pastor,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0010,﻿church,﻿St. Aloysius',English,﻿vacant,,,﻿Allen County,﻿Allen County,﻿Besançon,﻿New Haven,﻿IN,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0011,﻿church,not recorded,English,,,,﻿Pulaski County,﻿Pulaski County,﻿Bradford,,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0062,﻿attended from Lafayette,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0013,﻿church,not recorded,English,,,,﻿White County,﻿White County,﻿Brookston,﻿Brookston,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0062,﻿attended from Lafayette,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0014,﻿church,not recorded,English,,,,﻿Wells County,﻿Wells County,﻿Blufton,﻿Bluffton,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0001,﻿attended from Fort Wayne,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0185,﻿church,not recorded,English,,,,﻿Noble County,﻿Noble County,﻿Blue River,﻿Blue River,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0007,﻿attended from Avilla,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0015,﻿church,not recorded,English,,,,﻿Tippecanoe County,﻿Tippecanoe County,﻿Buck Creek,﻿Buck Creek,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0062,﻿attended from Lafayette,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0164,﻿church,not recorded,English,,﻿near Cicero,,﻿Hamilton County,,﻿Busker's Settlement,,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0109,﻿attended from Peru,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0019,﻿church,not recorded,English,﻿no church,,,﻿De Kalb County,﻿De Kalb County,﻿Butler,﻿Butler,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0007,﻿attended from Avilla,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0016,﻿church,not recorded,English,,,,﻿Marshall County,﻿Marshall County,﻿Bourbon,﻿Bourbon,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0111,﻿attended from Plymouth,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0017,﻿church,not recorded,English,,,,﻿Elkhart County,﻿Elkhart County,﻿Bristol,﻿Bristol,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0045,﻿attended from Goshen,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0020,﻿church,﻿St. Patrick's,English,,,,﻿Porter County,﻿Porter County,﻿Calumet,﻿Chesterton,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0069,﻿attended from Laporte,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0021,﻿church,not recorded,English,,,,﻿Jay County,﻿Jay County,﻿Camden,﻿Pennville,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0135,﻿attended from St. Mary's Home,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0022,﻿church,not recorded,English,,,,﻿St. Joseph's County,,﻿Carlisle,﻿Carlisle,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0069,﻿attended from Laporte,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0023,﻿church,﻿St. Mary's,English,,,,﻿Whitley County,﻿Whitley County,﻿Columbia City,﻿Columbia City,﻿IN,,﻿#REF!,﻿#REF!,,,,,﻿hen_schaefer_001,﻿Rev.,﻿Henry Schaefer,,﻿Pastor,,,,,1867,﻿FortWayne,FortWayne
﻿for.in.0024,﻿church,not recorded,English,,,,﻿Tippecanoe County,﻿Tippecanoe County,﻿Clarke's Hill,﻿Clarks Hill,﻿IN,,﻿#REF!,﻿#REF!,﻿for.in.0062,﻿attended from Lafayette,,,,,,,,,,,,1867,﻿FortWayne,FortWayne
