instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.075713799999996,-85.13815699999999,,,,,﻿joh_h_luers_001,﻿Rt. Rev.,﻿John H. Luers,﻿D.D.,,,,,,1868,FortWayne
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.075713799999996,-85.13815699999999,,,,,﻿jul_benoit_001,﻿Very Rev.,﻿Julian Benoit,,"﻿Pastor, V.G.",,,,,1868,FortWayne
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.075713799999996,-85.13815699999999,,,,,﻿edw_p_walters_001,﻿Rev.,﻿Edward P. Walters,,,,,,,1868,FortWayne
﻿for.in.0002,﻿church,﻿Mother of God,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.0794759,-85.1362929,,,,,﻿jos_weutz_001,﻿Rev.,﻿Joseph Weutz,,﻿Pastor,,,,,1868,FortWayne
﻿for.in.0002,﻿church,﻿Mother of God,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.0794759,-85.1362929,,,,,﻿a_a_heitmann_001,﻿Rev.,﻿A. Heitmann,,,,,,,1868,FortWayne
﻿for.in.0003,﻿church,﻿St. Paul's,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.0755556,-85.1358333,,,,,﻿edw_koenig_001,﻿Rev.,﻿E. Koenig,,,,,,,1868,FortWayne
﻿for.in.0005,﻿church,﻿St. Patrick's,English,,,,﻿Allen County,﻿Allen County,﻿Arcola,﻿Arcola,﻿IN,,41.103349,-85.30293,﻿for.in.0023,﻿Attended from Columbia City,,,,,,,,,,,,1868,FortWayne
﻿for.in.0006,﻿church,﻿St. Francis',English,,,,﻿Fountain County,﻿Fountain County,﻿Attica,﻿Attica,﻿IN,,40.290634999999995,-87.250231,,,,,﻿jos_rademacher_001,﻿Rev.,﻿Joseph Rademacher,,﻿Pastor,,,,,1868,FortWayne
﻿for.in.0007,﻿church,﻿Assumption B.V.M.,English,,,,﻿Noble County,﻿Noble County,﻿Avilla,﻿Avilla,﻿IN,,41.365882299999996,-85.23886340000001,,,,,﻿dom_duehmig_001,﻿Rev.,﻿Dominic Duehmig,,,,,,,1868,FortWayne
﻿for.in.0008,﻿church,not recorded,English,﻿no church,,,﻿DeKalb County,﻿DeKalb County,﻿Auburn,﻿Auburn,﻿IN,,41.3669942,-85.0588575,﻿for.in.0007,﻿attended from Avilla,,,,,,,,,,,,1868,FortWayne
﻿for.in.0009,﻿church,﻿St. Mary's,English,,,,﻿Madison County,﻿Madison County,﻿Anderson,﻿Anderson,﻿IN,,40.1054143,-85.6753458,,,,,﻿jam_crawley_001,﻿Rev.,﻿James Crawley,,﻿Pastor,,,,,1868,FortWayne
﻿for.in.0010,﻿church,﻿St. Aloysius',English,,,,﻿Allen County,﻿Allen County,﻿Besançon,﻿New Haven,﻿IN,,41.0706042,-85.01441240000001,,,,,﻿adr_de-montaubricq_002,﻿Rev.,﻿Adrian de Montaubricq,,,,,,,1868,FortWayne
﻿for.in.0011,﻿church,not recorded,English,,,,﻿Pulaski County,﻿Pulaski County,﻿Bradford,,﻿IN,,40.9957383,-86.8220341,﻿for.in.0062,﻿attended from Lafayette,,,,,,,,,,,,1868,FortWayne
﻿for.in.0013,﻿church,not recorded,English,,,,﻿White County,﻿White County,﻿Brookston,﻿Brookston,﻿IN,,40.6028144,-86.8672339,﻿for.in.0062,﻿attended from Lafayette,,,,,,,,,,,,1868,FortWayne
﻿for.in.0014,﻿church,not recorded,English,,,,﻿Wells County,﻿Wells County,﻿Blufton,﻿Bluffton,﻿IN,,40.7386579,-85.1716368,﻿for.in.0001,﻿attended from Fort Wayne,,,,,,,,,,,,1868,FortWayne
