instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,"﻿High Mass, at 10 1/4 A.M.  Vespers, at 3 o'clock P.M.",,,,,﻿Providence,﻿Providence,﻿RI,,41.8193105,-71.41658309999998,,,,,,﻿f_p_mcfarland_001,﻿Rt. Rev.,﻿F. P. McFarland,﻿D.D.,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,"﻿High Mass, at 10 1/4 A.M.  Vespers, at 3 o'clock P.M.",,,,,﻿Providence,﻿Providence,﻿RI,,41.8193105,-71.41658309999998,,,,,,﻿hug_carmody_001,﻿Rev.,﻿Hugh Carmody,﻿D.D.,﻿Pastor,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,"﻿High Mass, at 10 1/4 A.M.  Vespers, at 3 o'clock P.M.",,,,,﻿Providence,﻿Providence,﻿RI,,41.8193105,-71.41658309999998,,,,,,﻿pat_j_odwyer_001,﻿Rev.,﻿Patrick J. O'Dwyer,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0002,﻿church,﻿St. Patrick's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.8325998,-71.41956379999999,,,,,,﻿pat_lambe_001,﻿Rev.,﻿Patrick Lambe,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0003,﻿church,﻿St. Joseph's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.821391399999996,-71.3966247,,,,,,﻿pet_kelly_001,﻿Rev.,﻿Peter Kelly,,﻿Pastor,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0003,﻿church,﻿St. Joseph's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.821391399999996,-71.3966247,,,,,,﻿hug_mallon_001,﻿Rev.,﻿Hugh Mallon,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0005,﻿church,﻿Immaculate Conception,English,,,,,﻿Providence County,﻿Providence,﻿Providence,﻿RI,,41.8239891,-71.4128343,,,,,,﻿edw_j_cooney_001,﻿Rev.,﻿Edward J. Cooney,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0005,﻿church,﻿Immaculate Conception,English,,,,,﻿Providence County,﻿Providence,﻿Providence,﻿RI,,41.8239891,-71.4128343,,,,,,﻿jam_oreilly_003,﻿Rev.,﻿Jas. O'Reilly,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0006,﻿church,﻿St. Bernard's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.8239891,-71.4128343,,,,,,﻿dan_mullen_001,﻿Rev.,﻿Daniel Mullen,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0004,﻿church,﻿St. Mary's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.8239891,-71.4128343,,,,,,﻿joh_quinn_001,﻿Rev.,﻿John Quinn,﻿D.D.,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0008,﻿chapel,﻿St. Catharine's Chapel,English,,,,,﻿Providence County,﻿Providence,﻿Providence,﻿RI,,41.821091700000004,-71.4140041,﻿har.ct.0001,,﻿attended from Cathedral,,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0157_02,﻿chapel,﻿St. Aloysius' Chapel,English,,﻿Orphan Asylum,,,﻿Providence County,﻿Providence,﻿Providence,﻿RI,,41.821091700000004,-71.4140041,﻿har.ct.0006,,﻿attended from St. Bernard's,,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0009,﻿church,not recorded,English,,,,﻿Providence County,﻿Providence County,﻿Albion,﻿Albion,﻿RI,,41.9532999,-71.4581359,﻿har.ct.0031,,﻿attended from Valley Falls,﻿every second Sunday,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0012,﻿church,not recorded,English,,,,,﻿Bristol County,﻿Bristol,﻿Bristol,﻿RI,,41.6711818,-71.2707346,﻿har.ct.0033,,﻿attended from Warren,﻿Mass every Sunday,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0016,﻿church,﻿St. Anne's,English,,,,,﻿Providence County,﻿Cranston,﻿Cranston,﻿RI,,41.7798226,-71.4372796,,,,,,﻿mic_lynch_002,﻿Rev.,﻿Michael Lynch,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0017,﻿church,﻿Our Lady of Mount Carmel,English,,,,,﻿Kent County,﻿Crompton,﻿Crompton,﻿RI,,41.68472,-71.5141699,,,,,,﻿jam_p_gibson_001,﻿Rev.,﻿James P. Gibson,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0020,﻿church,﻿Holy Name of Jesus,English,,,,,﻿Kent County,﻿Greenwich,﻿East Greenwich,﻿RI,,41.654058299999996,-71.4576721,﻿har.ct.0027,,﻿attended from Phoenixville,﻿Mass every second Sunday,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0021,﻿church,﻿St. Philip Neri,English,,,,,﻿Providence County,﻿Greenville,﻿Greenville,﻿RI,,41.873398,-71.559435,,,,,,﻿phi_gillick_002,﻿Rev.,﻿Philip Gillick,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0022,﻿church,﻿St. Patrick's,English,,,,,﻿Providence County,﻿Harrisville,﻿Harrisville,﻿RI,,41.967481299999996,-71.6780247,,,,,,﻿wil_e_duffy_001,﻿Rev.,﻿William E. Duffy,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0023,﻿church,not recorded,English,,,,,﻿Providence County,﻿Manville,﻿Manville,﻿RI,,41.9681345,-71.4749437,﻿har.ct.0031,,﻿attended from Valley Falls,,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0025,﻿church,﻿Our Lady of the Isle,English,,,,,﻿Newport County,﻿Newport,﻿Newport,﻿RI,,41.48419929999999,-71.3084391,,,,,,﻿wil_oreilly_001,﻿Very Rev.,﻿William O'Reilly,﻿V.G.,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0025,﻿church,﻿Our Lady of the Isle,English,,,,,﻿Newport County,﻿Newport,﻿Newport,﻿RI,,41.48419929999999,-71.3084391,,,,,,﻿mic_oreilly_004,﻿Rev.,﻿M. O'Reilly,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0026,﻿church,﻿Immaculate Conception,English,,,,,﻿Providence County,﻿Pawtucket,﻿Pawtucket,﻿RI,,41.878710999999996,-71.38255579999999,,,,,,﻿p_g_delaney_001,﻿Rev.,﻿Patrick G. Delany,,,,,,,1864,﻿Hartford,Hartford
