instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,﻿#REF!,﻿#REF!,,,,,,﻿Rt. Rev.,﻿Thaddeus Amat,﻿D.D.,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,﻿#REF!,﻿#REF!,,,,,,﻿Very Rev.,﻿Francis Mora,,﻿Rector,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿Joseph Mut,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,﻿#REF!,﻿#REF!,,,,,﻿ant_ubach_001,﻿Rev.,﻿Anth. Ubac.,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0002,﻿church,not recorded,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿San Gabriel,﻿San Gabriel,﻿CA,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿John Basso,,﻿Rector,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0003,﻿church,not recorded,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿San Fernando,﻿San Fernando,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0001,﻿Attended from Los Angeles,﻿Monthly,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0004,﻿church,﻿St. Peter's,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Wilmington,﻿Los Angeles,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0001,﻿Attended from Los Angeles,﻿Weekly,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0007,﻿chapel,not recorded,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿San José,﻿Pomona,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0002,﻿Attended from San Gabriel,,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0061,﻿chapel,not recorded,English,,,,﻿Los Angeles County,,﻿San Nicolas,,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0002,﻿Attended from San Gabriel,,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0008,﻿church,﻿San Antonia de Padua,English,,,,﻿Los Angeles County,﻿Orange County,﻿Santa Ana,﻿Santa Ana,﻿CA,,﻿#REF!,﻿#REF!,,,,,﻿jam_burgata_001,﻿Rev.,﻿Anthony Borgatta,,﻿Pastor,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0010,﻿church,not recorded,English,,,,﻿Los Angeles County,﻿Orange County,﻿San Juan Capistrano,﻿San Juan Capistrano,﻿CA,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿Michael Duran,,﻿Pastor,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0014,﻿church,﻿Immaculate Conception,English,﻿vacant,,,﻿San Diego County,﻿San Diego County,﻿San Diego,﻿San Diego,,,﻿#REF!,﻿#REF!,﻿mon.ca.0010,﻿Attended from San Juan Capistrano,,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0011,﻿church,not recorded,English,,,,﻿San Diego County,﻿San Diego County,﻿San Luis Rey,﻿Oceanside,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0010,﻿Attended from San Juan Capistrano,,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0012,﻿church,﻿San Antonio de Padua,English,,﻿Indian Settlement,,﻿San Diego County,﻿San Diego County,﻿Pala,﻿Pala,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0010,﻿Attended from San Juan Capistrano,,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0015,﻿church,﻿San Salvador,English,,,,﻿San Bernardino County,﻿Riverside County,﻿Turupa,﻿Jurupa Valley,﻿CA,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿Peter Verdaguer,,﻿Pastor,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0017,﻿church,﻿San Bernardino of Sienna,English,,,,﻿San Bernardino County,﻿San Bernardino County,﻿San Berardino,﻿San Berardino,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0015,﻿Attended from Turupa,,,,﻿Rev.,﻿Michael Mahony,,﻿Pastor,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0020,﻿chapel,﻿Nativity of the Blessed Virgin Mary,English,,,,﻿Tulare County,﻿Tulare County,﻿Visalia,﻿Visalia,﻿CA,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿Daniel Dade,,﻿Pastor,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0020,﻿station,﻿Nativity of the Blessed Virgin Mary,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Clear Creek,﻿La Cañada Flintridge,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0020,﻿Attended from Visalia,,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0021,﻿station,not recorded,English,,,,﻿Tulare County,﻿Tulare County,﻿King's River,﻿Dinuba,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0020,﻿Attended from Visalia,,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0023,﻿station,not recorded,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Fort Trejon,﻿Lebec,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0020,﻿Attended from Visalia,,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0022,﻿station,not recorded,English,,,,﻿Fresno County,﻿Fresno County,﻿Millerton,﻿Millerton,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0020,﻿Attended from Visalia,,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0024,﻿church,﻿Na. Sa. de los Dolores,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿Santa Barbara,﻿Santa Barbara,﻿CA,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿James Vila,,﻿Pastor,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0025,﻿church,﻿St. Francis Xavier's,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿Cieneguita,﻿Santa Barbara,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0024,﻿Attended from Santa Barbara,,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0026,﻿church,﻿Our Lady of Mount Carmel,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿Montecito,﻿Montecito,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0024,﻿Attended from Santa Barbara,,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0027,﻿convent,﻿Convent of the Rev. Franciscan Fathers,English,,﻿Mission of Santa Barbara,,,﻿Santa Barbara County,﻿Santa Barbara,﻿Santa Barbara,﻿CA,,﻿#REF!,﻿#REF!,,,,,,﻿Very Rev.,﻿José Maria de Jesus Gonzalez,,﻿Superior,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0028,﻿church,not recorded,English,,,,﻿Santa Barbara County,﻿Ventura County,﻿San Buenaventura,﻿Ventura,﻿CA,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿John Comapla,,﻿Pastor,,,,,1866,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0029,﻿station,not recorded,English,,,,﻿Santa Barbara County,﻿Ventura County,﻿Camulos,﻿Piru,﻿CA,,﻿#REF!,﻿#REF!,﻿mon.ca.0028,﻿Attended from San Buenaventura,,,,,,,,,,,,1866,﻿Monterey and Los Angeles,Monterey
