instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿nat.ms.0001,﻿cathedral,"﻿St. Mary's Cathedral, Our Lady of Sorrows",English,,,,,,﻿Natchez,﻿Natchez,﻿MS,,﻿#REF!,﻿#REF!,,,,,﻿wil_h_elder_001,﻿Rt. Rev.,﻿William Henry Elder,﻿D.D.,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0001,﻿cathedral,"﻿St. Mary's Cathedral, Our Lady of Sorrows",English,,,,,,﻿Natchez,﻿Natchez,﻿MS,,﻿#REF!,﻿#REF!,,,,,﻿mat_f_grignon_001,﻿Very Rev.,﻿Mathurin F. Grignon,,﻿V.G.,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0001,﻿cathedral,"﻿St. Mary's Cathedral, Our Lady of Sorrows",English,,,,,,﻿Natchez,﻿Natchez,﻿MS,,﻿#REF!,﻿#REF!,,,,,﻿cha_van-quekelberge_001,﻿Rev.,﻿Charles L. Vanqueckelberge,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0002,﻿church,not recorded,English,﻿new church,,,﻿Monroe County,,﻿Aberdeen,﻿Aberdeen,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0019,﻿Visited from Colombus,,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0005,﻿church,not recorded,English,,,,﻿Copiah County,,﻿Bahala,﻿Wesson,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0013,﻿Visited from Brookhaven,,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0006,﻿church,not recorded,English,,,,﻿Choctaw County,,﻿Bankston,﻿French Camp,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0019,﻿Visited from Columbus,﻿Occasionally,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0007,﻿church,﻿Our Lady of the Gulf,English,,,,,﻿Hancock County,﻿Bay of St. Louis,﻿Bay St. Louis,﻿MS,,﻿#REF!,﻿#REF!,,,,,﻿hen_leduc_001,﻿Rev.,﻿Henry Ledue,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0111,﻿church,not recorded,English,,﻿Benton,,,,﻿Yazoo City,﻿Yazoo City,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0107,﻿visited from Yazoo City,,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0008,﻿church,﻿Nativity of the Blessed Virgin Mary,English,,,,﻿Jackson County,﻿Harrison County,﻿Biloxi,﻿Biloxi,﻿MS,,﻿#REF!,﻿#REF!,,,,,﻿hen_georget_001,﻿Rev.,﻿Henry Georget,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0010,﻿church,not recorded,English,,,,﻿Carroll County,,﻿Black Hawk,﻿Black Hawk,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0107,﻿Visited from Yazoo City,,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0011,﻿church,not recorded,English,,,,﻿Pontotoc County,﻿Prentiss County,﻿Blackland,﻿Blackland,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0019,﻿Visited from Columbus,﻿About four times a year,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0012,﻿church,not recorded,English,,,,﻿Rankin County,,﻿Brandon,﻿Brandon,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0036,﻿Visited from Jackson,,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0013,﻿church,﻿St. Francis of Assisium,English,,,,﻿Lawrence County,﻿Lincoln County,﻿Brookhaven,﻿Brookhaven,﻿MS,,﻿#REF!,﻿#REF!,,,,,﻿hen_picherit_001,﻿Rev.,﻿Henry Picherit,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0015,﻿church,not recorded,English,,,,﻿Chickasaw County,,﻿Buena Vista,﻿Buena Vista,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0019,﻿Visited from Columbus,﻿About four times a year,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0016,﻿church,﻿Church of the Sacred Heart,English,,,,﻿Madison County,,﻿Canton,﻿Canton,﻿MS,,﻿#REF!,﻿#REF!,,,,,﻿pat_murtagh_001,﻿Rev.,﻿Patrick Murtagh,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0017,﻿church,not recorded,English,,,,﻿Pike County,,﻿Chatawa,﻿Chatawa,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0013,﻿Visited from Brookhaven,,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0018,﻿church,not recorded,English,,,,﻿Yallobusha County,﻿Yalobusha County,﻿Coffeeville,﻿Coffeeville,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0087,﻿Visited from Yazoo City,,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0019,﻿church,not recorded,English,﻿church built,,,﻿Lowndes County,,﻿Columbus,﻿Columbus,﻿MS,,﻿#REF!,﻿#REF!,,,,,﻿joh_b_mouton_001,﻿Rev.,﻿John B. Mouton,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0020,﻿church,not recorded,English,,,,,﻿Alcorn County,﻿Corinth,﻿Corinth,﻿MS,,﻿#REF!,﻿#REF!,,,﻿visited every two months,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0021,﻿church,not recorded,English,,,,﻿Kemper County,,﻿De Kalb,﻿De Kalb,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0019,﻿Visited from Columbus,,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0022,﻿church,not recorded,English,,,,,﻿Yazoo County,﻿Dover,﻿Bentonia,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0087,﻿Visited from Yazoo City,,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0023,﻿church,not recorded,English,,,,﻿Holmes County,,﻿Ebenezer,﻿Ebenezer,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0087,﻿Visited from Yazoo City,,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0025,﻿church,not recorded,English,,,,﻿Warren County,,﻿Fairfield Plantation,﻿Vicksburg,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0060,﻿attended from Paulding,,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0026,﻿church,not recorded,English,,,,﻿Jefferson County,,﻿Fayette,﻿Fayette,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0001,﻿visited from Natchez,,,,,,,,,,,,1867,﻿Natchez,Natchez
﻿nat.ms.0027,﻿church,not recorded,English,,,,﻿Wilkinson County,,﻿Fort Adams,﻿Fort Adams,﻿MS,,﻿#REF!,﻿#REF!,﻿nat.ms.0001,﻿visited from Natchez,,,,,,,,,,,,1867,﻿Natchez,Natchez
