instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿nes.wa.0001,﻿church,﻿St. Augustine and St. James' Cathedral,English,,,,,﻿Clark County,﻿Vancouver,﻿Vancouver,﻿WA,,﻿#REF!,﻿#REF!,,,,,﻿a_m_blanchet_001,﻿Rt. Rev.,﻿A. M. A. Blanchet,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0001,﻿church,﻿St. Augustine and St. James' Cathedral,English,,,,,﻿Clark County,﻿Vancouver,﻿Vancouver,﻿WA,,﻿#REF!,﻿#REF!,,,,,﻿aeg_junger_001,﻿Rev.,﻿Aegidius Junger,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0001,﻿church,﻿St. Augustine and St. James' Cathedral,English,,,,,﻿Clark County,﻿Vancouver,﻿Vancouver,﻿WA,,﻿#REF!,﻿#REF!,,,,,﻿p_a_mans_001,﻿Rev.,﻿P. A. Mans,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0002,﻿church,not recorded,English,,,,,﻿Pacific County,﻿Cape Disappointment,﻿Cape Disappointment,﻿WA,,﻿#REF!,﻿#REF!,﻿nes.wa.0001,﻿attended from Vancouver,,,,,,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0003,﻿church,not recorded,English,,,,,﻿Pacific County,﻿Chinook Point,﻿Chinook Point,﻿WA,,﻿#REF!,﻿#REF!,﻿nes.wa.0001,﻿attended from Vancouver,,,,,,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0004,﻿church,not recorded,English,,,,,,﻿Cascades,,﻿WA,,﻿#REF!,﻿#REF!,﻿nes.wa.0001,﻿attended from Vancouver,,,,,,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0005,﻿church,﻿St. Joseph's,English,﻿Indian mission,,,,﻿Yakima County,﻿Yakama,﻿Yakima,﻿WA,,﻿#REF!,﻿#REF!,,,,,﻿ln_s_onge_001,﻿Rev.,﻿L.N. Stonge,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0006,﻿church,﻿St. Francis Xavier's,English,,,,,﻿Cowlitz County,﻿Cowlitz,,﻿WA,,﻿#REF!,﻿#REF!,,,,,﻿ch_a_richard_001,﻿Rev.,﻿Ch. A. Richard,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0007,﻿church,﻿Immaculate Conception,English,,,,,﻿Pierce County,﻿Steilacoom,﻿Steilacoom,﻿WA,,﻿#REF!,﻿#REF!,,,,,﻿j_b_brondel_001,﻿Rev.,﻿J. B. A. Brondel,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0008,﻿church,not recorded,English,,,,,﻿Grays Harbor County,﻿Gray's Harbor,﻿Hoquiam,﻿WA,,﻿#REF!,﻿#REF!,﻿nes.wa.0006,﻿attended from Cowlitz,,,,,,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0009,﻿church,﻿St. Michael's,English,,,,,﻿Thurston County,﻿Olympia,﻿Olympia,﻿WA,,﻿#REF!,﻿#REF!,﻿nes.wa.0007,﻿attended from Steilacoom,,,,,,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0010,﻿church,not recorded,English,,,,,﻿King County,﻿Seattle,﻿Seattle,﻿WA,,﻿#REF!,﻿#REF!,﻿nes.wa.0007,﻿attended from Steilacoom,,,,,,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0016,﻿church,not recorded,English,,,,,﻿Kitsap County,﻿Port-Madison,﻿Suquamish,﻿WA,,﻿#REF!,﻿#REF!,﻿nes.wa.0007,﻿attended from Steilacoom,,,,,,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0011,﻿church,not recorded,English,,,,,﻿Jefferson County,﻿Port Townsend,﻿Port Townsend,﻿WA,,﻿#REF!,﻿#REF!,,,,,﻿fx_préfontaine_001,﻿Rev.,﻿F.X. Préfontaine,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0012,﻿church,not recorded,English,,,,,﻿Clallam County,﻿New-Dungenness,﻿Dungeness,﻿WA,,﻿#REF!,﻿#REF!,﻿nes.wa.0011,﻿attended from Port Townsend,,,,,,,,,,,,1868,﻿Nesqualy,Nesqualy
﻿nes.wa.0013,﻿church,not recorded,English,,,,,﻿Clallam County,﻿Port Angeles,﻿Port Angeles,﻿WA,,﻿#REF!,﻿#REF!,﻿nes.wa.0011,﻿attended from Port Townsend,,,,,,,,,,,,1868,﻿Nesqualy,Nesqualy
