instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,﻿NY,40.7584564342135,-73.976185726484,,,,,,﻿Right Rev.,﻿John Dubois,﻿D. D.,,,,,,,New York 
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,,40.7584564342135,-73.976185726484,,,,,,﻿Rev.,﻿Thomas C. Levins,,,,,,,,New York 
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,,40.7584564342135,-73.976185726484,,,,,,﻿Rev.,﻿John Conroy,,,,,,,,New York 
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,﻿NY,40.7124315661469,-74.00954445155,,,,,,﻿Very Rev.,﻿John Power,﻿D. D.,,,,,,,New York 
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,,40.7124315661469,-74.00954445155,,,,,,﻿Rev.,﻿J. Neale,,,,,,,,New York 
﻿nyc.ny.9000,﻿church,﻿Christ Church,English,,,,,,﻿New York,﻿New York City,﻿NY,﻿NY,40.714802996414,-73.99912387310358,,,,,,﻿Rev.,﻿Felix Varela,,,,,,,,New York 
﻿nyc.ny.0043,﻿church,﻿St. Mary's,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,﻿NY,40.71581795595829,-73.98511226029609,,,,,,﻿Rev.,﻿William Quarters,,,,,,,,New York 
﻿nyc.ny.0043,﻿church,﻿St. Mary's,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,,40.71581795595829,-73.98511226029609,,,,,,﻿Rev.,﻿Patrick Danaher,,,,,,,,New York 
﻿nyc.ny.0043,﻿church,﻿St. Joseph's,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,﻿NY,40.71581795595829,-73.98511226029609,,,,,,﻿Rev.,﻿James Cummiskey,,,,,,,,New York 
﻿nyc.ny.0043,﻿church,﻿St. Joseph's,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,,40.71581795595829,-73.98511226029609,,,,,,﻿Rev.,﻿C. C. Pise,﻿D. D.,,,,,,,New York 
﻿nyc.ny.0043,﻿church,﻿Dutch Church,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,﻿NY,40.71581795595829,-73.98511226029609,,,,,,﻿Rev. Mr.,﻿Raffiner,,,,,,,,New York 
﻿nyc.ny.0043,﻿church,﻿Dutch Church,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,,40.71581795595829,-73.98511226029609,,,,,,﻿Rev.,﻿Charles Smith,,,,,,,,New York 
﻿alb.ny.0003,﻿church,not recorded,English,,,,,,﻿Albany,﻿Albany,﻿NY,﻿NY,42.65181928627371,-73.75279366723659,,,,,,﻿Rev.,﻿Charles Smith,,,,,,,,New York 
﻿bro.ny.0001,﻿church,﻿St. James,English,"﻿""L.I.""",,,,,﻿Brooklyn,﻿Brooklyn,﻿NY,﻿NY,40.697055999999996,-73.98666700000001,,,,,,﻿Rev.,﻿John Walsh,,,,,,,,New York 
﻿buf.ny.0006,﻿church,not recorded,English,,,,,﻿Erie County,﻿Buffalo,﻿Buffalo,﻿NY,﻿NY,42.895428,-78.871729,,,,,,﻿Rev.,﻿N. Mertz,,,,,,,,New York 
﻿buf.ny.0006,﻿church,not recorded,English,,,,,﻿Erie County,﻿Cold Springs,﻿Buffalo,﻿NY,,42.895428,-78.871729,,,,,,﻿Rev.,﻿P. O'Reilly,,,,,,,,New York 
﻿buf.ny.0006,﻿church,not recorded,English,,,,,﻿Erie County,﻿Auburn,﻿Buffalo,﻿NY,,42.895428,-78.871729,,﻿visited by J. O'Donoghue,,,,,,,,,,,,,New York 
﻿alb.ny.0059,﻿church,not recorded,English,,,,,﻿Jefferson County,﻿Carthage,﻿Carthage,﻿NY,﻿NY,43.978264913479606,-75.60778008184391,,﻿visited by J. O'Donoghue,,,,,,,,,,,,,New York 
﻿alb.ny.0059,﻿church,not recorded,English,,,,,﻿Jefferson County,﻿Geneva,﻿Carthage,﻿NY,,43.978264913479606,-75.60778008184391,,﻿visited by J. O'Donoghue,,,,,,,,,,,,,New York 
﻿alb.ny.0059,﻿church,not recorded,English,,,,,﻿Jefferson County,﻿Oswego,﻿Carthage,﻿NY,,43.978264913479606,-75.60778008184391,,﻿visited by J. O'Donoghue,,,,,,,,,,,,,New York 
﻿alb.ny.0277,﻿church,not recorded,English,,,,,﻿Onondaga County,﻿Salina,﻿Salina,﻿NY,﻿NY,43.0687283112554,-76.1574936052735,,﻿visited by J. O'Donoghue,,,,,,,,,,,,,New York 
﻿alb.ny.0277,﻿church,not recorded,English,,,,,﻿Onondaga County,﻿Sackett's Harbour,﻿Salina,﻿NY,,43.0687283112554,-76.1574936052735,,﻿visited by J. O'Donoghue,,,,,,,,,,,,,New York 
﻿alb.ny.0277,﻿church,not recorded,English,,,,,﻿Onondaga County,﻿Cherry,﻿Salina,﻿NY,,43.0687283112554,-76.1574936052735,,,,,,﻿Rev. Mr.,﻿Dugass,,,,,,,,New York 
﻿alb.ny.0277,﻿church,not recorded,English,,,,,﻿Onondaga County,﻿Champlain,﻿Salina,﻿NY,,43.0687283112554,-76.1574936052735,,,,,,﻿Rev. Mr.,﻿Dugass,,,,,,,,New York 
﻿alb.ny.0277,﻿church,not recorded,English,,,,,﻿Onondaga County,﻿China,﻿Salina,﻿NY,,43.0687283112554,-76.1574936052735,,,,,,﻿Rev. Mr.,﻿Mangan,,,﻿dw. at Rochester,,,,,New York 
﻿roc.ny.0014,﻿church,﻿St. Ambrose's,English,,,,﻿Monroe County,﻿Monroe County,﻿Greece,﻿Greece,﻿NY,﻿NY,43.2527098938266,-77.6589525727407,,,,,,﻿Rev.,﻿P. O'Reilly,,,,,,,,New York 
﻿roc.ny.0014,﻿church,﻿St. Ambrose's,English,,,,﻿Monroe County,﻿Monroe County,﻿Harlem,﻿Greece,﻿NY,,43.2527098938266,-77.6589525727407,,,,,,﻿Rev.,﻿James O'Burne,,,,,,,,New York 
﻿roc.ny.0014,﻿church,﻿St. Ambrose's,English,﻿once a month,,,﻿Monroe County,﻿Monroe County,﻿Hudson,﻿Greece,﻿NY,,43.2527098938266,-77.6589525727407,,,,,,﻿Rev.,﻿Charles Smith,,,,,,,,New York 
﻿alb.ny.0284,﻿church,not recorded,English,,,,,﻿Rensselaer County,﻿Lansingburg,﻿Troy,﻿NY,﻿NY,42.7815415964388,-73.6641135370187,,,,,,﻿Rev.,﻿John Shanahan,,,,,,,,New York 
﻿alb.ny.0284,﻿church,not recorded,English,,,,,﻿Rensselaer County,﻿Lockport,﻿Troy,﻿NY,,42.7815415964388,-73.6641135370187,,,,,,﻿Rev. Mr.,﻿Mangan,,,,,,,,New York 
﻿alb.ny.0284,﻿church,not recorded,English,,,,,﻿Rensselaer County,﻿Medina,﻿Troy,﻿NY,,42.7815415964388,-73.6641135370187,,,,,,﻿Rev. Mr.,﻿Mangan,,,,,,,,New York 
﻿alb.ny.0284,﻿church,not recorded,English,,,,,﻿Rensselaer County,﻿Newberg,﻿Troy,﻿NY,,42.7815415964388,-73.6641135370187,,,,,,﻿Rev.,﻿P. O'Reily,,,,,,,,New York 
﻿alb.ny.0284,﻿church,not recorded,English,,,,,﻿Rensselaer County,﻿Nyack,﻿Troy,﻿NY,,42.7815415964388,-73.6641135370187,,,,,,﻿Rev.,﻿John McGerry,,,,,,,,New York 
﻿alb.ny.0284,﻿church,not recorded,English,,,,,﻿Rensselaer County,﻿Nyack,﻿Troy,﻿NY,,42.7815415964388,-73.6641135370187,,,,,,﻿Rev. Mr.,﻿McClosky,,,,,,,,New York 
﻿nyc.ny.0175,﻿church,not recorded,English,,,,,﻿Dutchess County,﻿Poughkeepsie,﻿Poughkeepsie,﻿NY,﻿NY,41.7092507787965,-73.93694957643491,,,,,,﻿Rev. Mr.,﻿Reily,,,,,,,,New York 
﻿alb.ny.0223,﻿church,not recorded,English,,,,,﻿Clinton County,﻿Plattsburg,﻿Plattsburg,﻿NY,﻿NY,44.6995117768828,-73.4588568540315,,,,,,﻿Rev. Mr.,﻿Plattsburg,,,,,,,,New York 
﻿alb.ny.0223,﻿church,﻿St. Patrick's,English,,,,,﻿Clinton County,﻿Rochester,﻿Plattsburg,﻿NY,,44.6995117768828,-73.4588568540315,,,,,,﻿Rev.,﻿P. O'Reily,,,,,,,,New York 
﻿alb.ny.0223,﻿church,﻿St. Mary's,English,,,,,﻿Clinton County,﻿Rochester,﻿Plattsburg,﻿NY,,44.6995117768828,-73.4588568540315,,,,,,﻿Rev. Mr.,﻿Foley,,,,,,,,New York 
﻿alb.ny.0223,﻿church,﻿St. Mary's,English,,,,,﻿Clinton County,﻿Sandy Hill,﻿Plattsburg,﻿NY,,44.6995117768828,-73.4588568540315,,,,,,﻿Rev.,﻿John Kelly,,,,,,,,New York 
﻿alb.ny.0223,﻿church,﻿St. Mary's,English,,,,,﻿Clinton County,﻿Saratoga,﻿Plattsburg,﻿NY,,44.6995117768828,-73.4588568540315,,,,,,﻿Rev.,﻿John Kelly,,,,,,,,New York 
﻿alb.ny.0223,﻿church,﻿St. Mary's,English,,,,,﻿Clinton County,﻿Sagharbour,﻿Plattsburg,﻿NY,,44.6995117768828,-73.4588568540315,,﻿visited from N. York and Brooklyn,,,,,,,,,,,,,New York 
﻿alb.ny.0223,﻿church,﻿St. Mary's,English,,,,,﻿Clinton County,﻿Rome,﻿Plattsburg,﻿NY,,44.6995117768828,-73.4588568540315,,﻿visited by Rev. W. J. Quarters,,,,,,,,,,,,,New York 
﻿alb.ny.0223,﻿church,﻿St. Mary's,English,,,,,﻿Clinton County,﻿Utica,﻿Plattsburg,﻿NY,,44.6995117768828,-73.4588568540315,,﻿visited by Rev. W. J. Quarters,,,,,,,,,,,,,New York 
﻿alb.ny.0223,﻿church,﻿St. Mary's,English,,,,,﻿Clinton County,﻿Verona,﻿Plattsburg,﻿NY,,44.6995117768828,-73.4588568540315,,﻿visited by Rev. W. J. Quarters,,,,,,,,,,,,,New York 
﻿alb.ny.9001,﻿church,not recorded,English,,,,,,﻿Troy,,﻿NY,,44.6995117768828,-73.4588568540315,,,,,,﻿Rev.,﻿J. Shanahan,,,,,,,,New York 
﻿alb.ny.9001,﻿church,not recorded,English,,,,,,﻿West Point,,﻿NY,,44.6995117768828,-73.4588568540315,,,,,,﻿Rev.,﻿P. O'Reilly,,,,,,,,New York 
﻿alb.ny.9001,﻿church,not recorded,English,,,,,,﻿Williamsville,,﻿NY,,44.6995117768828,-73.4588568540315,,,,,,﻿Rev. Mr.,﻿Wyatt,,,,,,,,New York 
﻿alb.ny.9001,﻿church,not recorded,English,,,,,,﻿Ogdensburg,,﻿NY,,44.6995117768828,-73.4588568540315,,,,,,,,,,﻿no fixed clergymen,,,,,New York 
﻿alb.ny.9001,﻿church,not recorded,English,,,,,,﻿Waddington,,﻿NY,,44.6995117768828,-73.4588568540315,,,,,,,,,,﻿no fixed clergymen,,,,,New York 
﻿alb.ny.9001,﻿church,not recorded,English,,,,,,﻿French Mills,,﻿NY,,44.6995117768828,-73.4588568540315,,,,,,,,,,﻿no fixed clergymen,,,,,New York 
﻿alb.ny.9001,﻿church,not recorded,English,,,,,,﻿Malone Town,,﻿NY,,44.6995117768828,-73.4588568540315,,,,,,,,,,﻿no fixed clergymen,,,,,New York 
﻿alb.ny.9001,﻿church,not recorded,English,,,,,,﻿Bottle Hill,,﻿NJ,,44.6995117768828,-73.4588568540315,,,,,,﻿Rev. Mr.,﻿Herard,,,,,,,,New York 
﻿alb.ny.9001,﻿church,not recorded,English,,,,,,﻿Newark,,﻿NJ,,44.6995117768828,-73.4588568540315,,,,,,﻿Rev. Mr.,﻿Moran,,,,,,,,New York 
﻿new.nj.0067,﻿church,not recorded,English,,,,,,﻿New-Brunswick,,﻿NJ,,40.4862157,-74.4518188,,,,,,,,,,,,,,,New York 
