instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿new.la.0001,﻿cathedral,﻿Cathedral of St Louis,English,,,,,﻿Orleans Parish,﻿New Orleans,﻿New Orleans,﻿LA,﻿LA,29.95794292,-90.06372788,,,,,,﻿Very Rev.,﻿Anthony Blanc,,﻿Adm'rs,,,,,1835,NewOrleans,NewOrleans
﻿new.la.0001,﻿cathedral,﻿Cathedral of St Louis,English,,,,,﻿Orleans Parish,﻿New Orleans,﻿New Orleans,﻿LA,,29.95794292,-90.06372788,,,,,,﻿Very Rev.,﻿V. Ladaviere,,﻿Adm'rs,,,,,1835,NewOrleans,NewOrleans
﻿new.la.0001,﻿cathedral,﻿Cathedral of St Louis,English,,,,,﻿Orleans Parish,﻿New Orleans,﻿New Orleans,﻿LA,,29.95794292,-90.06372788,,,,,,﻿Rev.,﻿L. Moni,,,,,,,1835,NewOrleans,NewOrleans
﻿new.la.0001,﻿cathedral,﻿Cathedral of St Louis,English,,,,,﻿Orleans Parish,﻿New Orleans,﻿New Orleans,﻿LA,,29.95794292,-90.06372788,,,,,,﻿Rev.,﻿B. Permoli,,,,,,,1835,NewOrleans,NewOrleans
﻿new.la.0001,﻿cathedral,﻿Cathedral of St Louis,English,,,,,﻿Orleans Parish,﻿New Orleans,﻿New Orleans,﻿LA,,29.95794292,-90.06372788,,,,,,﻿Rev.,﻿J. M. Benniot,,,,,,,1835,NewOrleans,NewOrleans
﻿new.la.0001,﻿cathedral,﻿Cathedral of St Louis,English,,,,,﻿Orleans Parish,﻿New Orleans,﻿New Orleans,﻿LA,,29.95794292,-90.06372788,,,,,,﻿Rev.,﻿P. Ascensio,,,,,,,1835,NewOrleans,NewOrleans
﻿new.la.0001,﻿cathedral,﻿Cathedral of St Louis,English,,,,,﻿Orleans Parish,﻿New Orleans,﻿New Orleans,﻿LA,,29.95794292,-90.06372788,,,,,,﻿Rev.,﻿A. Mascaroni,,,,,,,1835,NewOrleans,NewOrleans
﻿new.la.0002,﻿cathedral,﻿St. Mary's,English,,,,,﻿Orleans Parish,﻿New Orelans,﻿New Orleans,﻿LA,﻿LA,29.951065999999997,-90.07153199999999,,,,,,﻿Rev.,﻿C. Maenhaut,,,,,,,1835,NewOrleans,NewOrleans
﻿new.la.9010,﻿cathedral,﻿St. Patrick's,English,,,,,﻿Orleans Parish,﻿New Orelans,﻿New Orleans,﻿LA,﻿LA,29.951065999999997,-90.07153199999999,,,,,,﻿Rev.,﻿A. Kindolan,,,,,,,1835,NewOrleans,NewOrleans
﻿new.la.9011,﻿cathedral,﻿St. Antonio,English,,,,,﻿Orleans Parish,﻿New Orelans,﻿New Orleans,﻿LA,﻿LA,29.951065999999997,-90.07153199999999,,,,,,﻿Rev.,﻿P. Loperena,,,,,,,1835,NewOrleans,NewOrleans
﻿new.la.9001,﻿cathedral,not recorded,English,,,,﻿Assumption Parish,﻿Assumption Parish,,,﻿LA,﻿LA,29.951065999999997,-90.07153199999999,,,,,,﻿Rev.,﻿B. De St. Aubin,,,,,,,1835,NewOrleans,NewOrleans
﻿new.la.0078,﻿church,﻿St. Martin's,English,,,,﻿Attakapas Parish,﻿St. Martin Parish,,﻿St. Martinville,﻿LA,﻿LA,30.12302632,-91.82874083,,,,,,﻿Rev.,﻿M. Borella,,,,,,,1835,NewOrleans,NewOrleans
﻿nat.la.0023,﻿church,﻿St. Paul's,English,,,,﻿Avoyelles Parish,﻿Avoyelles Parish,,﻿Mansura,﻿LA,﻿LA,31.06064291,-92.04960097,,,,﻿vacant,,,,,,,,,,1835,NewOrleans,NewOrleans
﻿new.la.0029,﻿church,not recorded,English,,﻿W[est],,,﻿West Baton Rogue Parish,﻿Baton Rouge,﻿Brusly,﻿LA,﻿LA,30.38506811,-91.23639256,,,,,,﻿Rev. Mr.,﻿Brasseur,,,,,,,1835,NewOrleans,NewOrleans
﻿new.la.9002,﻿church,﻿St. John's,English,,﻿E[ast],,,,﻿Baton Rouge,,﻿LA,,30.38506811,-91.23639256,,,,,,﻿Rev. Mr.,﻿Beaupré,,,,,,,1835,NewOrleans,NewOrleans
