instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.9456428722341,-75.1485631318047,,,,,,﻿Right Rev.,﻿Henry Conwell,﻿D.D.,,,,,﻿under the direction of the Fathers of the Society of Jesus,1837,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.9456428722341,-75.1485631318047,,,,,,﻿Right Rev.,﻿Fran. P. Kenrick,﻿D. D.,﻿Coadj.,,,,﻿under the direction of the Fathers of the Society of Jesus,1837,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.9456428722341,-75.1485631318047,,,,,,﻿Rev.,﻿Peter R. Kenrick,,﻿Pastor,,,,﻿under the direction of the Fathers of the Society of Jesus,1837,Philadelphia
﻿phi.pa.0006,﻿church,﻿St. Joseph's,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.9465537154355,-75.147570704557,,,,,,﻿Rev.,﻿Ed. M'Carthy,﻿S.J.,,,,,,1837,Philadelphia
﻿phi.pa.0007,﻿church,﻿St. Augustine's,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.9555271371024,-75.1465845042972,,,,,,﻿Rev.,﻿Michael Hurley,,,,,,,1837,Philadelphia
﻿phi.pa.0007,﻿church,﻿St. Augustine's,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.9555271371024,-75.1465845042972,,,,,,﻿Rev.,﻿N. O'Donnell,,,,,,,1837,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,﻿German,﻿German,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,﻿PA,39.945508396058294,-75.1518946315092,,,,,,﻿Rev.,﻿Nicholas Balleis,,,,,,,1837,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,﻿German,﻿German,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,,39.945508396058294,-75.1518946315092,,,,,,﻿Rev.,﻿Cor. Vanderbraak,,,,,,,1837,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John,English,﻿Evang.,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.9512695407673,-75.16138095802879,,,,,,﻿Very Rev.,﻿John Hughes,,,,,,,1837,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John,English,﻿Evang.,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.9512695407673,-75.16138095802879,,,,,,﻿Rev.,﻿F. X. Gartland,,,,,,,1837,Philadelphia
﻿phil.pa.0010,﻿church,﻿St. Michael's,English,,,,,,﻿Philadelphia,﻿Philadelphia,﻿PA,﻿PA,39.97389081,-75.13848967,,,,,,﻿Rev.,﻿T. J. Donaghue,,,,,,,1837,Philadelphia
﻿pit.pa.9006,﻿church,﻿St. James,English,,,,,,﻿Alexandria,,﻿PA,,39.97389081,-75.13848967,,,﻿occasionally,,,﻿Rev.,﻿J. Hoerner,,,﻿of Wheeling,,,,1837,Philadelphia
﻿pit.pa.0015,﻿church,﻿St. Thomas,English,﻿once a month,,,,﻿Bedford County,﻿Bedford,﻿Bedford,﻿PA,﻿PA,40.0176665419288,-78.5015180781284,,,,,,﻿Rev.,﻿James Bradley,,,﻿Dw. at Newry,,,,1837,Philadelphia
