instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,0.0,0.0,,,,,﻿j_b_lamy_001,﻿Rt. Rev.,﻿J. B. Lamy,﻿D.D.,,,,,,1867,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,0.0,0.0,,,,,﻿pet_eguillon_001,﻿Very. Rev.,﻿Peter Eguillon,,﻿Rector,,,,,1867,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,0.0,0.0,,,,,﻿j_b_courbon_001,﻿Rev.,﻿J. B. Courbon,,﻿Assistant,,,,,1867,SantaFe
﻿san.nm.0002,﻿chapel,﻿Chapel of N. Sen. del Rosario,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,0.0,0.0,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0003,﻿chapel,﻿Chapel of Na. Senora de Guadelupe,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,0.0,0.0,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0004,﻿chapel,﻿Chapel of San Miguel,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,0.0,0.0,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0005,﻿chapel,﻿Chapel of Na. Sra. de la Luz,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,0.0,0.0,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0006,﻿chapel,﻿Chapel of San Isidro,English,,,﻿Santa Fé,,,﻿Aguafria,﻿Aguafria,﻿NM,,0.0,0.0,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0007,﻿chapel,﻿Chapel of San José,English,,,﻿Santa Fé,,,﻿Cienega,﻿Cienega,﻿NM,,0.0,0.0,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0008,﻿chapel,﻿Chapel of N. Sen. de los Remedios,English,,,﻿Santa Fé,,,﻿Galisteo,﻿Galisteo,﻿NM,,0.0,0.0,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0009,﻿chapel,﻿Chapel of N. Sen. de los Angeles,English,,,﻿Santa Fé,,,﻿Pecos,﻿Pecos,﻿NM,,0.0,0.0,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0010,﻿chapel,﻿Chapel of San Isidro,English,,,﻿Santa Fé,,,﻿Rio Tesuque,﻿Tesuque,﻿NM,,0.0,0.0,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0011,﻿chapel,﻿Chapel of San Diego,English,﻿Pueblo Indians,,﻿Santa Fé,,,﻿Tesque,﻿Tesuque,﻿NM,,0.0,0.0,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0012,﻿church,﻿Parish Church of Santo Tomas,English,,,﻿Abiquiu,,,﻿Abiquiu,﻿Abiquiu,﻿NM,,0.0,0.0,,,,,﻿p_bernal_001,﻿Rev.,﻿Peter Bernal,,,,,,,1867,SantaFe
﻿san.nm.0013,﻿chapel,﻿Santa Rosa's Chapel,English,,,﻿Abiquiu,,,,,﻿NM,,0.0,0.0,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0014,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿El Rito,﻿El Rito,﻿NM,,0.0,0.0,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0015,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿Los Ancones,﻿Ancones,﻿NM,,0.0,0.0,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0016,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿Servilleta,,﻿NM,,0.0,0.0,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0017,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿El Ozo Caliente,﻿Ojo Caliente,﻿NM,,0.0,0.0,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0018,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿El Vallecito,﻿Vallecitos,﻿NM,,0.0,0.0,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0019,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿Los Canones,﻿Cañones,﻿NM,,0.0,0.0,,﻿Attended from Canones,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0020,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿Tierra Amarilla,﻿Tierra Amarilla,﻿NM,,0.0,0.0,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0021,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿La Casita,,﻿NM,,0.0,0.0,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0022,﻿church,﻿Parish Church of San Felipe de Neri,English,,,﻿Albuquerque,,,﻿Albuquerque,﻿Albuquerque,﻿NM,,0.0,0.0,,,,,﻿j_a_truchard_001,﻿Very Rev.,﻿John Aug. Truchard,﻿S.J.,,,,,,1867,SantaFe
﻿san.nm.0023,﻿chapel,﻿Chapel of San José,English,,,﻿Albuquerque,,,﻿Ranchos de Albuq.,﻿Los Ranchos de Albuquerque,﻿NM,,0.0,0.0,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0024,﻿chapel,﻿Chapel of Na. Sen. de Carmel,English,,,﻿Albuquerque,,,﻿El Rancho,﻿Albuquerque,﻿NM,,0.0,0.0,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0025,﻿chapel,﻿Chapel of La Natividad,English,,,﻿Albuquerque,,,﻿Lalameda,﻿Alameda,﻿NM,,0.0,0.0,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0026,﻿chapel,﻿San Antonio's Chapel,English,,,﻿Albuquerque,,,,,﻿NM,,0.0,0.0,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0027,﻿chapel,﻿Chapel of San José,English,,,﻿Albuquerque,,,﻿Barelas,﻿Albuquerque,﻿NM,,0.0,0.0,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0028,﻿chapel,﻿San Pedro's Chapel,English,,,,,,,,﻿NM,,0.0,0.0,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0029,﻿chapel,﻿Chapel of San José,English,,,﻿Abiquiu,,,﻿Rancheros de Atrisco,﻿Albuquerque,﻿NM,,0.0,0.0,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0030,﻿church,﻿Parish Church of San José,English,,,﻿Antonchico,,,﻿Antonchico,﻿Anton Chico,﻿NM,,0.0,0.0,,,,,﻿aug_redon_001,﻿Rev.,﻿Aug. Redon,,,,,,,1867,SantaFe
﻿san.nm.0031,﻿chapel,﻿Plasa de Ariba Chapel,English,,,﻿Antonchico,,,﻿Plasa de Ariba,,﻿NM,,0.0,0.0,﻿san.nm.0030,﻿Attended from Antonchico,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0032,﻿chapel,not recorded,English,,,﻿Antonchico,,,﻿Chaperito,﻿Chaperito,﻿NM,,0.0,0.0,﻿san.nm.0030,﻿Attended from Antonchico,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0033,﻿chapel,﻿Chapel of San Augustin,English,,,﻿Antonchico,,,﻿Valles,﻿San Augustin,﻿NM,,0.0,0.0,﻿san.nm.0030,﻿Attended from Antonchico,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0034,﻿chapel,not recorded,English,,,﻿Antonchico,,,﻿La Lindre,﻿La Liendre,﻿NM,,0.0,0.0,﻿san.nm.0030,﻿Attended from Antonchico,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0035,﻿chapel,not recorded,English,,,﻿Antonchico,,,﻿Jorupa,,﻿NM,,0.0,0.0,﻿san.nm.0030,﻿Attended from Antonchico,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0038,﻿church,﻿Parish Church of Na. Senora de Belen,English,,,﻿Antonchico,,,﻿Belen,﻿Belen,﻿NM,,0.0,0.0,,,,,﻿eug_paulet_001,﻿Rev.,﻿Eugenio Paulet,,,,,,,1867,SantaFe
﻿san.nm.0039,﻿chapel,not recorded,English,,,﻿Antonchico,,,﻿El Sauzal,,﻿NM,,0.0,0.0,﻿san.nm.0038,﻿Attended from Belen,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0040,﻿chapel,not recorded,English,,,﻿Antonchico,,,﻿Los Chavez,﻿Los Chavez,﻿NM,,0.0,0.0,﻿san.nm.0038,﻿Attended from Belen,,,,,,,,,,,,1867,SantaFe
﻿san.nm.0041,﻿church,﻿Parish Church of Na. Sen. de los Dolores,English,,,﻿Bernalillo,,,﻿Bernalillo,﻿Bernalillo,﻿NM,,0.0,0.0,,,,,﻿tho_hayes_001,﻿Rev.,﻿Thomas Hayes,,,,,,,1867,SantaFe
