instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,﻿#REF!,﻿#REF!,,,,,,﻿Rt. Rev.,﻿J. B. Lamy,﻿D.D.,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,﻿#REF!,﻿#REF!,,,,,,﻿Very Rev.,﻿Peter Eguillon,,﻿Rector,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿P. Bernal,,﻿Assistant,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,﻿#REF!,﻿#REF!,,,,,﻿a_fourchaigu_001,﻿Rev.,﻿A. Fourchaign,,﻿Assistant,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0002,﻿chapel,﻿Chapel of N. Sen. del Rosario,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0003,﻿chapel,﻿Chapel of Na. Senora de Guadelupe,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0004,﻿chapel,﻿Chapel of San Miguel,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0005,﻿chapel,﻿Chapel of Na. Sra. de la Luz,English,﻿two chapels,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0006,﻿chapel,﻿Chapel of San Isidro,English,,,﻿Santa Fé,,,﻿Aguafria,﻿Aguafria,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0007,﻿chapel,﻿Chapel of San José,English,,,﻿Santa Fé,,,﻿Cienega,﻿Cienega,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0008,﻿chapel,﻿Chapel of N. Sen. de los Remedios,English,,,﻿Santa Fé,,,﻿Galisteo,﻿Galisteo,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0009,﻿chapel,﻿Chapel of N. Sen. de los Angeles,English,,,﻿Santa Fé,,,﻿Pecos,﻿Pecos,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0010,﻿chapel,﻿Chapel of San Isidro,English,,,﻿Santa Fé,,,﻿Rio Tesuque,﻿Tesuque,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0011,﻿chapel,﻿Chapel of San Diego,English,﻿Pueblo Indians,,﻿Santa Fé,,,﻿Tesque,﻿Tesuque,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0012,﻿church,﻿Parish Church of Santo Tomas,English,,,﻿Abiquiu,,,﻿Abiquiu,﻿Abiquiu,﻿NM,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿J. Valesy,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0012,﻿church,﻿Parish Church of Santo Tomas,English,,,﻿Abiquiu,,,﻿Abiquiu,﻿Abiquiu,﻿NM,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿E. Parisis,,﻿Assistant,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0013,﻿chapel,﻿Santa Rosa's Chapel,English,,,﻿Abiquiu,,,,,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0014,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿El Rito,﻿El Rito,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0015,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿Los Ancones,﻿Ancones,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0016,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿Servilleta,,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0017,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿El Ojo Caliente,﻿Ojo Caliente,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0018,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿El Vallecito,﻿Vallecitos,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0019,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿Los Canones,﻿Cañones,﻿NM,,﻿#REF!,﻿#REF!,,﻿Attended from Canones,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0020,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿Tierra Amarilla,﻿Tierra Amarilla,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0021,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿La Casita,,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0022,﻿church,﻿Parish Church of San Felipe de Neri,English,,,﻿Albuquerque,,,﻿Albuquerque,﻿Albuquerque,﻿NM,,﻿#REF!,﻿#REF!,,,,,,﻿Very Rev.,﻿L. Vigilante,﻿S.J.,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0022,﻿church,﻿Parish Church of San Felipe de Neri,English,,,﻿Albuquerque,,,﻿Albuquerque,﻿Albuquerque,﻿NM,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿D. M. Gasparri,﻿S.J.,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0022,﻿church,﻿Parish Church of San Felipe de Neri,English,,,﻿Albuquerque,,,﻿Albuquerque,﻿Albuquerque,﻿NM,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿M. Bianchi,﻿S.J.,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0023,﻿chapel,﻿Chapel of San José,English,,,﻿Albuquerque,,,﻿Ranchos de Albuq.,﻿Los Ranchos de Albuquerque,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0024,﻿chapel,﻿Chapel of Na. Sen. de Carmel,English,,,﻿Albuquerque,,,﻿El Rancho,﻿Albuquerque,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0025,﻿chapel,﻿Chapel of La Natividad,English,,,﻿Albuquerque,,,﻿Lalameda,﻿Alameda,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0026,﻿chapel,﻿San Antonio's Chapel,English,,,﻿Albuquerque,,,,,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0027,﻿chapel,﻿Chapel of San José,English,,,﻿Albuquerque,,,﻿Barelas,﻿Albuquerque,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0028,﻿chapel,﻿San Pedro's Chapel,English,,,,,,,,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0029,﻿chapel,﻿Chapel of San José,English,,,﻿Abiquiu,,,﻿Rancheros de Atrisco,﻿Albuquerque,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0030,﻿church,﻿Parish Church of San José,English,,,﻿Antonchico,,,﻿Antonchico,﻿Anton Chico,﻿NM,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿Aug. Redon,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0031,﻿chapel,﻿Plasa de Ariba Chapel,English,,,﻿Antonchico,,,,,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0030,﻿Attended from Antonchico,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0032,﻿chapel,not recorded,English,,﻿Chapel,﻿Antonchico,,,﻿Chaperito,﻿Chaperito,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0030,﻿Attended from Antonchico,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0033,﻿chapel,﻿Chapel of San Augustin,English,,,﻿Antonchico,,,﻿Valles,﻿San Augustin,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0030,﻿Attended from Antonchico,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0034,﻿chapel,not recorded,English,,﻿Chapel,﻿Antonchico,,,﻿La Lindre,﻿La Liendre,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0030,﻿Attended from Antonchico,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0035,﻿chapel,not recorded,English,,﻿Chapel,﻿Antonchico,,,﻿Jorupa,,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0030,﻿Attended from Antonchico,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0036,﻿chapel,not recorded,English,,﻿Chapel,﻿Antonchico,,,﻿Los Colonias,﻿Colonias,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0030,﻿Attended from Antonchico,,"﻿Also listed in Santa Fé (first) section, where it says it's attended by the clergy of the Cathedral",,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0037,﻿chapel,not recorded,English,,﻿Chapel,﻿Antonchico,,,﻿Puerto de Luna,﻿Puerto de Luna/Santa Rosa,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0030,﻿Attended from Antonchico,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0038,﻿church,﻿Parish Church of Na. Senora de Belen,English,,,﻿Antonchico,,,﻿Belen,﻿Belen,﻿NM,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿Eugenio Paulet,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0039,﻿chapel,not recorded,English,,﻿Chapel,﻿Antonchico,,,﻿El Sauzal,,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0038,﻿Attended from Belen,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0040,﻿chapel,not recorded,English,,﻿Chapel,﻿Antonchico,,,﻿Los Chavez,﻿Los Chavez,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0038,﻿Attended from Belen,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0041,﻿church,﻿Parish Church of Na. Sen. de los Dolores,English,,,﻿Bernalillo,,,﻿Bernalillo,﻿Bernalillo,﻿NM,,﻿#REF!,﻿#REF!,,,,,﻿j_a_truchard_001,﻿Rev.,﻿J. A. Truehard,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0042,﻿chapel,﻿Chapel of San José,English,,,﻿Bernalillo,,,﻿Bernalillo,﻿Bernalillo,﻿NM,,﻿#REF!,﻿#REF!,,﻿Attended by the same clergy,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0043,﻿chapel,﻿Chapel of San Antonio,English,,﻿Indian Pueblo,﻿Bernalillo,,,﻿Sandia,﻿Sandia Pueblo,﻿NM,,﻿#REF!,﻿#REF!,,﻿Attended by the same clergy,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0044,﻿chapel,﻿Chapel of Santa Familia,English,,,﻿Bernalillo,,,﻿Corales,﻿Corrales,﻿NM,,﻿#REF!,﻿#REF!,,﻿Attended by the same clergy,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0045,﻿chapel,not recorded,English,,﻿Chapel,﻿Bernalillo,,,﻿Algodones,﻿Algodones,﻿NM,,﻿#REF!,﻿#REF!,,﻿Attended by the same clergy,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0046,﻿chapel,not recorded,English,,﻿Chapel,﻿Bernalillo,,,﻿El Tejon and Placitas,﻿Placitas,﻿NM,,﻿#REF!,﻿#REF!,,﻿Attended by the same clergy,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0047,﻿church,﻿Parish Church of Na. Sen. de los Dolores,English,,,﻿Cevoyeta,,,﻿Cevoyeta,﻿Seboyeta,﻿NM,,﻿#REF!,﻿#REF!,,,,,,﻿Rev.,﻿J. B. Courbon,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0048,﻿chapel,not recorded,English,,﻿Chapel,﻿Cevoyeta,,,﻿El Rito,﻿*Note there are three different El Ritos,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0047,﻿Chapel attended from Cevoyeta,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0049,﻿chapel,not recorded,English,,﻿Chapel,﻿Cevoyeta,,,﻿Cubero,﻿Cubero,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0047,﻿Chapel attended from Cevoyeta,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
﻿san.nm.0050,﻿chapel,﻿St. Joseph's Chapel,English,,﻿Indian Pueblo,﻿Cevoyeta,,,﻿La Laguna,﻿Laguna,﻿NM,,﻿#REF!,﻿#REF!,﻿san.nm.0047,﻿Chapel attended from Cevoyeta,,,,,,,,,,,,1869,﻿SantaFé,SantaFe
