instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,﻿The clery of the College assist at the Cathedral.,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.64254815,-90.25465453,,,,,,,﻿Right Rev.,﻿Joseph Rosati,﻿D. D.,,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,﻿The clery of the College assist at the Cathedral.,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,,,,﻿Very Rev.,﻿Philip Borgna,,,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,﻿The clery of the College assist at the Cathedral.,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,,,,﻿Rev.,﻿Joseph A. Lutz,,,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,﻿The clery of the College assist at the Cathedral.,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,,,,﻿Rev.,﻿L. Tucker,,,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.0002,﻿church,﻿St. Mary's Chapel,English,﻿Mass and Sermon at 9 for the coloured people. After Vespers every Sunday the members of the Fraternity of the Sacred Heart meet here.,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.61803323,-90.190557,,,,,,,,,,,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.9000,﻿church,﻿Church of our Lady of Mount Carmel,﻿French,﻿Commonly called Vide-Poche.,,,﻿St. Louis County,﻿St. Louis County,﻿Carondelet,﻿St. Louis,﻿MO,﻿MO,38.5579011,-90.24998076,,,,,,,﻿Rev.,﻿E. Saulnier,,,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.9001,﻿church,not recorded,English,,,,﻿St. Charles County,﻿St. Charles County,﻿Dardenne,﻿Dardenne Prairie,﻿MO,﻿MO,38.75765244,-90.74398902,,,,,,,﻿Rev.,﻿Levin Verreight,,,﻿This Gentleman attends a very large mission in the Upper Counties of the State,,,,1834,﻿StLouis,StLouis
﻿stl.mo.0062,﻿church,﻿St. Ferdinand's Church,﻿French and English,,,,,﻿St. Louis County,﻿Florissant,﻿Florissant,﻿MO,﻿MO,38.80672647,-90.35444261,,,,,,,﻿Rev.,﻿Judocus Van Assche,,,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.0066,﻿church,﻿St. Michael's,﻿English and French,,,,﻿Madison County,﻿Madison County,﻿Fredericktown,﻿Fredericktown,﻿MO,﻿MO,37.56005085,-90.29888383,,,,,,,﻿Rev.,﻿Francis Cellini,,,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.9002,﻿church,﻿St. Peter's Church,﻿English Sermon,,,,,﻿Morgan County,﻿Gravois,﻿Gravois Mill,﻿MO,﻿MO,38.30918822,-92.82273654,,,,﻿once a month,,,﻿Rev.,﻿Philip Borgna,,,,,,,1834,﻿StLouis,StLouis
