instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,﻿#REF!,﻿#REF!,,,,,﻿tho_l_grace_001,﻿Right Rev.,﻿Thomas L. Grace,,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,﻿#REF!,﻿#REF!,,,,,﻿a_ravoux_001,﻿Very Rev.,﻿A. Ravoux,,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,﻿#REF!,﻿#REF!,,,,,﻿joh_ireland_001,﻿Rev.,﻿John Ireland,,﻿Pastor of the Parish,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0002,﻿church,﻿Assumption Church,﻿German,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,﻿#REF!,﻿#REF!,,,,,﻿cle_staub_001,﻿Rev.,﻿Clement Staub,﻿O.S.B.,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0002,﻿church,﻿Assumption Church,﻿German,,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,﻿#REF!,﻿#REF!,,,,,﻿oth_wirz_001,﻿Rev.,﻿Othman Wirz,﻿O.S.B.,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0003,﻿church,﻿St. Mary's Church,English,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,﻿#REF!,﻿#REF!,,,,,﻿l_caillet_001,﻿Rev.,﻿L. Caillet,,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0004,﻿church,﻿St. Louis' Church,﻿French,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,﻿#REF!,﻿#REF!,,,,,﻿a_schmirer_001,﻿Rev.,﻿A. Schmirer,,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0005,﻿chapel,﻿Chapel of St. Joseph,English,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,﻿#REF!,﻿#REF!,,,,,﻿dem_marogna_001,﻿Rev.,﻿Demetrius Marogna,,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0006,﻿church,﻿St. Michael's Church,English,,﻿West St. Paul,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,﻿#REF!,﻿#REF!,﻿stp.mn.0001,﻿Attended from the Cathedral,,,,,,,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0007,﻿church,﻿St. John's Church,English,,,,,﻿Ramsey County,﻿New-Canada,﻿Little Canada,﻿MN,,﻿#REF!,﻿#REF!,,﻿,,,﻿j_goiffon_001,﻿Rev.,﻿J. Goiffon,,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0070,﻿church,﻿Church of St. Anthony of Padua,﻿English,,,,﻿Hennepin County,﻿Hennepin County,﻿St. Anthony,﻿St. Anthony,﻿MN,,﻿#REF!,﻿#REF!,,﻿,,,﻿f_tissot_001,﻿Rev.,﻿F. Tissot,,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0071,﻿church,﻿St. Boniface,﻿German,,,,﻿Hennepin County,﻿Hennepin County,﻿St. Anthony,﻿St. Anthony,﻿MN,,﻿#REF!,﻿#REF!,,﻿,,,﻿jos_hilmer_001,﻿Rev.,﻿Joseph Hilmer,,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0072,﻿church,not recorded,English,,,,﻿Hennepin County,﻿Hennepin County,﻿Minneapolis,﻿Minneapolis,﻿MN,,﻿#REF!,﻿#REF!,,﻿,,,﻿jam_mcgolrick_001,﻿Rev.,﻿James McGolrick,,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0073,﻿church,﻿Church of St. John the Baptist,English,,,,﻿Hennepin County,﻿Hennepin County,﻿Dayton,﻿Dayton,﻿MN,,﻿#REF!,﻿#REF!,,﻿,,,﻿pro_maurer_001,﻿Rev.,﻿Prosper Maurer,,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0074,﻿church,﻿Church of St. Walburga,﻿German,,,,﻿Hennepin County,﻿Hennepin County,﻿Corcoran,﻿Corcoran,﻿MN,,﻿#REF!,﻿#REF!,﻿stp.mn.0174,﻿Visited by Rev. J. Koering,,,,,,,,,,,,1869,﻿StPaul,StPaul
﻿stp.mn.0075,﻿church,﻿St. Mary,English,,,,﻿Hennepin County,﻿Hennepin County,﻿Corcoran,﻿Corcoran,﻿MN,,﻿#REF!,﻿#REF!,﻿stp.mn.0073,﻿Visited by Rev. Prosper Maurer,,,,,,,,,,,,1869,﻿StPaul,StPaul
