instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿oma.ne.0001,﻿church,﻿Church of St. Philomena,English,,,,,,﻿Omaha,﻿Omaha,﻿NE,﻿NE,﻿#REF!,﻿#REF!,,,,,﻿jam_ogorman_001,﻿Rt. Rev.,﻿J.M. O'Gorman,,,,,,,1865,﻿VANebraska,VANebraska
﻿oma.ne.0001,﻿church,﻿Church of St. Philomena,English,,,,,,﻿Omaha,﻿Omaha,﻿NE,,﻿#REF!,﻿#REF!,,,,,﻿joh_daxacher_001,﻿Rev.,﻿J. Daxacherff,,﻿Pastor,,,,,1865,﻿VANebraska,VANebraska
﻿oma.ne.0004,﻿church,not recorded,English,,,,﻿Platte County,,﻿Columbus,﻿Columbus,﻿NE,﻿NE,﻿#REF!,﻿#REF!,,,,,﻿wil_kelly_002,﻿Rev.,﻿Wm. Kelly,,,,,,,1865,﻿VANebraska,VANebraska
﻿oma.ne.0003,﻿church,not recorded,English,,,,﻿Otoe County,,﻿Nebraska City,﻿Nebraska City,﻿NE,﻿NE,﻿#REF!,﻿#REF!,,,,,﻿ema_hartig_001,﻿Rev.,﻿Eml. Hartig,﻿O.S.B.,,,,,,1865,﻿VANebraska,VANebraska
﻿oma.ne.0003,﻿church,﻿St. John's,English,,,,﻿Otoe County,,﻿St. Patrick's Settlement,﻿Nebraska City,﻿NE,,﻿#REF!,﻿#REF!,,,,,﻿t_ryan_002,﻿Rev.,﻿R. T. Ryan,,,,,,,1865,﻿VANebraska,VANebraska
﻿oma.ne.0006,﻿church,not recorded,English,,,,﻿Richardson County,,﻿Rulo,﻿Rulo,﻿NE,﻿NE,﻿#REF!,﻿#REF!,,,,,﻿a_fourmont_001,﻿Rev.,﻿A. Fourmont,,﻿Pastor,,,,,1865,﻿VANebraska,VANebraska
﻿oma.ne.0025,﻿mission,not recorded,English,,,,﻿Cass County,,﻿Plattsmouth,﻿Plattsmouth,﻿NE,﻿NE,﻿#REF!,﻿#REF!,,,,,﻿ema_hartig_001,﻿Rev.,﻿El. Hartig,,,,,,,1865,﻿VANebraska,VANebraska
﻿oma.ne.0037,﻿mission,not recorded,English,,,,,,﻿Salt Creek,,﻿NE,,﻿#REF!,﻿#REF!,,,,,﻿ema_hartig_001,﻿Rev.,﻿E. Hartig,,,,,,,1865,﻿VANebraska,VANebraska
﻿oma.ne.0007,﻿mission,not recorded,English,﻿an Irish settlement,,,,,﻿Forest City,,﻿NE,﻿NE,﻿#REF!,﻿#REF!,,,,,﻿joh_daxacher_001,﻿Rev.,﻿J. Daxacherff,,,,,,,1865,﻿VANebraska,VANebraska
﻿oma.ne.0010,﻿mission,not recorded,English,﻿german settlement,,,,,﻿St. Helena,﻿St. Helena,,﻿NE,﻿#REF!,﻿#REF!,,,,,﻿joh_daxacher_001,﻿Rev.,﻿J. Daxacherff,,,,,,,1865,﻿VANebraska,VANebraska
﻿oma.ne.0008,﻿mission,not recorded,English,﻿german settlement,,,,,﻿West-Point,﻿West Point,﻿NE,﻿NE,﻿#REF!,﻿#REF!,,,,,﻿joh_daxacher_001,﻿Rev.,﻿J. Daxacherff,,,,,,,1865,﻿VANebraska,VANebraska
﻿oma.ne.0014,﻿mission,not recorded,English,,,,,,﻿Fort Kearney,﻿Kearney,﻿NE,﻿NE,﻿#REF!,﻿#REF!,﻿oma.ne.0004,﻿attended from Columbus,,,,,,,,,,,,1865,﻿VANebraska,VANebraska
