instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿vinc.in.0001,﻿cathederal,﻿Cathederal of St. Frances Xavier,English,,,,,﻿Knox County,﻿Vincennes,,﻿IN,,,,,,,,﻿sim_g_bruté_001,﻿Right Rev.,﻿Simon G. Bruté,﻿D. D.,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0001,﻿church,﻿St. Peter's,English,,,,﻿Davies County,﻿Knox County,﻿Black Oak Ridge,﻿Montgomery,﻿IN,,,,,,,,﻿sim_lalumiere_001,﻿Rev.,﻿Simon Lalumiere,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0001,﻿church,﻿St. Mary's,English,,,,﻿Davies County,﻿Knox County,﻿Black Oak Ridge,﻿Montgomery,﻿IN,,,,,,,,﻿sim_lalumiere_001,﻿Rev.,﻿Simon Lalumiere,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0001,﻿church,﻿St. Mary's,English,,﻿an Indian Village on the Tippecanoa,,﻿Davies County,﻿Knox County,﻿Chicocos,﻿Montgomery,﻿IN,,,,,,,,﻿deseille_002,﻿Rev. Mr.,﻿Deseille,,,﻿of Michigan,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0001,﻿church,﻿St. Mary's,English,,﻿Duchee River,,﻿Davies County,﻿Knox County,﻿Chicocos,﻿Montgomery,﻿IN,,,,,,﻿occasionally,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0033,﻿church,﻿St. John's,English,﻿every other Sunday,,,﻿Dearborn County,,﻿Dover,,﻿IN,,,,,,,,﻿jos_ferneding_001,﻿Rev.,﻿Jos. Ferneding,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0033,﻿church,﻿St. Joseph's,English,﻿every other Sunday,,,﻿Allen County,,﻿Fort Wayne,,﻿IN,,,,,,,,﻿mat_ruff_001,﻿Rev.,﻿Matthew Ruff,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0033,﻿church,﻿St. Mary's,English,﻿every other Sunday,,,﻿Allen County,,﻿Fort Wayne,,﻿IN,,,,,,,,,﻿Rev.,﻿Matthew Ruff,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0033,﻿church,﻿St. Mary's,English,﻿every other Sunday,,,﻿Allen County,,﻿Huntingdon,,﻿IN,,,,,,,,﻿mat_ruff_001,﻿Rev.,﻿Matthew Ruff,,,,,,,1836,﻿vincennes,Vincennes
﻿for.in.0081,﻿church,not recorded,English,,,,﻿Cass County,,﻿Logansport,,﻿IN,,,,,,﻿visited occasionally,,﻿s_t_badin_001,﻿Rev.,﻿S. T. Badin,,,,,,,1836,﻿vincennes,Vincennes
﻿for.in.0081,﻿church,not recorded,English,,,,﻿Cass County,,﻿Mount Pleasant,,﻿IN,,,,,,﻿visited occasionally,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿for.in.0081,﻿church,not recorded,English,,,,﻿Cass County,,﻿Madison,,﻿IN,,,,,,﻿visited occasionally,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿for.in.0081,﻿church,﻿St. Paul's,English,﻿a large German congregation,,,﻿Dearborn County,,﻿New Alsace,,﻿IN,,,,,,﻿attended every other Sunday,,﻿jos_ferneding_001,﻿Rev.,﻿Joseph Ferneding,,,,,,,1836,﻿vincennes,Vincennes
﻿for.in.0081,﻿church,﻿St. Paul's,English,﻿a large German congregation,,,﻿Floyd County,,﻿New Albany,,﻿IN,,,,,,﻿attended occasionally,,﻿ign_reynolds_001,﻿Rev.,﻿Ignatius Reynolds,,,﻿of Ky.,,,,1836,﻿vincennes,Vincennes
﻿for.in.0081,﻿church,﻿St. Paul's,English,﻿a large German congregation,,,﻿Floyd County,,﻿the Knobs,﻿Floyds Knobs,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿for.in.0081,﻿church,﻿St. Paul's,English,﻿a large German congregation,,,﻿Floyd County,,﻿Peru,﻿Floyds Knobs,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,﻿visited by Rev. M. Ruff,﻿occasionally,,﻿jos_ferneding_001,﻿Rev.,﻿Joseph Ferneding,,,,,,,1836,﻿vincennes,Vincennes
﻿for.in.0081,﻿church,﻿St. Paul's,English,﻿a large German congregation,,,﻿Floyd County,,﻿Miamiport,﻿Floyds Knobs,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,﻿visited by Rev. M. Ruff,﻿occasionally,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿for.in.0081,﻿church,﻿St. Paul's,English,﻿a large German congregation,,,﻿Floyd County,,﻿Wabashtown,﻿Floyds Knobs,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,﻿visited by Rev. M. Ruff,﻿occasionally,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿for.in.0081,﻿church,﻿St. Paul's,English,﻿a large German congregation,,,﻿Floyd County,,﻿Salomic,﻿Floyds Knobs,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,﻿visited by Rev. M. Ruff,﻿occasionally,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿for.in.0081,﻿church,﻿St. Paul's,English,﻿a large German congregation,,,﻿Floyd County,,﻿Gros,﻿Floyds Knobs,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,﻿visited by Rev. M. Ruff,﻿occasionally,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿for.in.0081,﻿church,﻿St. Paul's,English,﻿a large German congregation,,,﻿Floyd County,,﻿Rising Sun,﻿Floyds Knobs,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,﻿occasionally attended,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿for.in.0081,﻿church,﻿St. Paul's,English,﻿a large German congregation,,,﻿Floyd County,,﻿Richmond,﻿Floyds Knobs,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,﻿occasionally attended,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,not recorded,English,,,,,,﻿Shelbyville,,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,﻿occasionally attended,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,not recorded,English,,,,,,﻿Columbus,,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,﻿occasionally attended,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,not recorded,English,,,,,,﻿Indianapolis,,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,not recorded,English,,,,﻿St. Joseph County,,﻿Southbend,,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,,,﻿s_t_badin_001,﻿Rev.,﻿S. T. Badin,,,﻿of Mich.,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,not recorded,English,,,,﻿St. Joseph County,,﻿Southbend,,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,,,﻿descilles_001,﻿Rev. Mr.,﻿Descilles,,,﻿of Mich.,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,﻿St. Mary's of the Lake,English,,,,﻿St. Joseph County,,﻿Southbend,,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,,,﻿s_t_badin_001,﻿Rev.,﻿S. T. Badin,,,﻿of Mich.,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,﻿St. Mary's of the Lake,English,,,,﻿St. Joseph County,,﻿Southbend,,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,,,﻿descilles_001,﻿Rev. Mr.,﻿Descilles,,,﻿of Mich.,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿station,﻿St. Mary's of the Lake,English,,﻿Ohio River,,﻿St. Joseph County,,﻿Southbend,,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,"﻿visited by Rev. Elisha Durbin and Rev. Charles Coomes, of Kentucky.",,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,﻿St. Mary's of the Lake,English,,﻿Ohio River,,﻿St. Joseph County,,﻿Terrehaute,,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,﻿occasionally attended,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,﻿St. Mary's of the Lake,English,,﻿Ohio River,,﻿St. Joseph County,,﻿Merom,,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,﻿occasionally attended,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,﻿St. Mary's of the Lake,English,,﻿Ohio River,,﻿St. Joseph County,,﻿Lafayette,,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,﻿occasionally attended,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,﻿St. Mary's of the Lake,English,,﻿Ohio River,,﻿St. Joseph County,,﻿Shaker's Prairie,,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,﻿occasionally attended,,,,,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,﻿St. Mary's of the Lake,English,,﻿Ohio River,,﻿Davies County,,﻿Washington,,﻿IN,,﻿38°19′27″N,﻿85°52′26″W,,,,,﻿sim_lalumiere_001,﻿Rev.,﻿Simon Lalumiere,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,﻿St. Mary's of the Lake,English,,﻿Ohio River,,﻿Davies County,,﻿Chicago,,﻿IL,,﻿38°19′27″N,﻿85°52′26″W,,,,,﻿ire_s_cyr_001,﻿Rev.,﻿Irenceus St. Cyr,,,,,,,1836,﻿vincennes,Vincennes
﻿vinc.in.0127,﻿church,﻿St. Mary's of the Lake,English,,﻿Ohio River,,﻿Edgar County,,﻿Paris Prairie,﻿Paris,﻿IL,,﻿38°19′27″N,﻿85°52′26″W,,﻿visited from Vincennes,,,,,,,,,,,,1836,﻿vincennes,Vincennes
