instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,order,diocese,diocese_reg
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.294376659136205,-76.61624542628991,,,,,,,﻿Most Rev.,﻿Samuel Eccleston,﻿D. D.,,,,,,1838,,﻿Baltimore,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.294376659136205,-76.61624542628991,,,,,,,﻿Rev.,﻿Edward Damphoux,﻿D.D.,﻿Rector,,,,,1838,,﻿Baltimore,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.294376659136205,-76.61624542628991,,,,,,,﻿Rev.,﻿Peter Schreiber,,﻿Assistant,,,,,1838,,﻿Baltimore,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.294376659136205,-76.61624542628991,,,,,,,﻿Rev.,﻿C. I. White,,﻿Assistant,,,,,1838,,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.292778000000006,-76.615278,,,,,,,﻿Most Rev.,﻿Samuel Eccleston,﻿D. D.,,,,,,1838,,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.292778000000006,-76.615278,,,,,,,﻿Rev.,﻿Edward Damphoux,﻿D.D.,﻿Rector,,,,,1838,,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.292778000000006,-76.615278,,,,,,,﻿Rev.,﻿Peter Schreiber,,﻿Assistant,,,,,1838,,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.292778000000006,-76.615278,,,,,,,﻿Rev.,﻿C. I. White,,﻿Assistant,,,,,1838,,﻿Baltimore,Baltimore
﻿bal.md.0002,﻿church,﻿St. Patrick's. F.P.,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.2908873673903,-76.59025713465671,,,,,,,﻿Rev.,﻿Nicholas Kerny,,,,,,,1838,,﻿Baltimore,Baltimore
﻿bal.md.0005,﻿church,﻿St. John's,English,﻿German,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.292841328129896,-76.6179880052368,,,,,,,﻿Very Rev.,﻿Lewis de Barth,,,,,,,1838,,﻿Baltimore,Baltimore
