instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.294377,-76.616245,,,,﻿sam_eccleston_901,﻿Most Rev.,﻿Samuel Eccleston,﻿D. D.,,,,,,,1840,﻿https://americasfirstcathedral.org/history-architecture ; Baltimore Basilica - a Short History - YouTube ; https://en.wikipedia.org/wiki/Basilica_of_the_National_Shrine_of_the_Assumption_of_the_Blessed_Virgin_Mary,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.294377,-76.616245,,,,﻿pet_schreiber_901,﻿Rev.,﻿Peter Schreiber,,,,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.294377,-76.616245,,,,﻿cha_i_white_001,﻿Rev.,﻿Charles I. White,,,,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.294377,-76.616245,,,,﻿tho_r_butler_901,﻿Rev.,﻿Thomas R. Butler,,,,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.292778,-76.615278,,,,﻿sam_eccleston_901,﻿Most Rev.,﻿Samuel Eccleston,﻿D. D.,,,,,,,1840,﻿https://en.wikipedia.org/wiki/St._Peter%27s_Pro-Cathedral,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.292778,-76.615278,,,,﻿pet_schreiber_901,﻿Rev.,﻿Peter Schreiber,,,,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.292778,-76.615278,,,,﻿cha_i_white_001,﻿Rev.,﻿Charles I. White,,,,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.292778,-76.615278,,,,﻿tho_r_butler_901,﻿Rev.,﻿Thomas R. Butler,,,,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0002,﻿church,﻿St. Patrick's,English,,﻿F. Point,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.290887,-76.590257,,,,﻿nic_kerny_901,﻿Rev.,﻿N. Kerny,,,,,,,,1840,﻿https://en.wikipedia.org/wiki/St._Michael%27s_Church_Complex ; https://ministryofbrewing.com/ ; https://www.mdhistory.org/resources/saint-patricks-church/#gallery,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0005,﻿church,﻿St. John's,﻿German,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.292841,-76.617988,,,,﻿ben_bayer_902,﻿Rev.,﻿Benedict Bayer,,,,,,,,1840,﻿https://stmarys.edu/wp-content/uploads/2014/04/closed_cemeteries.pdf,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0012,﻿church,﻿St. James,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.301579,-76.602041,,,,﻿joh_gildea_901,﻿Rev.,﻿John Gildea,,,,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0012,﻿church,﻿St. Joseph's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.301579,-76.602041,,,,﻿edw_damphoux_901,﻿Rev.,﻿E. Damphoux,﻿D. D.,,,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0016,﻿chapel,﻿St. Mary's Chapel,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.295821,-76.622867,,,,﻿lew_r_deluol_901,﻿Very Rev.,﻿Louis Deluol,﻿D. D.,,,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0017,﻿chapel,﻿Carmelite Chapel,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.305333,-76.602235,,,,﻿joh_gildea_901,﻿Rev.,﻿J. Gildea,,,,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0021,﻿chapel,﻿St. Frances' Chapel,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,,,,,,﻿hec_joubert_901,﻿Rev.,﻿Hector Joubert,,,,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0036,﻿church,not recorded,English,,,,﻿Anne Arundel County,﻿Anne Arundel County,﻿Annapolis,﻿Annapolis,﻿MD,﻿MD,,,,,﻿every two months,﻿mat_sanders_901,﻿Rev.,﻿M. Sanders,﻿S. J..,,﻿Dw. at White Marsh,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9010,﻿church,﻿St. Ignatius,English,,,,﻿Alleghany County,﻿Anne Arundel County,﻿Arnold Settlement,﻿Mount Savage,﻿MD,﻿MD,39.697778,-78.873889,,,﻿1st and 2d Sunday,﻿sil_piot_901,﻿Rev.,﻿S. Piot,,,﻿Dw. at Cumberland,,,,,1840,"﻿Fairly certain, since MSM was founded in 1808, that this entry refers to the chapel that was set up at the same time as the seminary: https://seminary.msmary.edu/about/history.html",,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0028,﻿church,not recorded,English,,,,﻿Alleghany County,﻿Garrett County,﻿Blooming Rose Settlement,﻿Friendsville,﻿MD,﻿MD,39.656667,-79.439167,,,﻿4th Sun.,﻿sil_piot_901,﻿Rev.,﻿S. Piot,,,﻿Dw. at Cumberland,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0091,﻿church,not recorded,English,,,,﻿Montgomery County,﻿Montgomery County,﻿Barnsville,﻿Barnesville,﻿MD,﻿MD,39.220668,-77.380777,,,,,,,,,﻿Vacant,,,,,1840,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿wil.de.0012,﻿church,﻿St. Francis Xavier,English,,,﻿E. Shore,﻿Cecil County,﻿Cecil County,﻿Bohemia,﻿Warwick,﻿MD,﻿MD,39.437442,-75.804739,,,,﻿geo_king_901,﻿Rev.,﻿George King,﻿S. J.,,,,,,,1840,﻿https://www.stfrancisxaviershrine.com/history,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0104,﻿chapel,﻿Boone's Chapel,English,,,,﻿Prince George County,﻿Prince George County,,﻿Upper Marlboro,﻿MD,﻿MD,38.740027,-76.807585,,,,﻿mat_sanders_901,﻿Rev.,﻿Matthew Sanders,,,,,,,,1840,﻿https://www.mostholyrosarychurch.org/history ; would later go on to be Most Holy Rosary,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9011,﻿church,not recorded,English,,﻿Brien's Furnace,,﻿Frederick County,﻿Washington County,,﻿Antietam,﻿MD,﻿MD,39.416083,-77.740743,,﻿attended from Mt. St. Mary's College,,,,,,,,,,,,1840,"﻿https://www.wikitree.com/wiki/Brien-74, https://www.canaltrust.org/pyv/antietam-ironworks/",,,,﻿,﻿,﻿Baltimore,Baltimore
