instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,Unnamed: 33,Unnamed: 34,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.81071,-85.471369,,,,﻿ben_j_flaget_901,﻿Right Rev.,﻿Benedict J. Flaget,﻿D.D.,,,,,,,1838,,﻿https://stjosephbasilica.org/history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81071,-85.471369,,,,﻿guy_i_chabrat_901,﻿Right Rev.,﻿Guy. J. Chabrat,﻿D.D.,﻿Coadj.,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81071,-85.471369,,,,﻿joh_b_david_901,﻿Right Rev.,﻿John B. David,﻿D.D.,﻿Bishop of Mauricastro,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81071,-85.471369,,,,﻿mar_j_spalding_001,﻿Rev.,﻿Martin J. Spalding,,﻿Pastor,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0083,﻿cathedral,[Unnamed Institution],English,,,,﻿Bullitt County,﻿Bullitt County,,,﻿KY,,,,,﻿[visited once a month by] Rev. J. Haseltine,,﻿jos_haseltine_901,﻿Rev.,﻿J. Haseltine,,,﻿of Nazareth,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0031,﻿cathedral,[Unnamed Institution],English,,﻿Clear Creek,,,,,,﻿KY,,38.573135,-82.830168,,﻿[visited once a month by] Rev. Mr. Ward,,﻿ward_901,﻿Rev. Mr.,﻿Ward,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0001,﻿church,﻿St. Mary's,English,,,,,,﻿Covington,,﻿KY,,39.078154,-84.50825,,,,﻿s_h_montgomery_901,﻿Rev.,﻿S. H. Montgomery,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9025,﻿convent,[Unnamed Institution],English,,﻿Nazareth,,﻿Nelson County,,,,﻿KY,,37.848056,-85.472778,,,,﻿jos_haseltine_901,﻿Rev.,﻿J. Haseltine,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9026,﻿convent,[Unnamed Institution],English,,﻿Loretto,,,,,,﻿KY,,,,,,,﻿dav_a_deparcq_901,﻿Rev.,﻿D. A. Deparcq,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0034,﻿church,[Unnamed Institution],English,,,,﻿Mercer County,﻿Boyle County,﻿Danville,﻿Danville,﻿KY,﻿KY,37.646077,-84.770698,,﻿[visited] once a month [by] Rev. E. McMahon,,﻿edw_mcmahon_901,﻿Rev.,﻿E. McMahon,,,﻿dwelling at Lexington,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9004,﻿church,[Unnamed Institution],English,,,,﻿Hardin County,,﻿Elizabethtown,,﻿KY,,37.699955,-85.873355,,,,﻿fra_chambige_001,﻿Rev.,﻿F. Chambige,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9035,﻿church,[Unnamed Institution],English,,,,,,﻿Frankfort,,﻿KY,,,,,﻿[visited] once a month [by] Rev. J. A. Drew,,﻿j_a_drew_901,﻿Rev.,﻿J. A. Drew,,,,,,,,1838,,﻿https://www.frankfortgoodshepherd.org/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0038,﻿church,﻿St. Michael's,English,,,,﻿Nelson County,﻿Nelson County,﻿Fairfield,﻿Fairfield,﻿KY,﻿KY,37.931782,-85.382918,,,,﻿jam_elliott_001,﻿Rev.,﻿J. Elliott,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9017,﻿church,[Unnamed Institution],English,,,,﻿Grayson County,,,,﻿KY,,,,,﻿[visited] once a month [by] Rev. A. Degauquier,,﻿aug_degauquier_001,﻿Rev.,﻿A. Degauquier,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9005,﻿church,﻿Holy Cross Church,English,,,,﻿Washington County,,,,﻿KY,,37.673056,-85.448056,,,,﻿r_byrne_901,﻿Rev.,﻿Robert Byrn,,,,,,,,1838,,﻿https://www.archlou.org/parishes/holy-cross-marion-county/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0049,﻿church,﻿Holy Mary's Church,English,,,,﻿Marion County,,,﻿Calvary,﻿KY,,,,,﻿visited by Rev. R. A. Abell,,﻿rob_a_abell_001,﻿Rev.,﻿R. A. Abell,,,,,,,,1838,,﻿https://www.archlou.org/parishes/holy-name-of-mary-parish/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0052,﻿church,[Unnamed Institution],English,,﻿Cassey Creek,,﻿Marion County,,,,﻿KY,,37.568122,-85.251338,,﻿visited by Rev. R. A. Abell,,﻿rob_a_abell_001,﻿Rev.,﻿R. A. Abell,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0052,﻿church,[Unnamed Institution],English,,﻿Cassey Creek,,﻿Marion County,,﻿Lebanon,,﻿KY,,37.5681216,-85.2513384,,,,﻿rob_a_abell_001,﻿Rev.,﻿R. A. Abell,,,,,,,,1838,,﻿https://www.staugustinechurch.net/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0028,﻿church,﻿St. Peter's,English,,,,﻿Fayette County,﻿Fayette County,﻿Lexington,﻿Lexington,﻿KY,,38.046734,-84.494593,,,,﻿edw_mcmahon_901,﻿Rev.,﻿Edward McMahon,,,,,,,,1838,,﻿https://www.stpeterlex.org/about-us/our-history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,﻿KY,38.236908,-85.763639,,,,﻿ign_a_reynolds_901,﻿Rev.,﻿Ign. A. Reynolds,,,,,,,,1838,,﻿https://www.stlb.org/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.236908,-85.763639,,,,﻿g_w_hayden_901,﻿Rev.,﻿G. W. Hayden,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.236908,-85.763639,,,,﻿joh_w_mcgill_001,﻿Rev.,﻿J. W. McGill,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
