instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.8107095,-85.47136896,,,,﻿ben_j_flaget_901,﻿Right Rev.,﻿Benedict J. Flaget,﻿D.D.,,,,,,,1839,,﻿https://stjosephbasilica.org/history,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿guy_j_chabrat_901,﻿Right Rev.,﻿Guy. J. Chabrat,﻿D.D.,﻿Coadjutor,﻿Bishop of Bolina,,,,,1839,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿joh_b_david_901,﻿Right Rev.,﻿John B. David,﻿D.D.,,﻿Bishop of Mauricastro,,,,,1839,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿ste_t_badin_902,﻿Very Rev.,﻿Stephen T. Badin,,﻿Vicar General,,,,,,1839,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿h_deluynes_901,﻿Rev.,﻿H. Deluynes,,﻿Assistant,,,,,,1839,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0091,﻿church,﻿St. Thomas' Church,English,,,,﻿Nelson County,,,﻿Bardstown,﻿KY,﻿KY,37.76659691,-85.48401476,,,,﻿ath_a_aud_901,﻿Rev.,﻿Athanasius A. Aud.,,,,,,,,1839,,﻿https://www.saintthomasbardstown.org/ ; https://ia801606.us.archive.org/13/items/historicaltribut00howl/historicaltribut00howl.pdf,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0091,﻿station,﻿St. Thomas' Church,English,,,,﻿Nelson County,,,﻿Bardstown,﻿KY,,37.76659691,-85.48401476,,﻿attended by Rev. Athanasius A. Aud.,,﻿ath_a_aud_901,﻿Rev.,﻿Athanasius A. Aud.,,,,,,,,1839,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0038,﻿church,﻿St. Michael's,English,,,,﻿Nelson County,﻿Nelson County,﻿Fairfield,﻿Fairfield,﻿KY,﻿KY,37.93178213,-85.38291799,,,,﻿jam_elliott_901,﻿Rev.,﻿James Elliott,,,,,,,,1839,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0038,﻿church,﻿St. Benedict's,English,,,,﻿Spencer County,﻿Nelson County,﻿Fairfield,﻿Fairfield,﻿KY,,37.93178213,-85.38291799,,,,﻿j_elliott_901,﻿Rev.,﻿J. Elliott,,,,,,,,1839,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0102,﻿church,not recorded,English,,,,﻿Spencer County,﻿Spencer County,,﻿Taylorsville,﻿KY,﻿KY,38.03301885,-85.34467741,,,,﻿j_elliott_901,﻿Rev.,﻿J. Elliott,,,,,,,,1839,,﻿https://www.allsaintstville.org/history,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0102,﻿station,not recorded,English,,,,﻿Spencer County,﻿Spencer County,,﻿Taylorsville,﻿KY,,38.03301885,-85.34467741,,﻿attended by Rev. J. Elliott,,﻿j_elliott_901,﻿Rev.,﻿J. Elliott,,,,,,,,1839,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0102,﻿station,not recorded,English,,,,﻿Spencer County,﻿Spencer County,,﻿Taylorsville,﻿KY,,38.03301885,-85.34467741,,﻿attended by Rev. J. Elliott,,﻿j_elliott_901,﻿Rev.,﻿J. Elliott,,,,,,,,1839,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0083,﻿church,﻿St. John's,English,,,,﻿Bullitt County,﻿Bullitt County,,,﻿KY,,,,,,,﻿j_haseltine_901,﻿Rev.,﻿J. Haseltine,,,,,,,,1839,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0083,﻿station,﻿St. John's,English,,,,﻿Bullitt County,﻿Bullitt County,,,﻿KY,,,,,﻿attended by Rev. J. Haseltine,,﻿j_haseltine_901,﻿Rev.,﻿J. Haseltine,,,,,,,,1839,,,﻿,﻿,﻿Bardstown,Bardstown
