instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.776427,-79.934539,,,,﻿joh_england_901,﻿Right Rev.,﻿John England,﻿D. D.,,,,,,,1836,,﻿https://en.wikipedia.org/wiki/Cathedral_of_Saint_John_and_Saint_Finbar ; https://charlestoncathedral.com/history/,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.776427,-79.934539,,,,﻿wil_j_clancy_901,﻿Rt. Rev.,﻿Wm. Clancey,﻿D. D.,﻿Coadj.,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.776427,-79.934539,,,,﻿and_byrne_001,﻿Rev.,﻿Andrew Byrne,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.781891,-79.932866,,,,﻿rob_browne_901,﻿Rev.,﻿Robert Browne,,,,,,,,1836,,﻿https://www.sma.church/our-history.html,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.781891,-79.932866,,,,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,,﻿District of St. Patrick's,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.7882253,-79.9403921,,,,﻿rob_browne_901,﻿Rev.,﻿Robert Browne,,,,,,,,1836,,﻿https://www.stpatrickcharleston.org/history,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,,﻿District of St. Patrick's,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.7882253,-79.9403921,,,,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9004,﻿church,[Unnamed Institution],English,,,,,,﻿Aiken,,﻿SC,,33.504167,-81.74,,﻿visited by Rev. John Maginnis,,﻿joh_mginnis_901,﻿Rev.,﻿John Maginnis,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0023,﻿church,[Unnamed Institution],English,,,,,,﻿Beaufort,,﻿SC,,32.439429,-80.670543,,,,,,,,,,,,,,1836,,"﻿this church history mentions the pre-church history, making me think it is likely the same place: https://www.stpetersbeaufort.org/parish-history",,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0015,﻿church,﻿St. Andrew's,English,,,,,,﻿Barnwell,﻿Barnwell,﻿SC,,33.2411,-81.362,﻿cha.sc.0001,﻿visited occasionally from Charleston,,,,,,,,,,,,1836,,﻿St. Andrew's | https://en.wikipedia.org/wiki/Saint_Andrew%27s_Catholic_Church,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9003,﻿church,﻿St. James',English,,,,﻿Colleton District,﻿Colleton County,,﻿Walterboro,﻿SC,﻿SC,32.776667,-80.662222,﻿cha.sc.0001,﻿visited occasionally from Charleston,,,,,,,,,,,,1836,,﻿https://schpr.sc.gov/index.php/Detail/properties/26792,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9011,﻿station,[Unnamed Institution],English,﻿other stations in the Eastern part of the State,,,,,,,﻿SC,,,,,﻿attended in turn by Rev. John Maginnis,,﻿joh_maginnis_901,﻿Rev.,﻿John Maginnis,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Peter's,English,,,,,﻿Richland County,﻿Columbia,﻿Columbia,﻿SC,﻿SC,34.005509,-81.038109,,﻿visited by Rev. John Bermingham,,﻿tim_bermingham_001,﻿Rev.,﻿John Bermingham,,,"﻿voluntarily assists in Columbia, and supplies the place of the pastor, when absent",,,,,1836,,﻿https://www.visitstpeters.org/our-history,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Peter's,English,,,,,﻿Richland County,﻿Columbia,﻿Columbia,﻿SC,,34.005509,-81.038109,,,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0051,﻿church,[Unnamed Institution],English,,,,,,﻿Chester,,﻿SC,,34.705,-81.213333,,﻿visited by Rev. John Bermingham,,﻿tim_bermingham_001,﻿Rev.,﻿John Bermingham,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0034,﻿church,[Unnamed Institution],English,,,,,,﻿Sumpter,,﻿SC,,33.920556,-80.375,,﻿visited by Rev. John Bermingham,,﻿tim_bermingham_001,﻿Rev.,﻿John Bermingham,,,,,,,,1836,,"﻿2 churches stand today, neither built before 1870... There were two churches beforehand: Our Lady of the Assumption in 1838 and St. Lawrence in 1850. There's no St. John's here that I can find. https://archives.themiscellany.org/2011/05/26/stanne-sumter/ | https://www.sasjrcc.org/about-us/our-history/",,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9013,﻿station,[Unnamed Institution],English,﻿other stations in the N. Western part of the State,,,,,﻿Fairfield,,﻿SC,,34.4,-81.13,,﻿visited by Rev. John Bermingham,,﻿tim_bermingham_001,﻿Rev.,﻿John Bermingham,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9003,﻿station,[Unnamed Institution],English,,,,,,﻿Lincoln,,﻿NC,,35.665556,-80.490833,,﻿visited by Rev. John Bermingham,,﻿tim_bermingham_001,﻿Rev.,﻿John Bermingham,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0011,﻿station,[Unnamed Institution],English,,,,,﻿Mecklenburg County,﻿Charlotte,﻿Charlotte,﻿NC,﻿NC,35.167851,-80.728246,,﻿visited by Rev. John Bermingham,,﻿tim_bermingham_001,﻿Rev.,﻿John Bermingham,,,,,,,,1836,,﻿Seems like this is a mission of some sort - or a satellite station?,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9012,﻿station,[Unnamed Institution],English,﻿other stations,,,,,,,﻿SC,,,,﻿cha.sc.0001,﻿occasionally visited from the city of Charleston,,﻿tim_bermingham_001,﻿Rev.,﻿John Bermingham,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0035,﻿church,[Unnamed Institution],English,,,,,,﻿Cheraw,,﻿SC,,34.6933706,-79.89188,,﻿visited by Rev. Patrick Hackett,,﻿pat_hackett_901,﻿Rev.,﻿Patrick Hackett,,,,,,,,1836,,﻿https://www.scpictureproject.org/chesterfield-county/st-peters-catholic-church.html,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0002,﻿church,﻿St. Patrick's,English,﻿Mass on Sundays during every second month,,,,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,﻿NC,35.052598,-78.876608,,﻿visited by Rev. Patrick Hackett,,﻿pat_hackett_901,﻿Rev.,﻿Patrick Hackett,,,,,,,,1836,,﻿https://www.stpatnc.org/history,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0018,﻿church,[Unnamed Institution],English,,,,,,﻿Raleigh,,﻿NC,,35.854167,-78.761944,,﻿visited by Rev. Patrick Hackett,,﻿pat_hackett_901,﻿Rev.,﻿Patrick Hackett,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0001,﻿church,[Unnamed Institution],English,,,,,,﻿Wilmington,,﻿NC,,34.21,-77.886667,,﻿visited by Rev. Patrick Hackett,,﻿pat_hackett_901,﻿Rev.,﻿Patrick Hackett,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9008,﻿station,[Unnamed Institution],English,﻿other stations,,,,,,,﻿NC,,,,,﻿attended by Rev. Patrick Hackett,,﻿pat_hackett_901,﻿Rev.,﻿Patrick Hackett,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9005,﻿station,[Unnamed Institution],English,,,,,,﻿Greenville,,﻿NC,,35.594444,-77.376111,,﻿attended by Rev. Philip Gillick,,﻿phi_gillick_001,﻿Rev.,﻿Philip Gillick,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0009,﻿station,[Unnamed Institution],English,,,,,,﻿Halifax,,﻿NC,,36.325556,-77.59,,﻿attended by Rev. Philip Gillick,,﻿phi_gillick_001,﻿Rev.,﻿Philip Gillick,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0004,﻿church,[Unnamed Institution],English,,,,,﻿Craven County,﻿Newbern,﻿New Bern,﻿NC,﻿NC,35.084575,-77.068429,,﻿attended by Rev. Philip Gillick,,﻿phi_gillick_001,﻿Rev.,﻿Philip Gillick,,,,,,,,1836,,"﻿While this church would not be built until 1840, the historical research others have done appears to make a clear connection between this early group of Catholics in 1833 and the formation of a congregation, then a church, in a few years. Because it is a precursor, I feel like it is worth giving it the ID: https://newbernhistorical.org/this-month-in-new-bern-history-january-2022/",,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9007,﻿church,﻿St. John the Evangelist,English,,,,,,﻿Washington,,,,35.546753,-77.059346,,﻿attended by Rev. Philip Gillick,,﻿phi_gillick_001,﻿Rev.,﻿Philip Gillick,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0003,﻿church,﻿Church of the Holy Trinity,English,,,,,﻿Richmond County,﻿Augusta,﻿Augusta,﻿GA,﻿GA,33.471676,-81.966806,,﻿attended by John Barry,,﻿joh_barry_901,﻿Rev.,﻿John Barry,,,,,,,,1836,,﻿https://themostholytrinity.org/our-history,,﻿,﻿,﻿Charleston,Charleston
