instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿chi.il.0001,﻿cathedral,﻿Cathedral of the Holy Name,English,﻿Residence at 148 Cass street,﻿Corner of N. State and Superior streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.896002,-87.627635,,,,﻿jos_p_roles_001,﻿Rev.,﻿Joseph P. Roles,,,,,,,,1867,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0001,﻿cathedral,﻿Cathedral of the Holy Name,English,﻿Residence at 148 Cass street,﻿Corner of N. State and Superior streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.896002,-87.627635,,,,﻿fre_smyth_001,﻿Rev.,﻿Fred Smyth,,,,,,,,1867,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0001,﻿cathedral,﻿Cathedral of the Holy Name,English,﻿Residence at 148 Cass street,﻿Corner of N. State and Superior streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.896002,-87.627635,,,,﻿max_albrecht_001,﻿Rev.,﻿Max Albrecht,,,,,,,,1867,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0002,﻿church,﻿St. Mary's,English,"﻿Residence, Bishop's house",﻿Corner of Madison street and Wabash avenue,,,,﻿Chicago,﻿Chicago,﻿IL,,41.881926,-87.626553,,,,﻿tho_halligan_001,﻿Rev.,﻿Thomas Halligan,,,,,,,,1867,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0002,﻿church,﻿St. Mary's,English,"﻿Residence, Bishop's house",﻿Corner of Madison street and Wabash avenue,,,,﻿Chicago,﻿Chicago,﻿IL,,41.881926,-87.626553,,,,﻿p_butler_001,﻿Rev.,﻿Patrick T. Butler,,,,,,,,1867,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0002,﻿church,﻿St. Mary's,English,"﻿Residence, Bishop's house",﻿Corner of Madison street and Wabash avenue,,,,﻿Chicago,﻿Chicago,﻿IL,,41.881926,-87.626553,,,,﻿p_conway_001,﻿Rev.,﻿Patrick Conway,,,,,,,,1867,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0003,﻿church,﻿St. Patrick's,English,"﻿Residence, adjoining church","﻿Desplain street, corner of Adams",,,,﻿Chicago,﻿Chicago,﻿IL,,41.879518,-87.644532,,,,﻿den_dunn_001,﻿Very Rev.,﻿Dennis Dunn,﻿D.D.,﻿V.G.,,,,,,1867,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0003,﻿church,﻿St. Patrick's,English,"﻿Residence, adjoining church","﻿Desplain street, corner of Adams",,,,﻿Chicago,﻿Chicago,﻿IL,,41.879518,-87.644532,,,,﻿p_flanagan_001,﻿Rev.,﻿Patrick Flanagan,,,,,,,,1867,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0004,﻿church,﻿Church of the Holy Family,English,"﻿Residence, adjoining church",﻿Corner of Twelfth and May streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.866586,-87.655052,,,,﻿arn_damen_001,﻿Very Rev.,﻿Arnold Damen,﻿S.J.,,,,,,,1867,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0004,﻿church,﻿Church of the Holy Family,English,"﻿Residence, adjoining church",﻿Corner of Twelfth and May streets,,,,﻿Chicago,﻿Chicago,﻿IL,,41.866586,-87.655052,,,,﻿c_f_smarius_001,﻿Rev.,﻿C. F. Smarius,﻿S.J.,,,,,,,1867,﻿,﻿,﻿Chicago,Chicago
