instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,39.103623,-84.509143,,,,﻿joh_b_purcell_901,﻿Right Rev.,﻿John B. Purcell,﻿D.D.,,,,,,,1840,﻿https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._Peter_in_Chains,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.103623,-84.509143,,,,﻿edw_t_collins_901,﻿Very Rev.,﻿Edward T. Collins,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.103623,-84.509143,,,,﻿edw_purcell_901,﻿Rev.,﻿Edward Purcell,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,39.099897,-84.523622,,,,﻿joh_m_henni_001,﻿Very Rev.,﻿John M. Henni,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.099897,-84.523622,,,,﻿fra_l_huber_901,﻿Rev.,﻿Francis L. Huber,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.099897,-84.523622,,,,﻿mic_e_olivetti_901,﻿Rev.,﻿Michael E. Olivetti,,﻿Auxiliary priest pro tem. at Cincinnati,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9009,﻿church,[Unnamed Institution],English,,﻿Au-Glaize,,,,,,﻿OH,,,,,,,﻿j_w_hortsman_901,﻿Rev.,﻿J. M. Hortsman,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9021,﻿church,[Unnamed Institution],English,,﻿Blanchard's River Settlement,,,,,,﻿OH,,,,,,,﻿j_w_hortsman_901,﻿Rev.,﻿J. M. Hortsman,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.0038,﻿church,﻿St. John's,English,,,,,﻿Stark County,﻿Canton,,﻿OH,,40.803291,-81.377341,,,,﻿ml_mcaleer_901,﻿Rev.,﻿Ml. McAleer,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9030,﻿church,[Unnamed Institution],English,,﻿vicinity of St. Louis,,,,﻿Canton,,﻿OH,,,,,,,﻿mat_wartz_901,﻿Rev.,﻿M. Wartz,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0071,﻿church,﻿St. Mary's,English,,,,,﻿Ross County,﻿Chillicothe,﻿Chillicothe,﻿OH,,,,,,,﻿hen_d_juncker_001,﻿Rev.,﻿H. D. Juncker,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.0001,﻿church,[Unnamed Institution],English,﻿no church,,,,﻿Cuyahoga County,﻿Cleveland,,﻿OH,,41.4992,-81.6947,,,,﻿p_odwyer_901,﻿Rev.,﻿P. O'Dwyer,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0001,﻿church,﻿St. Remigius,English,,,,,﻿Franklin County,﻿Columbus,,﻿OH,,,,,,,﻿jos_young_901,﻿Rev.,﻿Joshua Young,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0015,﻿church,[Unnamed Institution],English,,,,,,﻿Canal,,﻿OH,,,,,,,﻿bas_a_shorb_001,﻿Rev.,﻿Basil Shorb,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0015,﻿church,[Unnamed Institution],English,,,,,,﻿Fulton,,﻿OH,,,,,,,﻿bas_a_shorb_001,﻿Rev.,﻿Basil Shorb,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9025,﻿church,[Unnamed Institution],English,,,,,﻿Wayne County,﻿Chippeway,,﻿OH,,,,,,,﻿bas_a_shorb_001,﻿Rev.,﻿Basil Shorb,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9004,﻿church,[Unnamed Institution],English,,,,,﻿Montgomery County,﻿Dayton,,﻿OH,,,,,,,﻿ema_thienpont_901,﻿Rev.,﻿Emanuel Thienpont,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9004,﻿church,[Unnamed Institution],English,,,,,﻿Montgomery County,﻿Dayton,,﻿OH,,,,,,,﻿wil_murphy_902,﻿Rev.,﻿William Murphy,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.0051,﻿church,[Unnamed Institution],English,﻿no church,,,,,﻿Delaware,,﻿OH,,,,,,,﻿hen_d_juncker_001,﻿Rev.,﻿H. D. Juncker,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9022,﻿church,[Unnamed Institution],English,﻿no church,,,,,﻿Piketown,,﻿OH,,,,,,,﻿hen_d_juncker_001,﻿Rev.,﻿H. D. Juncker,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0061,﻿church,[Unnamed Institution],English,﻿no church,,,,,﻿Portsmouth,,﻿OH,,,,,,,﻿hen_d_juncker_001,﻿Rev.,﻿H. D. Juncker,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0140,﻿church,[Unnamed Institution],English,﻿French settlement,,,,,﻿Piqua,,﻿OH,,40.141667,-84.252778,,,,﻿lou_navarron_001,﻿Rev.,﻿Louis Navarron,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9017,﻿church,[Unnamed Institution],English,﻿church building,,,﻿Dark County,﻿Darke County,﻿Greenville,,﻿OH,,40.119444,-84.625833,,,,﻿f_bartels_901,﻿Rev.,﻿F. Bartels,,,,,,,,1840,,,﻿,﻿,﻿Cincinnati,Cincinnati
