instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿det.mi.0002,﻿cathedral,﻿Cathedral of St. Ann,English,,,,,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,﻿MI,42.320833,-83.076667,,,,﻿vin_badin_901,﻿Very Rev.,﻿Vincent Badin,﻿V. G.,,,,,,,1840,﻿https://ste-anne.org/about-us/parish-history/ ; https://en.wikipedia.org/wiki/Basilica_of_Sainte_Anne_de_D%C3%A9troit,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9007,﻿church,﻿Trinity Church,English,,,,,,﻿Detroit,,﻿MI,,42.329838,-83.060483,,,,﻿mar_kundig_001,﻿Rev.,﻿Martin Kundig,,,,,,,,1840,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.0018,﻿church,[Unnamed Institution],English,,,,,,﻿Ann Arbour,﻿Ann Arbor,﻿MI,,42.285755,-83.741377,,,,﻿kelly_901,﻿Rev. Mr.,﻿Kelly,,,,,,,,1840,,﻿,﻿,﻿Detroit,Detroit
﻿mar.mi.9000,﻿church,[Unnamed Institution],English,,﻿Arbre Croche,,,﻿Emmet County,,,﻿MI,﻿MI,45.626437,-85.071053,,,,﻿sanderl_901,﻿Rev. Mr.,﻿Sanderl,,,,,,,,1840,﻿https://en.wikipedia.org/wiki/L%27Arbre_Croche ; https://www.cclcparishes.org/historic-holy-childhood-mission--church-and-school.html,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.0114,﻿church,[Unnamed Institution],English,,,,,﻿Monroe County,﻿Monroe,﻿Monroe,﻿MI,﻿MI,41.918551,-83.396856,,,,﻿carabin_901,﻿Rev. Mr.,﻿Carabin,,,,,,,,1840,﻿https://www.stmarymonroe.org/history,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.0114,﻿church,[Unnamed Institution],English,,﻿Milvakie,,,﻿Monroe County,﻿Monroe,﻿Monroe,﻿MI,,41.918551,-83.396856,,,,﻿kelly_901,﻿Rev. Mr.,﻿Kelly,,,,,,,,1840,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.0114,﻿church,[Unnamed Institution],English,,﻿Milvakie,,,﻿Monroe County,﻿Racine,﻿Monroe,﻿MI,﻿WI,41.918551,-83.396856,,﻿Visited alternately by Rev. Mr. Kelly,,﻿kelly_901,﻿Rev. Mr.,﻿Kelly,,,,,,,,1840,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9018,﻿church,[Unnamed Institution],English,,,,,,﻿Mt. Pleasant,,,﻿MI,,,,﻿Visited alternately by Rev. Mr. Kelly,,﻿kelly_901,﻿Rev. Mr.,﻿Kelly,,,,,,,,1840,,﻿,﻿,﻿Detroit,Detroit
﻿mil.wi.0248,﻿church,[Unnamed Institution],English,,,,,,﻿Rochester,,,﻿MI,,,,﻿Visited alternately by Rev. Mr. Kelly,,﻿kelly_901,﻿Rev. Mr.,﻿Kelly,,,,,,,,1840,,﻿,﻿,﻿Detroit,Detroit
﻿mil.wi.0030,﻿church,[Unnamed Institution],English,,,,,,﻿Burlington,,,,,,,﻿Visited alternately by Rev. Mr. Kelly,,﻿kelly_901,﻿Rev. Mr.,﻿Kelly,,,,,,,,1840,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9017,﻿church,[Unnamed Institution],English,,,,,,﻿South Port,,,,,,,﻿Visited alternately by Rev. Mr. Kelly,,﻿kelly_901,﻿Rev. Mr.,﻿Kelly,,,,,,,,1840,,﻿,﻿,﻿Detroit,Detroit
