instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿dub.ia.9000,﻿church,﻿Cathedral of St. Raphael,﻿English and French,"﻿Sermon and Catechism every Sunday in English and French. A large and commodious brick-house has been erected near the Cathedral for the bishop and clergy, a part of which is intended for Schools.",,,,,﻿DuBuque,,﻿IA,,,,,,,﻿mat_loras_901,﻿Rt. Rev.,﻿Mathias Loras,﻿D. D.,,,,,,,1840,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.9000,﻿church,﻿Cathedral of St. Raphael,﻿English and French,"﻿Sermon and Catechism every Sunday in English and French. A large and commodious brick-house has been erected near the Cathedral for the bishop and clergy, a part of which is intended for Schools.",,,,,﻿DuBuque,,﻿IA,,,,,,,﻿jos_cretin_901,﻿Very Rev.,﻿Joseph Cretin,,,,,,,,1840,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.9000,﻿church,﻿Cathedral of St. Raphael,﻿English and French,"﻿Sermon and Catechism every Sunday in English and French. A large and commodious brick-house has been erected near the Cathedral for the bishop and clergy, a part of which is intended for Schools.",,,,,﻿DuBuque,,﻿IA,,,,,,,﻿sam_mazzuchelli_901,﻿Very Rev.,﻿Samuel Mazzuchelli,,,,,,,,1840,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.9000,﻿church,﻿Cathedral of St. Raphael,﻿English and French,"﻿Sermon and Catechism every Sunday in English and French. A large and commodious brick-house has been erected near the Cathedral for the bishop and clergy, a part of which is intended for Schools.",,,,,﻿DuBuque,,﻿IA,,,,,,,﻿pet_j_causse_901,﻿Messr.,﻿Peter J. Causse,,﻿Deacon,,,,,,1840,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.9000,﻿church,﻿Cathedral of St. Raphael,﻿English and French,"﻿Sermon and Catechism every Sunday in English and French. A large and commodious brick-house has been erected near the Cathedral for the bishop and clergy, a part of which is intended for Schools.",,,,,﻿DuBuque,,﻿IA,,,,,,,﻿rem_petiot_901,﻿Messr.,﻿Remigius Petiot,,﻿Deacon,,,,,,1840,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.9000,﻿church,﻿Cathedral of St. Raphael,﻿English and French,"﻿Sermon and Catechism every Sunday in English and French. A large and commodious brick-house has been erected near the Cathedral for the bishop and clergy, a part of which is intended for Schools.",,,,,﻿DuBuque,,﻿IA,,,,,,,﻿a_ravoux_001,﻿Messr.,﻿Augustus Ravoux,,﻿Deacon,,,,,,1840,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.9000,﻿church,﻿Cathedral of St. Raphael,﻿English and French,"﻿Sermon and Catechism every Sunday in English and French. A large and commodious brick-house has been erected near the Cathedral for the bishop and clergy, a part of which is intended for Schools.",,,,,﻿DuBuque,,﻿IA,,,,,,,﻿l_galtier_001,﻿Messr.,﻿Lucius Galtier,,﻿Deacon,,,,,,1840,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0041,﻿church,﻿St. Anthony's,English,﻿Sermon in English,,,﻿Scott County,,﻿Davenport,,﻿IA,,,,,,,﻿joh_a_pelamourgues_901,﻿Rev.,﻿John A. Pelamourgues,,,,,,,,1840,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.9003,﻿church,﻿St. Patrick's,English,﻿Sermon in English,﻿Makoqueta Settlement,,﻿Jones County,,,,﻿IA,,,,,,﻿once a month,﻿jos_cretin_901,﻿Very Rev.,﻿Joseph Cretin,,,,,,,,1840,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.9004,﻿church,[Unnamed Institution],English,,,,﻿Muscatine County,,﻿Bloomington,,﻿IA,,,,,,,﻿sam_mazzuchelli_901,﻿Very Rev.,﻿Samuel Mazzuchelli,,,,,,,,1840,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0012,﻿church,[Unnamed Institution],English,,,,﻿Des Moines County,,﻿Burlington,,﻿IA,,,,,,,﻿sam_mazzuchelli_901,﻿Very Rev.,﻿Samuel Mazzuchelli,,,,,,,,1840,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0243,﻿church,[Unnamed Institution],English,﻿Sermon in English,,,﻿Lee County,,﻿Madison,,﻿IA,,,,,,,﻿sam_mazzuchelli_901,﻿Very Rev.,﻿Samuel Mazzuchelli,,,,,,,,1840,﻿,﻿,﻿Dubuque,Dubuque
