instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,﻿Conference of St. Vincent de Paul,﻿Fourth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.132666,-80.083745,,,,﻿joh_d_coady_001,﻿Very Rev.,﻿J. D. Coady,,﻿Administrator,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,﻿Conference of St. Vincent de Paul,﻿Fourth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.132666,-80.083745,,,,﻿tho_carroll_001,﻿Rev.,﻿Thomas Carroll,,﻿Pastor,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿Ninth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.128843,-80.076118,,,,﻿ben_hegele_001,﻿Rev.,﻿Benno Hegele,﻿O.S.B.,﻿Prior,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿Ninth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.128843,-80.076118,,,,﻿tha_heinzelmayer_001,﻿Rev.,﻿Thaddeus Heinzelmayer,﻿O.S.B.,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0003,﻿church,[Unnamed Institution],English,"﻿New church, about being built on Federal Hill",﻿Federal Hill,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.112405,-80.077346,,,,﻿jos_stumpe_001,﻿Rev.,﻿Stumpe,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0046,﻿church,﻿St. Francis,English,,,,﻿Erie County,,﻿McKean Township,﻿McKean,﻿PA,,41.996885,-80.143314,,,,﻿a_reck_002,﻿Rev.,﻿A. Reck,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0010,﻿church,﻿St. Boniface,English,,,,﻿Erie County,,﻿Green Township,,﻿PA,,42.0666555,-79.9704256,,,,﻿f_j_oberhofer_001,﻿Rev.,﻿F. J. Oberhofer,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0036,﻿church,﻿St. John's,English,,,,﻿Erie County,,﻿Girard Village,﻿Girard,﻿PA,,42.000334,-80.318119,,,,﻿p_f_maloney_001,﻿Rev.,﻿P. F. Molony,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0054,﻿church,[Unnamed Institution],English,﻿new church,,,﻿Erie County,,﻿North-East,﻿North East,﻿PA,,42.215613,-79.834216,﻿erie.pa.0078,﻿attended from Union,,﻿p_f_maloney_001,﻿Rev.,﻿P. F. Molony,,,,,,,,1867,,,,,,42.2156131,-79.8342163,,,﻿erie.pa.0078,﻿attended from Union,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0042,﻿church,[Unnamed Institution],English,﻿church about being built,,,﻿Erie County,,﻿Jackson Station,﻿Summit Township,﻿PA,,42.029805,-80.042315,,,,﻿p_f_maloney_001,﻿Rev.,﻿P. F. Molony,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0020,﻿church,﻿St. Thomas,English,,,,﻿Erie County,,﻿Corry,﻿Corry,﻿PA,,41.920334,-79.640329,,,,﻿tho_lonnergan_001,﻿Rev.,﻿Thomas Lonnergan,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0132,﻿church,﻿St. Bridget's,English,,,,﻿Erie County,,﻿Union Mills,﻿Union City,﻿PA,,41.896111,-79.844444,,,,﻿tho_lonnergan_001,﻿Rev.,﻿Thomas Lonnergan,,,﻿who is also assisted by Rev. Father Darcy,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
