instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Galveston,﻿Galveston,﻿TX,,29.304165,-94.790631,,,,﻿c_m_dubuis_001,﻿Rt. Rev.,﻿C. M. Dubuis,﻿D.D.,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Galveston,﻿Galveston,﻿TX,,29.304165,-94.790631,,,,﻿l_c_chambodut_001,﻿Very Rev.,﻿L. C. M. Chambodut,,﻿V.G.,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Galveston,﻿Galveston,﻿TX,,29.304165,-94.790631,,,,﻿m_paizier_001,﻿Rev.,﻿M. Paizier,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0002,﻿church,﻿St. Joseph's Church,﻿German,,,,,,﻿Galveston,﻿Galveston,﻿TX,,29.299605,-94.790738,,,,﻿n_gallweihr_001,﻿Rev.,﻿N. Gallweihr,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0003,﻿church,[Unnamed Institution],English,,,,﻿Grimes County,﻿Grimes County,﻿Anderson,﻿Anderson,﻿TX,,30.487697,-95.992452,﻿gal.tx.0088,﻿attended from Millican,,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0004,﻿church,[Unnamed Institution],English,,,,﻿Nacogdoches County,﻿Nacogdoches County,﻿Angelina,,﻿TX,,31.525027,-94.65647,﻿gal.tx.0092,﻿attended from Nacogdoches,,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0005,﻿church,[Unnamed Institution],English,,,,﻿Cameron County,﻿Cameron County,﻿Arenal,,﻿TX,,26.128497,-97.524724,﻿gal.tx.0023,﻿attended from Brownsville,,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0006,﻿church,[Unnamed Institution],English,,,,﻿Victoria County,﻿Victoria County,﻿Arenoso,﻿Inez,﻿TX,,28.901559,-96.789399,﻿gal.tx.0149,﻿attended from Victoria,,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0007,﻿church,[Unnamed Institution],English,,﻿Arroyo Colorado,,﻿Cameron County,﻿Cameron County,"﻿Arroyo, Colorado",,﻿TX,,26.24178,-97.620093,﻿gal.tx.0023,﻿attended from Brownsville,,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0008,﻿church,[Unnamed Institution],English,,,,﻿Atascosa County,﻿Atascosa County,,,﻿TX,,28.917831,-98.544622,﻿gal.tx.0019,"﻿attended from Medina, Bexar Co.",,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0009,﻿church,[Unnamed Institution],English,,,,﻿Travis County,﻿Travis County,﻿Austin City,﻿Austin,﻿TX,,30.267153,-97.743061,,,,﻿nic_feltin_001,﻿Rev.,﻿Nicholas Feltin,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0010,﻿church,[Unnamed Institution],English,,,,﻿Bandera County,﻿Bandera County,﻿Bandera,﻿Bandera,﻿TX,,29.726613,-99.073646,﻿gal.tx.0124,﻿attended from San Antonio,,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0011,﻿church,[Unnamed Institution],English,,,,﻿Cameron County,﻿Cameron County,﻿Barranco,,﻿TX,,26.038762,-97.663258,﻿gal.tx.0023,﻿attended from Brownsville,,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0012,﻿church,[Unnamed Institution],English,,,,﻿Cameron County,,﻿Boston,,﻿TX,,26.128497,-97.524724,﻿gal.tx.0023,﻿attended from Brownsville,,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0013,﻿church,[Unnamed Institution],English,,,,﻿Bastrop County,﻿Bastrop County,﻿Bastrop,﻿Bastrop,﻿TX,,30.110495,-97.31527,﻿gal.tx.0009,﻿attended from Austin by Rev. M. Weinzaepflen,,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0014,﻿church,[Unnamed Institution],English,,,,﻿Liberty County,﻿Hardin County,﻿Batson Prairie,﻿Batson,﻿TX,,30.249377,-94.607142,﻿gal.tx.0001,﻿attended from Galveston,,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0015,﻿church,[Unnamed Institution],English,,,,﻿Jefferson County,﻿Jefferson County,﻿Beaumont,﻿Beaumont,﻿TX,,30.080174,-94.126556,﻿gal.tx.0001,﻿attended from Galveston,,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0016,﻿church,[Unnamed Institution],English,,,,﻿Austin County,﻿Austin County,﻿Belville,﻿Bellville,﻿TX,,29.950225,-96.257186,﻿gal.tx.0054,﻿attended from Frelsburgh,,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0017,﻿church,[Unnamed Institution],English,,,,﻿Colorado County,﻿Colorado County,"﻿Bernard, or New Mentz",﻿Mentz,﻿TX,,29.74852,-96.439221,,,,﻿m_stremler_001,﻿Rev.,﻿M. Stremler,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0018,﻿church,[Unnamed Institution],English,,,,﻿Hidalgo County,﻿Hidalgo County,﻿Blanca,﻿La Blanca,﻿TX,,26.292849,-98.037783,﻿gal.tx.0023,﻿attended from Brownsville,,,,,,,,,,,,1870,﻿,﻿,﻿Galveston,Galveston
