instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿har.pa.0001,﻿church,﻿St. Patrick's,English,,,,﻿Dauphin County,﻿Dauphin County,﻿Harrisburg,﻿Harrisburg,﻿PA,,40.273191,-76.886701,,,,﻿j_f_shanahan_002,﻿Right Rev.,﻿J. F. Shanahan,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0002,﻿church,﻿St. Lawrence's,﻿German,,,,﻿Dauphin County,﻿Dauphin County,﻿Harrisburg,﻿Harrisburg,﻿PA,,40.273191,-76.886701,,,,﻿joh_b_frisch_002,﻿Rev.,﻿John B. Frisch,,﻿pastor,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0003,﻿church,"﻿St. Mary's, Help of Christians",English,,,,﻿Dauphin County,﻿Dauphin County,﻿Lykens,﻿Lykens,﻿PA,,40.566753,-76.700522,,,,﻿pat_j_nunan_001,﻿Rev.,﻿Patrick Nunan,,﻿pastor,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0004,﻿church,﻿Our Lady of Seven Dolors,English,,,,﻿Dauphin County,﻿Dauphin County,﻿Middletown,﻿Middletown,﻿PA,,40.199814,-76.731081,﻿har.pa.0015,"﻿attended from Elizabethtown, Lancaster Co.",﻿once a month,,,,,,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0005,﻿church,﻿St. Mary's,English,,,,﻿Lebanon County,﻿Lebanon County,﻿Lebanon,﻿Lebanon,﻿PA,,40.339432,-76.42411,,,,﻿j_m_boetzkes_001,﻿Rev.,﻿J. M. Boetzkes,,﻿pastor,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0006,﻿church,﻿St. Lawrence's,English,,,,﻿Lebanon County,﻿Lebanon County,﻿Colebook Furnace,﻿Colebrook,﻿PA,,40.238149,-76.511079,﻿har.pa.0015,"﻿attended from Elizabethtown, Lancaster Co.",﻿three times a year,,,,,,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0007,﻿church,[Unnamed Institution],English,,,,﻿Lebanon County,﻿Lebanon County,﻿Cornwall,﻿Cornwall,﻿PA,,40.273704,-76.406073,﻿har.pa.0070,﻿attended from Lebanon,﻿once a month,,,,,,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0008,﻿church,﻿St. Mary's of the Assumption,English,,,,﻿Lancaster County,﻿Lancaster County,﻿Lancaster,﻿Lancaster,﻿PA,,40.037876,-76.305514,,,,﻿ber_keenan_001,﻿Very Rev.,﻿Bernard Keenan,,﻿pastor,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0008,﻿church,﻿St. Mary's of the Assumption,English,,,,﻿Lancaster County,﻿Lancaster County,﻿Lancaster,﻿Lancaster,﻿PA,,40.037876,-76.305514,,,,﻿ric_j_barry_001,﻿Rev.,﻿Richard J. Barry,,,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0009,﻿church,﻿St. Joseph's,﻿German,,,,﻿Lancaster County,﻿Lancaster County,﻿Lancaster,﻿Lancaster,﻿PA,,40.037876,-76.305514,,,,﻿fra_l_neufeld_001,﻿Rev.,﻿Francis L. Neufeld,,﻿pastor,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0010,﻿church,﻿St. Peter's,English,,,,﻿Lancaster County,﻿Lancaster County,﻿Columbia,﻿Columbia,﻿PA,,40.033709,-76.50441,,,,﻿jam_j_russell_001,﻿Rev.,﻿James J. Russell,,﻿pastor,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0011,﻿church,﻿Holy Trinity,English,,,,﻿Lancaster County,﻿Lancaster County,﻿Columbia,﻿Columbia,﻿PA,,40.033709,-76.50441,,,,﻿wil_pieper_001,﻿Rev.,﻿William Pieper,,﻿pastor,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0012,﻿church,﻿St. Mary's of the Immaculate Conception,English,,,,﻿Lancaster County,﻿Lancaster County,﻿Safe Harbor,﻿Safe Harbor,﻿PA,,39.9301,-76.379406,﻿har.pa.0008,"﻿visited from St. Mary's, Lancaster",,,,,,,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0013,﻿church,﻿St. Catherine's,English,,,,﻿Lancaster County,﻿Lancaster County,﻿Drumore,﻿Drumore,﻿PA,,39.79177,-76.264957,﻿har.pa.0008,﻿attended from Lancaster,﻿once in two months,,,,,,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0015,﻿church,﻿St. Peter's,English,,,,﻿Lancaster County,﻿Lancaster County,﻿Elizabethtown,﻿Elizabethtown,﻿PA,,40.150171,-76.603932,,,,﻿joh_j_mcilvaine_001,﻿Rev.,﻿John Joseph McIlvaine,,﻿pastor,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0016,﻿church,[Unnamed Institution],English,,,,﻿Lancaster County,﻿Lancaster County,﻿Mount Joy,﻿Mount Joy,﻿PA,,40.109818,-76.5033,﻿har.pa.0015,﻿attended from Elizabethtown,,,,,,,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0017,﻿church,﻿St. Patrick's,English,,,,﻿York County,﻿York County,﻿York,﻿York,﻿PA,,39.962598,-76.727745,,,,﻿edw_murray_001,﻿Rev.,﻿Edward Murray,,﻿pastor,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0018,﻿church,﻿Immaculate Conception,﻿German,,,,﻿York County,﻿York County,﻿York,﻿York,﻿PA,,39.962598,-76.727745,,,,﻿b_a_baumeister_001,﻿Rev.,﻿B. A. Baumeister,,﻿pastor,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0019,﻿church,﻿St. John the Baptist's,English,,,,﻿York County,﻿York County,﻿Shrewsbury,﻿Shrewsbury,﻿PA,,39.768714,-76.679693,﻿har.pa.0018,"﻿attended from Church of the Immaculate Conception, York",﻿every second Sunday,,,,,,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
﻿har.pa.0020,﻿church,﻿St. Joseph's,English,,,,﻿York County,﻿York County,﻿Dallastown,﻿Dallastown,﻿PA,,39.899544,-76.640245,﻿har.pa.0018,"﻿attended from Church of Immaculate Conception, York",﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Harrisburg,Harrisburg
