instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿mob.al.0001,﻿cathedral,[Unnamed Institution],English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,﻿30.69012,-88.045898,,,,﻿mic_portier_901,﻿Right Rev.,﻿Michael Portier,﻿D.D.,,,,,,,1838,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0001,﻿cathedral,[Unnamed Institution],English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,﻿30.69012,-88.045898,,,,﻿mat_loras_901,﻿Very Rev.,﻿M. Loras,﻿D.D.,,,,,,,1838,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0001,﻿cathedral,[Unnamed Institution],English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,﻿30.69012,-88.045898,,,,﻿jam_lesne_901,﻿Rev.,﻿James Lesne,,,,,,,,1838,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9001,﻿church,﻿St. Joseph's,English,,,,,,﻿Springhill,﻿Mobile,﻿AL,﻿AL,﻿30.689998,-88.054344,,,,﻿joh_bazin_901,﻿Rev.,﻿J. Bazin,,,,,,,,1838,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0022,﻿church,﻿St. Peter's,English,,,,,﻿Montgomery County,﻿Montgomery,﻿Montgomery,﻿AL,﻿AL,﻿32.37547,-86.305845,,,,﻿gab_chalon_001,﻿Rev.,﻿G. Chalon,,,,,,,,1838,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9002,﻿church,[Unnamed Institution],English,,,,,,﻿Moulton,﻿Moulton,﻿AL,﻿AL,﻿34.482222,-87.285556,,,,﻿pet_mauvernay_901,﻿Rev.,﻿P. Mauvernay,,,,,,,,1838,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9003,﻿church,[Unnamed Institution],English,,,,,,﻿Mount Vernon,﻿Mount Vernon,﻿AL,﻿AL,﻿31.086365,-88.00993,,,﻿visited by Rev. M. Loras,﻿mat_loras_901,﻿Rev.,﻿M. Loras,,,,,,,,1838,"﻿https://en.wikipedia.org/wiki/Mount_Vernon,_Alabama",,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9004,﻿church,[Unnamed Institution],English,,,,,,﻿Rayou Battery,﻿Bayou La Batre,﻿AL,﻿AL,﻿30.404285,-88.248116,,,﻿visited by Rev. M. Loras,﻿mat_loras_901,﻿Rev.,﻿M. Loras,,,,,,,,1838,"﻿https://en.wikipedia.org/wiki/Bayou_La_Batre,_Alabama",,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9005,﻿academy,[Unnamed Institution],English,,,,,,﻿Summerville,﻿Somerville,﻿AL,﻿AL,"﻿34.472946466188446, -86.79851758352893",-86.798889,,,,﻿jam_lesne_901,﻿Rev.,﻿J. Lesne,,,,,,,,1838,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.0001,﻿academy,[Unnamed Institution],English,,,,,﻿St. Johns County,﻿St. Augustine,﻿St. Augustine,﻿FL,﻿FL,﻿29.893102,-81.312449,,,,,,,,,,,,,,1838,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9000,﻿academy,[Unnamed Institution],English,﻿A new Church,,,,﻿Escambia County,﻿Pensacola,﻿Pensacola,﻿FL,﻿FL,﻿30.413788,-87.216271,,,,﻿joh_s_guinand_901,﻿Rev.,﻿S. Guinand,,,,,,,,1838,﻿https://stmichaelbasilica.com/our-history,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.0006,﻿academy,[Unnamed Institution],English,,,,,﻿Nassau County,﻿Fernandina,﻿Fernandina Beach,﻿FL,﻿FL,﻿30.673797,-81.461528,,,,,,,,,,,,,,1838,﻿https://www.ameliaisland.com/places-of-worship/,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0035,﻿college,﻿College of Spring Hill,English,"﻿the Faculty is two Professors of Enligh, two of the French, two of the Latin, one of the Spanish, Professor of Mathematics and a Director General of Studiest",﻿seven miles West of the city of Mobile,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,﻿30.69404201,-88.13786472,,,,﻿mic_portier_901,﻿Right Rev. Dr.,﻿Portier,,﻿Bishop of Mobile,,,,,,1838,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0035,﻿college,﻿College of Spring Hill,English,"﻿the Faculty is two Professors of Enligh, two of the French, two of the Latin, one of the Spanish, Professor of Mathematics and a Director General of Studiest",﻿seven miles West of the city of Mobile,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,﻿30.69404201,-88.13786472,,,,﻿joh_bazin_901,﻿Rev.,﻿John Bazin,,﻿President,,,,,,1838,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0037&0037_02,﻿convent and academy,﻿Convent and Academy of the Visitation,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,﻿30.69365164,-88.0931224,,,,,,,,,,,,,,1838,﻿https://en.wikipedia.org/wiki/Convent_and_Academy_of_the_Visitation,,﻿,﻿,﻿Mobile,Mobile
