instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿mob.al.0001,﻿cathedral,[Unnamed Institution],English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,30.69012,-88.045898,,,,﻿mic_portier_901,﻿Right Rev.,﻿Michael Portier,﻿D.D.,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0001,﻿cathedral,[Unnamed Institution],English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.69012,-88.045898,,,,﻿joh_bazin_901,﻿Rev.,﻿John Bazin,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0001,﻿cathedral,[Unnamed Institution],English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.69012,-88.045898,,,,﻿gab_chalon_001,﻿Rev.,﻿Gabriel Chalon,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0001,﻿cathedral,[Unnamed Institution],English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.69012,-88.045898,,,,﻿jam_mcgarahan_901,﻿Rev.,﻿James McGarahan,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0035_02,﻿church,﻿Springhill College (Church),English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,30.69404201,-88.13786472,,,,﻿pet_mauvernay_901,﻿Rev.,﻿Peter Mauvernay,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9005_02,﻿chapel,﻿Chapel of the Visitation,English,,,,,,﻿Summerville,﻿Somerville,﻿AL,﻿AL,34.47294647,-86.798889,,,,﻿jam_lesne_901,﻿Rev.,﻿Jas. Lesne,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9003,﻿church,﻿St. Paul's,English,,,,,,﻿Mount Vernon,﻿Mount Vernon,﻿AL,﻿AL,31.086365,-88.00993,,,,﻿gab_chalon_001,﻿Rev.,﻿G. Chalon,,,,,,,,1839,,"﻿https://en.wikipedia.org/wiki/Mount_Vernon,_Alabama",﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9003,﻿station,﻿St. Paul's,English,,,﻿Mobile Bay,,,﻿Mount Vernon,﻿Mount Vernon,﻿AL,﻿AL,31.086365,-88.00993,,,﻿attended by Rev. G. Chalon,﻿g_chalon_901,﻿Rev.,﻿G. Chalon,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0022,﻿church,﻿St. Peter's,English,,,,,﻿Montgomery County,﻿Montgomery,﻿Montgomery,﻿AL,﻿AL,32.37547,-86.305845,,,,﻿wil_j_clancy_901,﻿Rev.,﻿William J. Clancy,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0016,﻿station,[Unnamed Institution],English,,,,,,﻿Greensborough,,﻿AL,,,,,,﻿attended by Rev. William J. Clancy,﻿wil_j_clancy_901,﻿Rev.,﻿William J. Clancy,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0028,﻿station,[Unnamed Institution],English,,,,,,﻿Tuscaloosa,,﻿AL,,,,,,﻿attended by Rev. William J. Clancy,﻿wil_j_clancy_901,﻿Rev.,﻿William J. Clancy,,,,,,,,1839,,﻿https://www.hschurch.com/history,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0018,﻿station,[Unnamed Institution],English,,,,,,﻿Huntsville,,﻿AL,,,,,,﻿attended by Rev. William J. Clancy,﻿wil_j_clancy_901,﻿Rev.,﻿William J. Clancy,,,,,,,,1839,,﻿https://www.smvparish.com/about,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0029,﻿station,[Unnamed Institution],English,,,,,,﻿Tuscumbia,,﻿AL,,,,,,﻿attended by Rev. William J. Clancy,﻿wil_j_clancy_901,﻿Rev.,﻿William J. Clancy,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0013,﻿station,[Unnamed Institution],English,,,,,,﻿Florence,,﻿AL,,,,,,﻿attended by Rev. William J. Clancy,﻿wil_j_clancy_901,﻿Rev.,﻿William J. Clancy,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9001,﻿station,[Unnamed Institution],English,,﻿Swift Creek,,,,,,﻿AL,,30.689998,-88.054344,,,﻿attended by Rev. William J. Clancy,﻿wil_j_clancy_901,﻿Rev.,﻿William J. Clancy,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9000,﻿church,﻿St. Michael's,English,,,,,﻿Escambia County,﻿Pensacola,﻿Pensacola,﻿FL,﻿FL,30.413788,-87.216271,,,,﻿joh_s_guinand_901,﻿Rev.,﻿S. Guinand,,,,,,,,1839,,﻿https://stmichaelbasilica.com/our-history,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.9000,﻿station,[Unnamed Institution],English,,﻿Barranca's,,,,,,﻿FL,﻿FL,,,,,﻿visited by Rev. S. Guinand,﻿joh_s_guinand_901,﻿Rev.,﻿S. Guinand,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.9001,﻿station,[Unnamed Institution],English,,﻿Perdido Bay,,,,,,﻿FL,﻿FL,,,,,﻿visited by Rev. S. Guinand,﻿joh_s_guinand_901,﻿Rev.,﻿S. Guinand,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.9002,﻿station,[Unnamed Institution],English,,﻿Escombia Bay,,,,,,﻿FL,﻿FL,,,,,﻿visited by Rev. S. Guinand,﻿joh_s_guinand_901,﻿Rev.,﻿S. Guinand,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.9003,﻿station,[Unnamed Institution],English,,﻿St. Joseph's Bay,,,,,,﻿FL,﻿FL,,,,,﻿visited by Rev. S. Guinand,﻿joh_s_guinand_901,﻿Rev.,﻿S. Guinand,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.0001,﻿church,﻿St. Augustine's,English,,,,,﻿St. Johns County,﻿St. Augustine,﻿St. Augustine,﻿FL,﻿FL,29.893102,-81.312449,,,,﻿c_rampon_901,﻿Rev.,﻿C. Rampon,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.0001,﻿church,﻿St. Augustine's,English,,,,,﻿St. Johns County,﻿St. Augustine,﻿St. Augustine,﻿FL,,29.893102,-81.312449,,,,﻿pat_hackett_901,﻿Rev.,﻿P. Hackett,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.0006,﻿church,[Unnamed Institution],English,,,,,﻿Nassau County,﻿Fernandina,﻿Fernandina Beach,﻿FL,﻿FL,30.673797,-81.461528,,,﻿attended by Rev. P. Hackett,﻿pat_hackett_901,﻿Rev.,﻿P. Hackett,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.9004,﻿station,[Unnamed Institution],English,,﻿Amelia Island,,,,,,﻿FL,﻿FL,,,,,﻿attended by Rev. P. Hackett,﻿pat_hackett_901,﻿Rev.,﻿P. Hackett,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.0002,﻿station,[Unnamed Institution],English,,,,,,﻿Jacksonville,,﻿FL,﻿FL,,,,,﻿attended by Rev. P. Hackett,﻿pat_hackett_901,﻿Rev.,﻿P. Hackett,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0035,﻿college,﻿College of Spring Hill,English,"﻿the Faculty is two Professors of Enligh, two of the French, two of the Latin, one of the Spanish, Professor of Mathematics and a Director General of Studiest",﻿seven miles West of the city of Mobile,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,30.69404201,-88.13786472,,,,﻿pet_mauvernay_901,﻿Rev.,﻿Peter Mauvernay,,﻿President,,﻿students,﻿between 100 and 125 students,,,1839,"﻿Two Professors of the English Language, two of the French, two of the Latin and one of the Spanish, a Professor of the Mathematics and a Director General of Studies, constitute the Faculty the Council of the College, under the direction of the founder, Rt. Rev. Dr. Portier, or the President, his Vicar General, to whom are also assigned the duties of the Greek Professorship. It is needless to mention that Geography, Astronomy, History, Rhetoric, Belles Lettres, the elements of Physics and Chemistry, &e. &e. are included in the course of studies. The College of Spring Hill is designed to be essentially classic. All the students, without exception, will pursue according to their age, progress, and the direction of the Council of professors, in connection with other branches, the Study of the Ancient and Modern Languages. The English, however, will be exclusively the language of communication.",,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0035,﻿college,﻿College of Spring Hill,English,"﻿the Faculty is two Professors of Enligh, two of the French, two of the Latin, one of the Spanish, Professor of Mathematics and a Director General of Studiest",﻿seven miles West of the city of Mobile,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.69404201,-88.13786472,,,,﻿m_d_oreilly_901,﻿Rev.,﻿M. D. O'Reilly,,﻿Vice-President,,﻿students,﻿between 100 and 125 students,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0035,﻿college,﻿College of Spring Hill,English,"﻿the Faculty is two Professors of Enligh, two of the French, two of the Latin, one of the Spanish, Professor of Mathematics and a Director General of Studiest",﻿seven miles West of the city of Mobile,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.69404201,-88.13786472,,,,﻿jul_priour_901,﻿Rev.,﻿Julian Priour,,﻿Procurator,,﻿students,﻿between 100 and 125 students,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0035,﻿college,﻿College of Spring Hill,English,"﻿the Faculty is two Professors of Enligh, two of the French, two of the Latin, one of the Spanish, Professor of Mathematics and a Director General of Studiest",﻿seven miles West of the city of Mobile,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.69404201,-88.13786472,,,,﻿fra_martinet_901,﻿Rev.,﻿Francis Martinet,,﻿Prefect of Studies,,﻿students,﻿between 100 and 125 students,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0035,﻿college,﻿College of Spring Hill,English,"﻿the Faculty is two Professors of Enligh, two of the French, two of the Latin, one of the Spanish, Professor of Mathematics and a Director General of Studiest",﻿seven miles West of the city of Mobile,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.69404201,-88.13786472,,,,﻿j_m_portier_901,﻿Rev.,﻿J. M. Portier,,﻿Professor,,﻿students,﻿between 100 and 125 students,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.0001_02,﻿academy,﻿Academy for Boys,English,,,﻿East Florida,,,﻿St. Augustine,﻿St. Augustine,﻿FL,﻿FL,29.893102,-81.312449,,,﻿under the direction of Rev. P. Hackett,﻿pat_hackett_901,﻿Rev.,﻿P. Hackett,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.0001_02,﻿academy,﻿Academy for Boys,English,,,﻿East Florida,,,﻿St. Augustine,﻿St. Augustine,﻿FL,,29.893102,-81.312449,,,,,,,,﻿Assistant teacher,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0001_02,﻿school for boys,﻿School for Boys,English,,,,,,﻿Mobile,﻿Mobile,﻿AL,﻿AL,30.69012,-88.045898,,,﻿under the patronage of the bishop,﻿mic_portier_901,﻿Rt. Rev.,﻿Michael Portier,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0037&0037_02,﻿convent and academy,﻿Convent and Academy of the Visitation of B.V. Mary,English,,﻿Summerville,﻿within three miles of Mobile,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,30.69365164,-88.0931224,,,,,,,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.9005,﻿seminary,﻿Seminary for Young Ladies,English,,,﻿East Florida,,,﻿St. Augustine,﻿St. Augustine,﻿FL,﻿FL,,,,,,,,,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9006,﻿school for girls,﻿School for Girls,English,,,,,,﻿Mobile,﻿Mobile,﻿AL,﻿AL,,,,,﻿under the patronage of the bishop,﻿mic_portier_901,﻿Rt. Rev.,﻿Michael Portier,,,,,,,,1839,,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0048,﻿asylum,﻿Orphan Asylum,English,﻿furnished by Rt. Rev. Michael Portier,,,,,﻿Mobile,﻿Mobile,﻿AL,﻿AL,,,,,,,,,,,,,,﻿under the direction of the Charitable  Catholic Ladies' Society of the City of Mobile,,1839,,,﻿,﻿,﻿Mobile,Mobile
