instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nat.ms.0001,﻿cathedral,"﻿St. Mary's Cathedral, Our Lady of Sorrows",English,"﻿St. Michael's, St. Aloysius' Societyes for Young Men...Also St. Aloysius' Society for Young Ladies, and Sanctuary Society",,,﻿Adams County,,﻿Natchez,﻿Natchez,﻿MS,,31.5587495,-91.4014488,,,,﻿wil_h_elder_001,﻿Rt. Rev.,﻿William Henry Elder,﻿D.D.,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0001,﻿cathedral,"﻿St. Mary's Cathedral, Our Lady of Sorrows",English,"﻿St. Michael's, St. Aloysius' Societyes for Young Men...Also St. Aloysius' Society for Young Ladies, and Sanctuary Society",,,﻿Adams County,,﻿Natchez,﻿Natchez,﻿MS,,31.5587495,-91.4014488,,,,﻿mat_f_grignon_001,﻿Very Rev.,﻿Mathurin F. Grignon,,﻿V.G.,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0001,﻿cathedral,"﻿St. Mary's Cathedral, Our Lady of Sorrows",English,"﻿St. Michael's, St. Aloysius' Societyes for Young Men...Also St. Aloysius' Society for Young Ladies, and Sanctuary Society",,,﻿Adams County,,﻿Natchez,﻿Natchez,﻿MS,,31.5587495,-91.4014488,,,,﻿ger_marty_001,﻿Rev.,﻿Germain Marty,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0002,﻿church,﻿Church of St. Francis of Sales,English,,,,﻿Monroe County,,﻿Aberdeen,﻿Aberdeen,﻿MS,,33.824588,-88.546233,,,,﻿joh_b_mouton_001,﻿Rev.,﻿J. B. Mouton,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0004,﻿church,[Unnamed Institution],English,,,,﻿Lowndes County,,﻿Artesia,﻿Artesia,﻿MS,,33.416111,-88.645278,﻿nat.ms.0019,﻿from Columbus,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0005,﻿church,[Unnamed Institution],English,,,,﻿Copiah County,,﻿Bahala,,﻿MS,,31.72310987,-90.26768456,﻿nat.ms.0013,﻿Visited from Brookhaven,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0006,﻿church,[Unnamed Institution],English,,,,﻿Choctaw County,,﻿Bankston,,﻿MS,,33.397222,-89.366667,﻿nat.ms.0042,﻿Visited from Louisville,﻿Occasionally,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0007,﻿church,﻿Our Lady of the Gulf,English,,,,,﻿Hancock County,﻿Bay of St. Louis,﻿Bay St. Louis,﻿MS,,30.307835,-89.327624,,,,﻿hen_leduc_001,﻿Rev.,﻿Henry Leduc,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0007,﻿church,﻿Our Lady of the Gulf,English,,,,,﻿Hancock County,﻿Bay of St. Louis,﻿Bay St. Louis,﻿MS,,30.307835,-89.327624,,,,﻿ale_de-morangies_001,﻿Rev.,﻿Alexander De Morangies,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0008,﻿church,﻿Nativity of the Blessed Virgin Mary,English,,,,﻿Jackson County,﻿Harrison County,﻿Biloxi,﻿Biloxi,﻿MS,,30.396956,-88.891196,,,,﻿p_chevalier_001,﻿Rev.,﻿P. Chevalier,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
