instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society; two sodalities of the Blessed Virgin,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.742097,-74.172314,,,,﻿jam_r_bayley_001,﻿Rt. Rev.,﻿James Roosevelt Bayley,﻿D.D.,,,,,,,1865,﻿,﻿,﻿Newark,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society; two sodalities of the Blessed Virgin,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.742097,-74.172314,,,,﻿geo_h_doane_001,﻿Rev.,﻿G. H. Doane,,,,,,,,1865,﻿,﻿,﻿Newark,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society; two sodalities of the Blessed Virgin,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.742097,-74.172314,,,,﻿e_m_hickey_001,﻿Rev.,﻿E. M. Hickey,,,,,,,,1865,﻿,﻿,﻿Newark,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society; two sodalities of the Blessed Virgin,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.742097,-74.172314,,,,﻿joh_daly_004,﻿Rev.,﻿John Daly,,,,,,,,1865,﻿,﻿,﻿Newark,Newark
﻿new.nj.0003,﻿church,﻿St. John's,English,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.738052,-74.165907,,,,﻿pat_moran_001,﻿Very Rev.,﻿Patrick Moran,,﻿V.G.,,,,,,1865,﻿,﻿,﻿Newark,Newark
﻿new.nj.0003,﻿church,﻿St. John's,English,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.738052,-74.165907,,,,﻿jam_moran_002,﻿Rev.,﻿James Moran,,,,,,,,1865,﻿,﻿,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.747065,-74.232974,,,,﻿osw_moosmuller_001,﻿Rev.,﻿Oswald Moosmuller,﻿O.S.B.,﻿Prior,,﻿religious,﻿two lay brothers,,,1865,﻿,﻿,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.747065,-74.232974,,,,﻿ben_hegele_002,﻿Rev.,﻿Benno Hegele,﻿O.S.B.,,,﻿religious,﻿two lay brothers,,,1865,﻿,﻿,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.747065,-74.232974,,,,﻿gre_bauers_001,﻿Rev.,﻿Gregory Bauers,﻿O.S.B.,,,﻿religious,﻿two lay brothers,,,1865,﻿,﻿,﻿Newark,Newark
﻿new.nj.0005,﻿church,﻿St. James',English,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.728521,-74.162178,,,,﻿j_m_gervais_001,﻿Rev.,﻿J. M. Gervais,,,,,,,,1865,﻿,﻿,﻿Newark,Newark
