instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,45.523698,-122.689059,,,,﻿f_n_blanchet_001,﻿Most Rev.,﻿F. N. Blanchet,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,45.523698,-122.689059,,,,﻿joh_f_fierens_001,﻿Very Rev.,﻿John F. Fierens,,﻿Rector,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,45.523698,-122.689059,,,,﻿cha_tierney_001,﻿Rev.,﻿Charles Tierney,,﻿Assistant,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,45.523698,-122.689059,,,,﻿lew_piette_001,﻿Rev.,﻿Lewis Piette,,﻿Chaplain of the Sisters,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0002,﻿church,﻿Sacred Heart's Church,English,﻿1846,,,,,﻿Oregon City,﻿Oregon City,﻿OR,,45.35561,-122.605853,﻿ore.or.0001,﻿Attended from Portland,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0003,﻿church,﻿St. John the Baptist's Church,English,"﻿blessed July 24, 1864",,,,,﻿Milwaukee,﻿Milwaukee,﻿OR,,45.442619,-122.63984,﻿ore.or.0001,﻿Attended from Portland,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0007,﻿church,[Unnamed Institution],English,,,,﻿Washington County,,﻿Hillsboro,﻿Hillsboro,﻿OR,,45.520134,-122.989849,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0009,﻿church,[Unnamed Institution],English,,﻿Stevens' Military Fort at Point Adam,,﻿Warrenton County,﻿Clatsop County,,,﻿OR,,46.201969,-123.96349,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0004,﻿church,[Unnamed Institution],English,,,,,,﻿Astoria,﻿Astoria,﻿OR,,45.412054,-122.696575,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0010,﻿church,[Unnamed Institution],English,,,,,,﻿Mount Rainier,﻿Rainier,﻿OR,,46.089135,-122.935978,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0011,﻿church,[Unnamed Institution],English,,,,,,﻿St. Helen,﻿St. Helen,﻿OR,,45.858964,-122.82123,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0012,﻿church,[Unnamed Institution],English,,,,,,﻿Columbia Bottom,,﻿OR,,45.56986,-122.48664,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0081,﻿church,[Unnamed Institution],English,,,,,,﻿Cascades,﻿Cascades,﻿OR,,,,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0013,﻿church,[Unnamed Institution],English,,,﻿French Prairie,﻿Marion County,,﻿St. Louis,,﻿OR,,45.123267,-122.942632,,,,﻿bar_delorme_001,﻿Very Rev.,﻿B. Delorme,,﻿V.G. Pastor,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0013,﻿church,[Unnamed Institution],English,,,﻿French Prairie,﻿Marion County,,﻿St. Louis,,﻿OR,,45.123267,-122.942632,,,,﻿a_libar_001,﻿Rev.,﻿A. Lebas,,﻿Assistant,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0005,﻿church,[Unnamed Institution],English,,,,,,﻿Molala,﻿Molalla,﻿OR,,45.147544,-122.577126,﻿ore.or.0002,﻿attended from St. Louis,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0015,﻿church,[Unnamed Institution],English,,,﻿French Prairie,﻿Marion County,,﻿St. Paul,,﻿OR,,45.262342,-122.840374,,,,﻿joh_f_malo_001,﻿Rev.,﻿John F. Malo,,﻿Pastor,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0083,﻿church,[Unnamed Institution],English,,,,,,﻿Butteville,﻿Butteville,﻿OR,,45.255556,-122.834722,﻿ore.or.0015,﻿attended from St. Paul,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0017,﻿church,﻿St. John the Evangelist,English,"﻿blessed April 10, 1864",,,,,﻿Salem,﻿Salem,﻿OR,,44.942898,-123.035096,,,,﻿seb_goens_001,﻿Rev.,﻿Sebastian Goens,,﻿Pastor,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0025,﻿church,﻿St. Mary's Church,English,,,,,,﻿Corvallis,﻿Corvallis,﻿OR,,44.572976,-123.278457,﻿ore.or.0017,﻿attended from Salem,,,,,,﻿Pastor,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0026,﻿church,[Unnamed Institution],English,,,,,,﻿Albany,﻿Albany,﻿OR,,44.636511,-123.105928,﻿ore.or.0017,﻿attended from Salem,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0033,﻿church,[Unnamed Institution],English,,,,,,﻿Fort Hoskins,﻿Fort Hoskins,﻿OR,,44.616971,-124.020727,﻿ore.or.0017,﻿attended from Salem,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0030,﻿church,[Unnamed Institution],English,,,,,,﻿Harrisburgh,﻿Harrisburg,﻿OR,,44.274012,-123.170648,﻿ore.or.0017,﻿attended from Salem,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0028,﻿church,[Unnamed Institution],English,,,,,,﻿Brownsville,﻿Brownsville,﻿OR,,44.393457,-122.984811,﻿ore.or.0017,﻿attended from Salem,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0029,﻿church,[Unnamed Institution],English,,,,,,﻿Scio,﻿Scio,﻿OR,,44.704845,-122.849256,﻿ore.or.0017,﻿attended from Salem,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0031,﻿church,[Unnamed Institution],English,,,,,,﻿Lancaster,﻿Lancaster,﻿OR,,44.25306,-123.19444,﻿ore.or.0017,﻿attended from Salem,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0032,﻿church,[Unnamed Institution],English,,,,,,﻿Eugene City,﻿Eugene,﻿OR,,44.052069,-123.086754,﻿ore.or.0017,﻿attended from Salem,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0027,﻿church,[Unnamed Institution],English,,,,,,﻿Sentiam,﻿Santiam Junction,﻿OR,,44.4359,-121.941566,﻿ore.or.0017,﻿attended from Salem,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0038,﻿church,[Unnamed Institution],English,,,,,,﻿Oakland,﻿Oakland,﻿OR,,43.422063,-123.29841,﻿ore.or.0015,﻿Attended from St. Paul's,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0039,﻿church,[Unnamed Institution],English,,,,,,﻿Scottsburgh,﻿Scottsburg,﻿OR,,43.654006,-123.816768,﻿ore.or.0015,﻿Attended from St. Paul's,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0037,﻿church,[Unnamed Institution],English,,,,,,﻿Winchester,﻿Winchester,﻿OR,,43.513874,-123.804062,﻿ore.or.0015,﻿Attended from St. Paul's,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0034,﻿chapel,[Unnamed Institution],English,,,,,,﻿Roseburgh,﻿Roseburg,﻿OR,,43.216221,-123.357341,﻿ore.or.0015,﻿Attended from St. Paul's,,,,,,,,,,,,1866,﻿,﻿,﻿Oregon City,OregonCity
