instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿phi.pa.0005,﻿cathedral,﻿St. Mary's,English,,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,﻿PA,39.945643,-75.148563,,,,﻿edw_barron_901,﻿Very Rev.,﻿Edward Barron,﻿D.D.,﻿Pastor,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿St. Mary's,English,,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.945643,-75.148563,,,,﻿cha_j_carter_001,﻿Rev.,﻿Charles J. Carter,,﻿Assistant,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿St. Mary's,English,,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.945643,-75.148563,,,,﻿joh_p_dunn_901,﻿Rev.,﻿John P. Dunn,,﻿Assistant,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0006,﻿church,﻿St. Joseph's,English,,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,﻿PA,39.946554,-75.147571,,,,﻿joh_mcelroy_901,﻿Rev.,﻿John McElroy,﻿S. J.,﻿Pastor,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0006,﻿church,﻿St. Joseph's,English,,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.946554,-75.147571,,,,﻿fel_j_barbelin_001,﻿Rev.,﻿Felix Barbelin,﻿S. J.,,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0007,﻿church,﻿St. Augustin's,English,,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,﻿PA,39.955527,-75.146585,,,,﻿jam_odonnell_901,﻿Rev.,﻿James O'Donnell,,﻿Pastor,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0007,﻿church,﻿St. Augustin's,English,,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.955527,-75.146585,,,,﻿tho_kyle_901,﻿Rev.,﻿Thomas Kyle,,,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,English,,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,﻿PA,39.945508,-75.151895,,,,﻿oth_borgess_901,﻿Rev.,﻿Otho Borgess,,﻿Pastor,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John Evang.,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.95127,-75.161381,,,,﻿fra_x_gartland_901,﻿Rev.,﻿Francis X. Gartland,,﻿Pastor,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John Evang.,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.95127,-75.161381,,,,﻿edw_j_sourin_001,﻿Rev.,﻿Edward Sourin,,,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0010,﻿church,﻿St. Michael's,English,,,,,,﻿Philadelphia,﻿Philadelphia,﻿PA,﻿PA,39.973891,-75.13849,,,,﻿ter_j_donaghue_901,﻿Rev.,﻿Terence J. Donaghue,,﻿Pastor,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0010,﻿church,﻿St. Michael's,English,,,,,,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.973891,-75.13849,,,,﻿wil_whelan_901,﻿Rev.,﻿W. Whelan,,,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0014,﻿church,﻿SS. Peter and Paul,English,,,,,,﻿Beaver,,﻿PA,,,,,,﻿[visited] last Sunday in the month [by] Rev. Edward F. Garland,﻿e_f_garland_001,﻿Rev.,﻿Edward F. Garland,,,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0015,﻿church,﻿St. Thomas',English,,,,,﻿Bedford County,﻿Bedford,﻿Bedford,﻿PA,﻿PA,40.017667,-78.501518,,,﻿[visited] three Sundays in the month [by] Rev. Thomas Heyden,﻿tho_heyden_001,﻿Rev.,﻿Thomas Heyden,,,﻿dwelling at Newry,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿har.pa.0041,﻿church,﻿St. John Evangelist,English,,,,,﻿Centre County,﻿Bellefonte,﻿Bellefonte,﻿PA,﻿PA,40.910814,-77.77628,,,,,,,,,﻿Vacant,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0019,﻿church,﻿SS. Simon and Jude,English,,,,,﻿Indiana County,﻿Blairsville,﻿Blairsville,﻿PA,﻿PA,40.432631,-79.258411,,,﻿[visited] twice a month [by] Rev. J. A. Stillinger,﻿jam_a_stillinger_001,﻿Rev.,﻿J. A. Stillinger,,,,,,,,1839,,,﻿,﻿,﻿Philadelphia,Philadelphia
