instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿pit.pa.0001,﻿cathedral,﻿St. Paul's Cathedral,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.4475384,-79.949826,,,,﻿edw_mcmahon_001,﻿Very Rev.,﻿E. McMahon,﻿V.G.,﻿Rector,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0001,﻿cathedral,﻿St. Paul's Cathedral,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.4475384,-79.949826,,,,,﻿Rev.,﻿F. Shea,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0001,﻿cathedral,﻿St. Paul's Cathedral,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.4475384,-79.949826,,,,,﻿Rev.,﻿Dennis Kearney,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0002,﻿church,﻿St. Patrick's,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.4495663,-79.9849717,,,,﻿e_f_garland_001,﻿Rev.,﻿E. F. Garland,,﻿Rector,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0002,﻿church,﻿St. Patrick's,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.4406248,-79.9958864,,,,,,,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0003,﻿church,﻿St. Philomena's,﻿German,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,,,,,,,﻿Rev.,﻿Jos. Wissel,﻿C.SS.R,﻿Rector,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0004,﻿church,﻿St. Bridget's,English,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.4406248,-79.9958864,,,,﻿j_treacy_001,﻿Rev.,﻿James Treacy,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0005,﻿church,﻿Holy Trinity,﻿German,,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.4406248,-79.9958864,,,,,﻿Rev.,﻿J. Kirchner,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0124_05,﻿chapel,﻿St. Mary's,English,﻿Convent Chapel,,,﻿Allegheny County,,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.4964057,-80.0005656,﻿pit.pa.0001,﻿attended from the Cathedral,,,,,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0115_02,﻿chapel,﻿Mercy Hospital,English,,,,﻿Allegheny County,,﻿Pittsburgh,,﻿PA,,,,,,,,﻿Rev.,﻿A. Ordano,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0008,﻿church,﻿St. Peter's,English,,,,﻿Allegheny County,,﻿Allegheny,﻿Allegheny,﻿PA,,﻿40.3240983,-79.8661762,,,,﻿t_mullen_001,﻿Rev.,﻿T. Mullen,,﻿Rector,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0009,﻿church,﻿St. Mary's,﻿German,,,,﻿Allegheny County,,﻿Allegheny,﻿Pittsburgh,﻿PA,,﻿40.4964057,-80.0005656,,,,﻿j_stibiel_001,﻿Rev.,﻿John Stiebel,,﻿Rector,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0009,﻿church,﻿St. Mary's,﻿German,,,,﻿Allegheny County,,﻿Allegheny,﻿Pittsburgh,﻿PA,,﻿40.4964057,-80.0005656,,,,,﻿Rev.,﻿Michael Eigner,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0009,﻿church,﻿St. Mary's,﻿German,,,,﻿Allegheny County,,﻿Allegheny,﻿Pittsburgh,﻿PA,,﻿40.4964057,-80.0005656,,,,,﻿Rev.,﻿- Herchenrather,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0011,﻿chapel,﻿St. Joseph's Chapel,English,,﻿Troy Hill,,,,﻿Allegheny,﻿Troy Hill,﻿PA,,﻿40.4619227,-79.985009,,,,﻿fer_m_wolf_001,﻿Rev.,﻿F. Wolf,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0012,﻿church,﻿St. John's,English,,,,﻿Blair County,,﻿Altoona,﻿Altoona,﻿PA,,﻿40.4646451,-78.3941882,,,,﻿j_tuigg_001,﻿Rev.,﻿John Tuigg,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0014,﻿church,﻿SS. Peter and Paul,English,,,,﻿Beaver County,,﻿Beaver,﻿Beaver,﻿PA,,﻿40.699188,-80.2976751,,,,﻿jam_reid_001,﻿Rev.,﻿James Reid,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0015,﻿church,﻿St. Thomas',English,,,,﻿Bedford County,,﻿Bedford,﻿Bedford,﻿PA,,﻿40.0177,-78.5013917,,,,﻿tho_heyden_001,﻿Very Rev.,﻿Thomas Heyden,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0016,﻿church,﻿St. John Baptist,English,,﻿(Buchanan P.O.),,﻿Allegheny County,,﻿Birmingham,﻿Birmingham,﻿PA,,﻿40.4450813,-80.0087746,,,,﻿w_pollard_001,﻿Rev.,﻿W. Pollard,,﻿Rector,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0017,﻿church,﻿St. Michael's,﻿German,,,,﻿Allegheny County,,﻿Birmingham,﻿Birmingham,﻿PA,,﻿40.3877375,-79.8893732,,,,﻿luk_baudinelli_001,﻿Rev.,﻿Luke Baudinelli,﻿Passionist,﻿Rector,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0017,﻿church,﻿St. Michael's,﻿German,,,,﻿Allegheny County,,﻿Birmingham,﻿Birmingham,﻿PA,,﻿40.3877375,-79.8893732,,,,﻿jam_hoffzugott_001,﻿Rev.,﻿James Hoffzugott,﻿Passionist,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0121_02,﻿church,﻿B. Paul of the Cross,English,,,,﻿Allegheny County,,﻿Birmingham,﻿Birmingham,﻿PA,,﻿40.4450813,-80.0087746,,,,,,,,,,,,﻿Passionist Fathers,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0019,﻿church,﻿SS. Simon and Jude,English,,,,﻿Indiana County,,﻿Blairsville,﻿Blairsville,﻿PA,,﻿40.4326286,-79.2583925,,,,﻿j_a_stillinger_001,﻿Rev.,﻿J. A. Stillinger,,﻿Rector,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0020,﻿church,not recorded,English,,,,﻿Allegheny County,,﻿Braddock's Field,﻿Braddock,﻿PA,,﻿40.4028788,-79.8633613,,,,,﻿Rev.,﻿Thomas O'Farrell,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0023,﻿church,﻿SS. Peter and Paul,English,,,,﻿Armstrong County,,﻿Brady's Bend,﻿Brady's Bend,﻿PA,,﻿40.9843831,-79.6389821,,,,,﻿Rev.,﻿P. Hughes,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0025,﻿church,not recorded,English,,,,﻿Huntingdon County,,﻿Broad Top,,﻿PA,,﻿40.19965798,-78.18502096,,,,,﻿Rev.,﻿J. M. Doyles,,,﻿Huntington,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0026,﻿church,﻿St. Peter's,English,,,,﻿Fayette County,,﻿Brownsville,﻿Brownsville,﻿PA,,﻿40.0236854,-79.8839357,,,,,﻿Rev.,﻿Thos. Guinn,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0027,﻿church,﻿St. Peter's,English,,,,﻿Butler County,,﻿Butler,,﻿PA,,,,,,,,﻿Rev.,﻿Luke Wimmer,﻿O.S.B.,﻿Rector,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0027,﻿church,﻿St. Peter's,English,,,,﻿Butler County,,﻿Butler,,﻿PA,,,,,,,,﻿Rev.,﻿Charles Geyerstanger,﻿O.S.B.,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0027,﻿church,﻿St. Peter's,English,,,,﻿Butler County,,﻿Butler,,﻿PA,,,,,,,,﻿Rev.,﻿Joseph Billon,﻿O.S.B.,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0027,﻿church,﻿St. Peter's,English,,,,﻿Butler County,,﻿Butler,,﻿PA,,,,,,,,﻿Rev.,﻿Erhard Vanino,﻿O.S.B.,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0027,﻿church,﻿St. Peter's,English,,,,﻿Butler County,,﻿Butler,,﻿PA,,,,,,,,,﻿Edmund Langerfelder,﻿O.S.B.,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0029,﻿church,﻿St. Patrick's,English,,﻿Strongstown P.O.,,﻿Indiana County,,﻿Cameron's Bottom,,﻿PA,,﻿40.5528467,-78.9216944,,,,,﻿Rev.,﻿J. Hackett,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0030,﻿church,﻿St. Benedict's,English,,,,﻿Cambria County,,﻿Carrolltown,﻿Carrolltown,﻿PA,,﻿40.60979,-78.7066304,,,,,﻿Rev.,﻿Otho Huber,﻿O.S.B.,﻿Rector,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0030,﻿church,﻿St. Benedict's,English,,,,﻿Cambria County,,﻿Carrolltown,﻿Carrolltown,﻿PA,,﻿40.60979,-78.7066304,,,,,﻿Rev.,﻿Otho Kopf,﻿O.S.B.,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0031,﻿church,﻿St. Phillip's,English,,,,﻿Allegheny County,,﻿Chartier's Creek,,﻿PA,,﻿40.43687883,-80.06861296,,,,﻿m_carroll_001,﻿Rev.,﻿M. Carroll,,,﻿Temperanceville,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0033,﻿church,﻿St. Monica's,English,,,,﻿Cambria County,,﻿Chest Springs,﻿Chest Springs,﻿PA,,﻿40.5799775,-78.6059876,﻿pit.pa.0084,﻿attended from St. Augustine,﻿monthly,,,,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0034,﻿church,﻿St. John's,English,,﻿Coylesville P.O.,,﻿Butler County,,﻿Clearfield,,﻿PA,,﻿40.84260959,-79.74326826,,,,﻿p_m_doyle_001,﻿Rev.,﻿P. M. Doyle,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0035,﻿church,﻿St. Mary's,English,,,,﻿Butler County,,﻿Clearfield,﻿Clearfield Township,﻿PA,,﻿40.8414657,-79.7175517,﻿pit.pa.0028,﻿attended by Benedictines from Bulter,,,,,,,,,,﻿Benedictines,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0036,﻿chapel,not recorded,English,﻿Chapel,,,﻿Bedford County,,﻿Clearville,﻿Clearville,﻿PA,,﻿39.9167511,-78.3839036,﻿pit.pa.0015,﻿attended from Bedford,,,,,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0039,﻿church,﻿Our Lady of Mt. Carmel,English,,,,﻿Westmoreland County,,﻿Derry Township,,﻿PA,,﻿40.39091437,-79.35472146,,,,,﻿Rev.,﻿Maurice Koeder,﻿O.S.B.,,﻿St. Vincent's Abbey,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0040,﻿church,﻿St. Joseph's,English,,,,﻿Butler County,,﻿Donegal,﻿Donegal Township,﻿PA,,﻿40.9036874,-79.7788344,,﻿attended from Murrinsville and Butler,,,,,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0042,﻿church,﻿St. Patrick's,English,,,,﻿Cambria County,,﻿Ebensburg,﻿Ebensburg,﻿PA,,﻿40.5150924,-78.8740236,,,,﻿m_j_mitchell_001,﻿Rev.,﻿M. J. Mitchell,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0041,﻿church,﻿St. Peter and Paul,English,,,,﻿Allegheny County,,﻿East Liberty,﻿East Liberty,﻿PA,,﻿40.4625965,-79.9181296,,,,,﻿Rev.,﻿C. Klocker,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0043,﻿church,﻿St. Michael's,English,,,,﻿Allegheny County,,﻿Elizabeth,﻿Elizabeth,﻿PA,,﻿40.4450813,-80.0087746,﻿pit.pa.0026,﻿attended from Brownsville,,,,,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0044,﻿church,﻿St. Matthew's,English,,﻿P.O. West End,,﻿Somerset County,,﻿Fairfield,,﻿PA,,﻿39.82196238,-79.02112298,,,,,﻿Rev.,﻿F. Seneca,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0045,﻿church,﻿St. Mary's,English,,,,﻿Westmoreland County,,﻿Florence,﻿New Florence,﻿PA,,﻿40.3803492,-79.075308,,,,,﻿Rev.,﻿P. M. Garvey,,,﻿Johnstown,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0046,﻿church,﻿St. Mary's,English,,,,﻿Armstrong County,,﻿Freeport,﻿Freeport,﻿PA,,﻿40.6740899,-79.6833747,,,,﻿r_phelan_001,﻿Rev.,﻿R. Phelan,,,,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0047,﻿church,﻿St. Patrick's,English,,,,﻿Cambria County,,﻿Galitzin,﻿Gallitzin,﻿PA,,﻿40.4757512,-78.5398269,,,,﻿t_ryan_001,﻿Rev.,﻿Thos. Ryan,,,﻿Summit,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0048,﻿church,﻿St. Lawrence's,English,,,,﻿Cambria County,,﻿Glen Connell,,﻿PA,,﻿40.69637464,-78.62818677,,,,,﻿Rev.,﻿Otho Huber,﻿O.S.B.,,﻿Carrolton,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0049,﻿church,﻿Most Holy Sacrament,English,,,,﻿Westmoreland County,,﻿Greensburg,﻿Greensburg,﻿PA,,﻿40.2810992,-79.5250771,,,,,﻿Rev.,﻿Placidus Pilz,﻿O.S.B.,,﻿St. Vincent's Abbey,,,,,1861,﻿,﻿,﻿Pittsburgh,Pittsburgh
