instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿por.me.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.661682,-70.254279,,,,﻿d_w_bacon_001,﻿Rt. Rev.,﻿D. W. Bacon,﻿D.D.,,,,,,,1867,﻿,﻿,﻿Portland,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.661682,-70.254279,,,,﻿eug_müller_001,﻿Very Rev.,﻿Eugene Müller,﻿V.G.,,,,,,,1867,﻿,﻿,﻿Portland,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.661682,-70.254279,,,,﻿joh_de-rose_001,﻿Rev.,﻿John De Rose,,,,,,,,1867,﻿,﻿,﻿Portland,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.661682,-70.254279,,,,﻿mic_obrien_003,﻿Rev.,﻿Michae O'Brien,,,,,,,,1867,﻿,﻿,﻿Portland,Portland
﻿por.me.0002,﻿church,﻿St. Dominic's Church,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.650314,-70.262673,,,,﻿eug_müller_001,﻿Very Rev.,﻿Eugene Müller,﻿V.G.,﻿pastor,,,,,,1867,﻿,﻿,﻿Portland,Portland
﻿por.me.0002,﻿church,﻿St. Dominic's Church,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.650314,-70.262673,,,,﻿l_michaud_001,﻿Rev.,﻿L. Michaud,,﻿assistant,,,,,,1867,﻿,﻿,﻿Portland,Portland
﻿por.me.0004,﻿chapel,﻿St. Aloysius' Chapel,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.66072,-70.258078,,,,﻿mic_obrien_003,﻿Rev.,﻿Michae O'Brien,,,,,,,,1867,﻿,﻿,﻿Portland,Portland
﻿por.me.0003,﻿chapel,﻿Calvary Chapel,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.66072,-70.258078,﻿por.me.0002,﻿attended from St. Dominic's Church,,,,,,,,,,,,1867,﻿,﻿,﻿Portland,Portland
﻿por.me.0006,﻿church,﻿St. Mary's,English,,,,,,﻿Augusta,﻿Augusta,﻿ME,,44.309149,-69.780256,,,,﻿cha_egan_001,﻿Rev.,﻿Charles Egan,,,,,,,,1867,﻿,﻿,﻿Portland,Portland
﻿por.me.0007,﻿church,﻿St. John's,English,,,,,,﻿Bangor,﻿Bangor,﻿ME,,44.80388,-68.76105,,,,﻿hen_gillen_001,﻿Rev.,﻿Henry Gillen,,,,,,,,1867,﻿,﻿,﻿Portland,Portland
