instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿ric.va.0001,﻿church,[Unnamed Institution],English,,,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,﻿VA,37.540549,-77.43524,,,﻿Service every Sunday,﻿tim_obrien_901,﻿Rev.,﻿Timothy O'Brien,,,,,,,,1839,"﻿https://en.wikipedia.org/wiki/St._Peter%27s_Pro-Cathedral_(Richmond,_Virginia)#:~:text=Article-,St.,Sacred%20Heart%20in%201906%2C%20St. ; https://richmonddiocese.org/parishes/saint-peter/",﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0001,﻿church,[Unnamed Institution],English,,,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,,37.540549,-77.43524,,,,﻿joh_obrien_901,﻿Rev.,﻿John O'Brien,,,,,,,,1839,,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0015,﻿church,[Unnamed Institution],English,"﻿Benevolent Fund Society (for the support of indigent families. When a family is considered worthy of relief, a certain sum is paid to it monthly from the funds of the association)",,,﻿Norfolk County,,﻿Norfolk,﻿Norfolk,﻿VA,﻿VA,36.847149,-76.282363,,,﻿Service every Sunday,﻿ale_hitselberger_001,﻿Rev.,﻿A. Hitselberger,,,,,,,,1839,﻿https://www.basilicaofsaintmary.org/history,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0017,﻿church,[Unnamed Institution],English,,,,﻿Norfolk County,﻿Norfolk County,﻿Portsmouth,﻿Portsmouth,﻿VA,﻿VA,36.835604,-76.303475,,,﻿Service every Sunday,﻿w_moriarty_901,﻿Rev.,﻿W. Moriarty,,,,,,,,1839,﻿https://oldetowneportsmouth.com/listings/st-pauls-catholic-church/ ; https://www.clusterparishes.com/,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0009,﻿church,[Unnamed Institution],English,,,,﻿Berkely County,﻿Berkeley County,﻿Martinsburg,﻿Martinsburg,﻿VA,﻿WV,39.455404,-77.964527,,,﻿Service every Sunday,﻿ric_whelan_901,﻿Rev.,﻿Richard Whelan,,,,,,,,1839,"﻿https://en.wikipedia.org/wiki/Martinsburg,_West_Virginia#:~:text=The%20city%20of%20Martinsburg%20was,Legislature%20on%20March%2030%2C%201868.&text=Martinsburg%20became%20a%20center%20of%20the%20railroad%20industry%20and%20its%20workers. ; https://stjosephwv.org/",﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0009,﻿church,[Unnamed Institution],English,,,,﻿Berkely County,﻿Berkeley County,﻿Martinsburg,﻿Martinsburg,﻿VA,,39.455404,-77.964527,,,,﻿jam_strain_901,﻿Rev.,﻿James Strain,,,,,,,,1839,,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0012,﻿station,[Unnamed Institution],English,,,,,,﻿Winchester,,﻿VA,﻿VA,39.18566,-78.163334,,,﻿occasionally,﻿ric_whelan_901,﻿Rev.,﻿Richard Whelan,,,,,,,,1839,,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0012,﻿station,[Unnamed Institution],English,,,,,,﻿Winchester,,﻿VA,,39.18566,-78.163334,,,,﻿jam_strain_901,﻿Rev.,﻿James Strain,,,,,,,,1839,,﻿,﻿,﻿Richmond,Richmond
﻿bal.md.9013,﻿station,[Unnamed Institution],English,,,,,﻿Loudoun County,﻿Waterford,﻿Waterford,﻿VA,﻿VA,39.186667,-77.61,,,﻿occasionally,﻿ric_whelan_901,﻿Rev.,﻿Richard Whelan,,,,,,,,1839,,﻿,﻿,﻿Richmond,Richmond
﻿bal.md.9013,﻿station,[Unnamed Institution],English,,,,,﻿Loudoun County,﻿Waterford,﻿Waterford,﻿VA,,39.186667,-77.61,,,,﻿jam_strain_901,﻿Rev.,﻿James Strain,,,,,,,,1839,,﻿,﻿,﻿Richmond,Richmond
