instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿ric.va.0001,﻿cathedral,﻿St. Peter's,English,,﻿Church and residence corner 8th and Grace streets,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,﻿VA,37.540473,-77.435219,,,,﻿joh_w_mcgill_001,﻿Rt. Rev.,﻿John McGill,﻿D.D.,,,,,,,1864,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0001,﻿cathedral,﻿St. Peter's,English,,﻿Church and residence corner 8th and Grace streets,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,,37.540473,-77.435219,,,,﻿r_h_andrews_001,﻿Rev.,﻿R. H. Andrews,,,,,,,,1864,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0001,﻿cathedral,﻿St. Peter's,English,,﻿Church and residence corner 8th and Grace streets,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,,37.540473,-77.435219,,,,﻿mcmullen_001,﻿Rev. Fr.,﻿McMullen,,,,,,,,1864,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0001,﻿cathedral,﻿St. Peter's,English,,﻿Church and residence corner 8th and Grace streets,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,,37.540473,-77.435219,,,,﻿joh_p_hagan_001,﻿Rev.,﻿John Hagan,,,,,,,,1864,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0002,﻿church,﻿St. Mary's,﻿German,,﻿4th and Marshall street,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,﻿VA,37.557013,-77.458806,,,,﻿leo_meyer_001,﻿Rev.,﻿Leonard Mayer,﻿O.S.B.,,,,,,,1864,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0003,﻿church,﻿St. Patrick's,English,,﻿25th street,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,﻿VA,37.531115,-77.418886,,,,﻿joh_teeling_001,﻿Rev.,﻿J. Teeling,﻿D.D.,,,,,,,1864,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0006,﻿church,﻿St. Mary's of the Immaculate Conception,English,,,,﻿Spottsylvania County,,﻿Fredericksburgh,﻿Fredericksburgh,﻿VA,﻿VA,38.297029,-77.476471,﻿ric.va.0001,﻿Visited from Richmond,,,,,,,,,,,,1864,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0005,﻿church,﻿St. Mary's,English,,,,,,﻿Alexandria,﻿Alexandria,﻿VA,﻿VA,38.801903,-77.043898,,,,﻿pet_p_kroes_001,﻿Rev.,﻿P. P. Kroes,﻿S.J.,,,,,,,1864,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0005,﻿church,﻿St. Mary's,English,,,,,,﻿Alexandria,﻿Alexandria,﻿VA,,38.801903,-77.043898,,,,﻿joh_barrister_001,﻿Rev.,﻿John Barrister,﻿S.J.,,,,,,,1864,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0005,﻿church,﻿St. Mary's,English,,,,,,﻿Alexandria,﻿Alexandria,﻿VA,,38.801903,-77.043898,,,,﻿bixio_001,﻿Rev.,﻿Joseph Bixio,﻿S.J.,,,,,,,1864,﻿,﻿,﻿Richmond,Richmond
