instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe,,﻿Rochester,,﻿NY,,43.16005,-77.619701,,,,﻿ber_j_mcquaid_001,﻿Rt. Rev.,﻿Bernard J. McQuaid,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe,,﻿Rochester,,﻿NY,,43.16005,-77.619701,,,,﻿jam_m_early_001,﻿Very Rev.,﻿James M. Early,﻿V.G.,﻿Rector,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0002,﻿church,﻿St. Joseph's,﻿German,,,,﻿Monroe,,﻿Rochester,,﻿NY,,43.159434,-77.60657,,,,﻿geo_ruland_001,﻿Rev.,﻿Geo Roland,﻿C.SS.R.,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0003,﻿church,﻿St. Mary's,English,,,,﻿Monroe,,﻿Rochester,,﻿NY,,43.15325,-77.606071,,,,﻿pet_barker_001,﻿Rev.,﻿Peter Barker,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0004,﻿church,﻿Immaculate Conception,English,,,,﻿Monroe,,﻿Rochester,,﻿NY,,43.146678,-77.616783,,,,﻿pat_byrnes_002,﻿Rev.,﻿Patrick Byrnes,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0005,﻿church,﻿St. Bridget's,English,,,,﻿Monroe,,﻿Rochester,,﻿NY,,43.166908,-77.612105,,,,﻿nic_byrne_001,﻿Rev.,﻿Nicholas Byrne,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0006,﻿church,﻿St. Peter's,﻿German,,,,﻿Monroe,,﻿Rochester,,﻿NY,,43.155075,-77.626425,,,,﻿f_sinclair_001,﻿Rev.,﻿F. Sinclair,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0007,﻿church,﻿St. Boniface's,﻿German,,,,﻿Monroe,,﻿Rochester,,﻿NY,,43.142736,-77.603137,,,,﻿j_f_payer_001,﻿Rev.,﻿J. F. Payer,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0008,﻿church,﻿Our Lady of Victory,﻿French,,,,﻿Monroe,,﻿Rochester,,﻿NY,,43.159031,-77.60895,,,,﻿h_de-regge_001,﻿Rev.,﻿H. de Regge,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0009,﻿church,﻿Holy Family,﻿German,,,,﻿Monroe,,﻿Rochester,,﻿NY,,43.158849,-77.644416,,,,﻿leo_hoffschneider_001,﻿Rev.,﻿Leopold Hoffschneider,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0010,﻿church,﻿Most Holy Redeemer,﻿German,,,,﻿Monroe,,﻿Rochester,,﻿NY,,43.175634,-77.59839,﻿roc.ny.0063,﻿attended from the Redemptorist Convent,,,,,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0011,﻿church,﻿Nativity of the B.V.M.,English,,,,﻿Monroe,,﻿Brockport,,﻿NY,,43.213671,-77.93918,,,,﻿ric_j_storey_001,﻿Rev.,﻿Richard J. Storey,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0012,﻿church,﻿St. John Evangelist,English,,,,﻿Monroe,,﻿Spencerport,,﻿NY,,43.18645,-77.803897,,,,﻿ric_j_storey_001,﻿Rev.,﻿Richard J. Storey,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0013,﻿church,﻿Assumption of the B.V.M.,English,,,,﻿Monroe,,﻿Fairport,,﻿NY,,43.098674,-77.441938,,,,﻿l_j_miller_001,﻿Rev.,﻿L. J. Miller,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0014,﻿church,﻿Mother of Sorrows,English,,,,﻿Monroe,,﻿Greece,,﻿NY,,43.252634,-77.658869,,,,﻿joh_m_maurice_001,﻿Rev.,﻿John M. Maurice,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0015,﻿church,﻿Holy Cross,English,,,,﻿Monroe,,﻿Charlotte,,﻿NY,,43.234975,-77.622109,,,,﻿joh_m_maurice_001,﻿Rev.,﻿John M. Maurice,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0016,﻿church,﻿St. John Evangelist's,English,,,,﻿Monroe,,﻿Ridge,,﻿NY,,43.299429,-74.217933,,,,﻿joh_m_maurice_001,﻿Rev.,﻿John M. Maurice,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0017,﻿church,﻿Assumption,English,,,,﻿Monroe,,﻿Scottsville,,﻿NY,,43.025896,-77.745283,,,,﻿m_j_loughlin_001,﻿Rev.,﻿M. J. Loughlin,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0018,﻿church,﻿St. Patrick's,English,,,,﻿Monroe,,﻿Mumfordville,,﻿NY,,42.976653,-77.855771,,,,﻿m_j_loughlin_001,﻿Rev.,﻿M. J. Loughlin,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0019,﻿church,﻿St. Fechan,English,,,,﻿Monroe,,﻿Chili,,﻿NY,,43.11387,-77.755043,,,,﻿m_j_loughlin_001,﻿Rev.,﻿M. J. Loughlin,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0020,﻿church,﻿St. Paul's,English,,,,﻿Monroe,,﻿Honeoye Falls,,﻿NY,,42.952286,-77.590276,﻿roc.ny.0024,﻿Attended from Lima,,,,,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0021,﻿church,﻿Holy Trinity,﻿German,,,,﻿Monroe,,﻿Webster,,﻿NY,,43.212285,-77.429994,,,,﻿a_hechinger_001,﻿Rev.,﻿A. Hechinger,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0022,﻿church,﻿St. Agnes',English,,,,﻿Livingston,,﻿Avon,,﻿NY,,42.91351,-77.745194,,,,﻿joh_l_okeefe_001,﻿Rev.,﻿John L. O'Keefe,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0023,﻿church,﻿St. Joseph's,English,,,,﻿Livingston,,﻿Rush,,﻿NY,,42.142423,-73.777916,,,,﻿joh_l_okeefe_001,﻿Rev.,﻿John L. O'Keefe,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0024,﻿church,﻿St. Rose's,English,,,,﻿Livingston,,﻿Lima,,﻿NY,,42.904786,-77.611387,,,,﻿wil_a_gregg_001,﻿Rev.,﻿William A. Gregg,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0025,﻿church,﻿St. Michael's,English,,,,﻿Livingston,,﻿Livonia,,﻿NY,,42.821734,-77.638921,,,,﻿wil_a_gregg_001,﻿Rev.,﻿William A. Gregg,,,,,,,,1869,﻿,﻿,﻿Rochester,Rochester
