instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persRole,persSuffix,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿j_b_lamy_002,﻿Rt. Rev.,﻿J. B. Lamy,,﻿D.D.,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿pet_eguillon_002,﻿Very. Rev.,﻿Peter Eguillon,﻿Rector,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿pet_martin_001,﻿Rev.,﻿Peter Martin,﻿Assistant,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿jos_m_merle_001,﻿Rev.,﻿Joseph M. Merle,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0002,﻿chapel,﻿Chapel of N. Sen. del Rosario,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.694414,-105.947463,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0003,﻿chapel,﻿Chapel of Na. Senora de Guadelupe,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.68691,-105.944978,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0004,﻿chapel,﻿Chapel of San Miguel,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.683511,-105.937693,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0160_02,﻿chapel,﻿Chapel of Na. Señora de la Luz,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.674809,-105.915497,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0006,﻿chapel,﻿Chapel of San Isidro,English,,,﻿Santa Fé,,,﻿Aguafria,﻿Aguafria,﻿NM,,35.541607,-105.584027,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0007,﻿chapel,﻿Chapel of San José,English,,,﻿Santa Fé,,,﻿Cienega,﻿Cienega,﻿NM,,35.658339,-106.01428,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0008,﻿chapel,﻿Chapel of N. Sen. de los Remedios,English,,,﻿Santa Fé,,,﻿Galisteo,﻿Galisteo,﻿NM,,35.563995,-106.122801,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0009,﻿chapel,﻿Chapel of N. Sen. de los Angeles,English,,,﻿Santa Fé,,,﻿Pecos,﻿Pecos,﻿NM,,35.395378,-105.94695,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0219,﻿chapel,[Unnamed Institution],English,,,﻿Peña Blanca,,,﻿Placer de Dolores,,﻿NM,,,,,﻿Attended from Santo Domingo,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0124,﻿chapel,﻿Chapel of San Buenaventura,English,,,﻿Peña Blanca,,,﻿Placer de San Francisco,,﻿NM,,33.702639,-106.987929,,﻿Attended from Santo Domingo,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0010,﻿chapel,﻿Chapel of San Isidro,English,,,﻿Santa Fé,,,﻿Rio Tesuque,﻿Tesuque,﻿NM,,35.549994,-105.689158,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0011,﻿chapel,﻿Chapel of San Diego,English,﻿Pueblo Indians,,﻿Santa Fé,,,﻿Tesque,﻿Tesuque Pueblo,﻿NM,,35.757876,-105.924082,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0013,﻿church,﻿Santa Rosa's Chapel,English,,,﻿Abiquiu,,,﻿Abiquiu,﻿Abiquiu,﻿NM,,,,,,,﻿p_bernall_001,﻿Rev.,﻿P. Bernall,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0014,﻿chapel,[Unnamed Institution],English,,,﻿Abiquiu,,,﻿El Rito,﻿El Rito,﻿NM,,36.209999,-106.290624,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0233,﻿chapel,﻿San Juan Nepomuceno,English,,,﻿Abiquiu,,,,,﻿NM,,36.34419,-106.188391,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0015,﻿chapel,[Unnamed Institution],English,,,﻿Abiquiu,,,﻿Los Ancones,﻿Ancones,﻿NM,,36.344236,-106.188487,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0016,﻿chapel,[Unnamed Institution],English,,,﻿Abiquiu,,,﻿Servieta,,﻿NM,,36.423908,-106.063076,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0017,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿El Jo Caliente,﻿Ojo Caliente,﻿NM,,36.553302,-105.935549,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0022,﻿church,﻿Parish Church of San Felipe de Neri,English,,,﻿Albuquerque,,,﻿Albuquerque,﻿Albuquerque,﻿NM,,34.972731,-105.032363,,,,﻿joh_a_truchard_002,﻿Rev.,﻿John Augustine Truchard,,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0022,﻿church,﻿Parish Church of San Felipe de Neri,English,,,﻿Albuquerque,,,﻿Albuquerque,﻿Albuquerque,﻿NM,,34.972731,-105.032363,,,,﻿dam_taladrid_002,﻿Rev.,﻿Damaso Taladrid,﻿Assistant,,,,,,,1865,﻿,﻿,﻿Santa Fe,SantaFe
