instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿scr.pa.0001,﻿church,﻿Church of St. Vincent de Paul,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.662412,,,,﻿wm_ohara_001,﻿Rt. Rev.,﻿Wm. O'Hara,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0001,﻿church,﻿Church of St. Vincent de Paul,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.662412,,,,﻿mos_whitty_001,﻿Rev.,﻿Moses Whitty,,,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0001,﻿church,﻿Church of St. Vincent de Paul,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.662412,,,,﻿den_oharan_002,﻿Rev.,﻿Denis O'Haran,,,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0001,﻿church,﻿Church of St. Vincent de Paul,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.662412,,,,﻿sam_s_mattingly_001,﻿Rev.,﻿Samuel S. Mattingly,,,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0002,﻿church,﻿St. Simon the Apostle,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.662412,,,,﻿edm_w_fitzmaurice_001,﻿Rev.,﻿Edmund W. Fitzmaurice,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0005,﻿church,﻿St. Bonaventure's,English,,,,﻿Luzerne County,﻿Luzerne County,﻿Scranton,﻿Pittston,﻿PA,,41.325913,-75.78936,,,,﻿j_schelle_001,﻿Rev.,﻿J. Schelle,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0003,﻿church,﻿St. Thaddeus',English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.662412,﻿scr.pa.0010,﻿Attended from St. Vincent's,﻿every Sunday,,,,,,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0105,﻿church,﻿Immaculate Conception,English,,,,﻿Luzerne County,,﻿Wilkesbarre,﻿Wilkes-Barre,﻿PA,,41.24113994,-75.88423638,,,,﻿hen_fitzsimmons_001,﻿Rev.,﻿Henry Fitzsimmons,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0009,﻿church,﻿St. Nicholas',﻿German,,,,﻿Luzerne County,﻿Luzerne County,﻿Wilkesbarre,﻿Wilkes-Barre,﻿PA,,41.24114,-75.884236,,,,﻿pet_c_nagel_001,﻿Rev.,﻿Peter C. Nagel,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0010,﻿church,[Unnamed Institution],English,,,,﻿Luzerne County,﻿Luzerne County,﻿Plymouth,﻿Plymouth,﻿PA,,41.24036,-75.944643,,"﻿Attended from Immaculate Conception, Wilkesbarre",﻿once a month,,,,,,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0011,﻿church,[Unnamed Institution],English,,,,﻿Luzerne County,﻿Luzerne County,﻿Nanticoke,﻿Nanticoke,﻿PA,,41.20536,-76.004923,,"﻿Attended from Immaculate Conception, Wilkesbarre",﻿once a month,,,,,,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0020,﻿church,﻿St. Rose of Lima,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Carbondale City,﻿Carbondale,﻿PA,,41.573694,-75.501851,,,,﻿fra_carew_001,﻿Rev.,﻿Francis Carew,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0018,﻿church,﻿St. Thomas Aquin,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Archibald,﻿Archbald,﻿PA,,41.494804,-75.536852,,,,﻿joh_laughran_001,﻿Rev.,﻿John Laughran,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0019,﻿church,﻿St. Patrick,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Oliphant,﻿Olyphant,﻿PA,,41.468414,-75.602966,,﻿Attended from Archibald,﻿every second Sunday,,,,,,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0017,﻿church,﻿St. Catharine of Sienna,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Moscow,﻿Moscow,﻿PA,,41.337035,-75.521696,﻿scr.pa.0002,﻿attended from St. Simons's,﻿last Sunday of the month,,,,,,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0006,﻿church,﻿St. John Evangelist,English,,,,﻿Luzerne County,﻿Luzerne County,﻿Pittston,﻿Pittston,﻿PA,,41.322732,-75.788943,,,,﻿joh_finnan_001,﻿Rev.,﻿John Finnan,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0007,﻿church,﻿St. Mary's,﻿German,,,,﻿Luzerne County,﻿Luzerne County,﻿Pittston,﻿Pittston,﻿PA,,41.337916,-75.786236,﻿scr.pa.0009,﻿Attended from Wilkesbarre,﻿once a month,,,,,,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0012,﻿church,﻿St. Gabriel,English,,,,﻿Luzerne County,﻿Luzerne County,﻿Hazleton,﻿Hazleton,﻿PA,,40.950892,-75.975941,,,,﻿mic_filan_001,﻿Rev.,﻿Michael Filan,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿phi.pa.0280,﻿church,﻿St. Mary Help of Christians,English,,,,﻿Luzerne County,,﻿Frenchtown,,﻿PA,,41.611944,-80.021667,,﻿Attended from Hazleton,﻿every second Sunday,,,,,,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0111,﻿church,[Unnamed Institution],English,,,,﻿Luzerne County,,﻿Silver Brook,,﻿PA,,,,,﻿Attended from Hazleton,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
﻿scr.pa.0013,﻿church,﻿Immaculate Conception,English,,,,﻿Luzerne County,﻿Luzerne County,﻿Eckley,,﻿PA,,40.995238,-75.85601,,,,﻿joh_a_mullen_001,﻿Rev.,﻿John A. Mullen,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Scranton,Scranton
