instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,order,diocese,diocese_reg
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.6425481522019,-90.2546545257502,,,,,,,﻿Right Rev.,﻿Joseph Rosati,﻿D. D.,,,,,,1836,,1835.0,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.6425481522019,-90.2546545257502,,,,,,,﻿Very Rev.,﻿Philip Borgna,,,,,,,1836,,1835.0,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.6425481522019,-90.2546545257502,,,,,,,﻿Rev.,﻿Joseph A. Lutz,,,,,,,1836,,1835.0,StLouis
﻿stl.mo.0046,﻿church,﻿St. Vincent's,﻿English,,,,﻿Cape Girardeau County,,﻿Cape Girardeau,﻿Cape Girardeau,﻿MO,,38.6425481522019,-90.2546545257502,,,﻿attended by a priest from the Seminary at the Barrens,,,,,,,,,,,,1836,,1835.0,StLouis
﻿stl.mo.9000,﻿church,﻿Church of our Lady of Mount Carmel,﻿French,﻿Commonly called Vide-Poche. Service three Sundays in the month.,,,﻿St. Louis County,﻿St. Louis County,﻿Carondelet,﻿St. Louis,﻿MO,﻿MO,38.557901101626,-90.2499807605747,,,,,,,﻿Rev.,﻿E. Saulnier,,,,,,,1836,,1835.0,StLouis
﻿stl.mo.9001,﻿church,not recorded,English,,,,﻿St. Charles County,﻿St. Charles County,﻿Dardennes,﻿Dardenne Prairie,﻿MO,﻿MO,38.7576524399008,-90.7439890188443,,,,,,,﻿Rev.,﻿P. Hoecken,,,﻿This Gentleman attends a very large mission in the Upper Counties of the State,,,,1836,,1835.0,StLouis
﻿stl.mo.0062,﻿church,﻿St. Ferdinand's Church,﻿French and English,,,,,﻿St. Louis County,﻿Florissant,﻿Florissant,﻿MO,﻿MO,38.806726468749105,-90.35444261460958,,,,,,,﻿Rev.,﻿J. G. Buschotts,,,,,,,1836,,1835.0,StLouis
﻿stl.mo.0066,﻿church,﻿St. Michael's,﻿French and English,,,,﻿Madison County,﻿Madison County,﻿Fredericktown,﻿Fredericktown,﻿MO,﻿MO,37.560050852051795,-90.2988838276844,,,,,,,﻿Rev.,﻿Francis Cellini,,,,,,,1836,,1835.0,StLouis
﻿stl.mo.9002,﻿church,﻿St. Peter's Church,English,,,,,﻿Morgan County,﻿Gravois,﻿Gravois Mill,﻿MO,﻿MO,38.3091882237426,-92.8227365439432,,,,﻿once a month,,,﻿Very Rev.,﻿Philip Borgna,,,,,,,1836,,1835.0,StLouis
﻿stl.mo.0103,﻿church,not recorded,﻿English and French,,,,,﻿New Madrid County,﻿New Madrid,﻿New Madrid,﻿MO,﻿MO,36.58754291,-89.5288075,,,,,,,﻿Rev.,﻿V. Paillasson,,,,,,,1836,,1835.0,StLouis
﻿stl.mo.0106,﻿church,﻿St. Joachim,﻿French and English,,,,﻿Washington County,﻿Washington County,﻿Old Mines,﻿Cadet,﻿MO,﻿MO,38.01610185,-90.75673622,,,,,,,﻿Rev.,﻿J. Bouillier,,,,,,,1836,,1835.0,StLouis
﻿stl.mo.0114,﻿church,not recorded,English,,,,﻿St. Louis County,﻿St. Charles County,﻿Portage des Sioux,﻿Portage des Sioux,﻿MO,﻿MO,38.92563742,-90.34453673,,,,,﻿once a month,,﻿Rev.,﻿L. Verreydt,,,,,,,1836,,1835.0,StLouis
﻿stl.mo.0115,﻿church,not recorded,English,,,,,﻿Washington County,﻿Potosi Mines,﻿Potosi,﻿MO,﻿MO,37.93719027,-90.78632244,,,,,,,﻿Rev.,﻿L. Tucker,,,﻿Dw. at Old Mines,,,,1836,,1835.0,StLouis
﻿stl.mo.9003,﻿church,﻿St. Ann,English,,,,﻿St. Genevive County,,,,﻿MO,,37.93719027,-90.78632244,,,,,﻿occasionally,,﻿Rev.,﻿F. X. Dahmen,,,,,,,1836,,1835.0,StLouis
﻿stl.mo.9004,﻿church,﻿St. Charles,﻿English and French,﻿Service 3 Sundays in the month,,,,,,,﻿MO,,37.93719027,-90.78632244,,,,,,,﻿Rev.,﻿Judocus Vanassche,,,,,,,1836,,1835.0,StLouis
﻿stl.mo.0136,﻿church,﻿St. Genevieve,"﻿French, German, and sometimes English",,,,,﻿Sainte Genevieve County,﻿St. Genevieve,﻿St. Genevieve,﻿MO,﻿MO,37.97912503,-90.04695014,,,,,,,﻿Rev.,﻿F. X. Dahmen,,,,,,,1836,,1835.0,StLouis
﻿stl.mo.0037,﻿church,﻿St. Joseph's,﻿English,,﻿Apple Creek settlement,,,﻿Perry County,,﻿Apple Creek,﻿MO,﻿MO,37.61339343,-89.75142333,,,,,,,﻿Rev.,﻿R. Loisel,,,,,,,1836,,1835.0,StLouis
