instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿boi.id.0001,﻿church,[Unnamed Institution],English,,,﻿District of Boise,,﻿Boise County,﻿Idaho City,﻿Idaho City,﻿ID,,43.828611,-115.832222,,,,﻿lou_lootens_001,﻿Rt. Rev.,﻿L. Lootens,﻿DD,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0001,﻿church,[Unnamed Institution],English,,,﻿District of Boise,,﻿Boise County,﻿Idaho City,﻿Idaho City,﻿ID,,43.828611,-115.832222,,,,﻿a_z_poulin_002,﻿Very Rev.,﻿A. Z. Poulin,,﻿Pastor,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0001,﻿church,[Unnamed Institution],English,,,﻿District of Boise,,﻿Boise County,﻿Idaho City,﻿Idaho City,﻿ID,,43.828611,-115.832222,,,,﻿a_perret_001,﻿Rev.,﻿A. Perret,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0003,﻿church,﻿St. Thomas',English,,,﻿District of Boise,,﻿Boise County,﻿Placerville,﻿Placerville,﻿ID,,43.942778,-115.946111,﻿boi.id.0001,﻿Attended from Idaho City,,,,,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0004,﻿church,﻿St. Dominick's,English,,,﻿District of Boise,,﻿Boise County,﻿Centreville,﻿Centerville,﻿ID,,43.912778,-115.892222,﻿boi.id.0001,﻿Attended from Idaho City,,,,,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0005,﻿church,﻿St. Francis',English,,,﻿District of Boise,,﻿Boise County,﻿Pioneer City,﻿Pioneerville,﻿ID,,43.968889,-115.846667,﻿boi.id.0001,﻿Attended from Idaho City,,,,,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0002,﻿church,[Unnamed Institution],English,,,﻿District of Boise,,﻿Ada County,﻿Boise City,﻿Boise,﻿ID,,43.615833,-116.201667,﻿boi.id.0001,﻿Attended from Idaho City,,,,,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0012,﻿church,[Unnamed Institution],English,,,﻿District of Boise,,﻿Elmore County,﻿Rocky Car,﻿Rocky Bar,﻿ID,,43.689167,-115.29,﻿boi.id.0001,﻿Attended from Idaho City,,,,,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0013,﻿church,[Unnamed Institution],English,,,﻿District of Boise,,,﻿Yuba,,﻿ID,,,,﻿boi.id.0001,﻿Attended from Idaho City,,,,,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0007,﻿church,﻿St. Andrew's,English,,,﻿District of Owyhee,,﻿Owyhee County,﻿Silver City,﻿Silver City,﻿ID,,43.016944,-116.733056,,,,﻿t_mesplie_001,﻿Rev.,﻿T. Mesplie,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0007,﻿church,﻿St. Andrew's,English,,,﻿District of Owyhee,,﻿Owyhee County,﻿Silver City,﻿Silver City,﻿ID,,43.016944,-116.733056,,,,﻿kil_coll_001,﻿Rev.,﻿Kil. Coll.,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0014,﻿church,[Unnamed Institution],English,,,﻿District of Owyhee,,﻿Owyhee County,﻿Owyhee City,﻿Owyhee,﻿ID,,,,,,,,,,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0025,﻿church,[Unnamed Institution],English,,,﻿District of Owyhee,,,﻿Jordan Valley,,,﻿OR,42.977299,-117.053063,,,,,,,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0015,﻿church,[Unnamed Institution],English,,,﻿District of Idaho,,﻿Nez Perce,﻿Lewiston,﻿Lewiston,﻿ID,,46.41,-117.02,,,,﻿cataldo_001,﻿Rev. Father,﻿Cataldo,﻿S.J.,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0016,﻿church,[Unnamed Institution],English,,,﻿District of Idaho,,﻿Clearwater County,﻿Orofino,﻿Orofino,﻿ID,,46.485556,-116.242222,﻿boi.id.0015,﻿Attended from Lewiston,,,,,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0017,﻿church,[Unnamed Institution],English,,,﻿District of Idaho,,﻿Idaho County,﻿Elk City,﻿Elk City,﻿ID,,45.826944,-115.436667,﻿boi.id.0015,﻿Attended from Lewiston,,,,,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
﻿boi.id.0010,﻿church,[Unnamed Institution],English,,,﻿District of Idaho,,﻿Idaho County,﻿Florence,﻿Florence,﻿ID,,45.501111,-116.028333,﻿boi.id.0015,﻿Attended from Lewiston,,,,,,,,,,,,1869,﻿,﻿,﻿VAIdaho,VAIdaho
