instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿oma.ne.0001,﻿church,﻿Church of St. Philomena,English,,,,,,﻿Omaha,﻿Omaha,﻿NE,﻿NE,41.256537,-95.934503,,,,﻿jam_ogorman_001,﻿Rt. Rev.,﻿James O'Gorman,﻿D.D.,﻿Bishop,,,,,,1869,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0001,﻿church,﻿Church of St. Philomena,English,,,,,,﻿Omaha,﻿Omaha,﻿NE,,41.256537,-95.934503,,,,﻿joh_curtis_001,﻿Rev.,﻿John Curtis,,﻿Pastor,,,,,,1869,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0001,﻿church,﻿Church of St. Philomena,English,,,,,,﻿Omaha,﻿Omaha,﻿NE,,41.256537,-95.934503,,,,,﻿Rev.,﻿--,,﻿Assistant,,,,,,1869,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0002,﻿church,[Unnamed Institution],﻿german,,,,,,﻿Omaha,﻿Omaha,﻿NE,﻿NE,41.20508,-95.984507,,,,﻿ott_groenebaum_001,﻿Rev.,﻿Ottoe Groenebaum,,﻿Pastor,,,,,,1869,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0013,﻿station,[Unnamed Institution],English,,,,,,﻿Brownsville,﻿Brownsville,﻿NE,﻿NE,40.397779,-95.658045,﻿oma.ne.0006,﻿attended from Rulo,,,,,,,,,,,,1869,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0011,﻿station,[Unnamed Institution],English,,,,,,﻿Arago,﻿Arago,﻿NE,﻿NE,40.1173,-95.498756,﻿oma.ne.0006,﻿attended from Rulo,,,,,,,,,,,,1869,﻿,﻿,﻿VANebraska,VANebraska
﻿che.wy.0001,﻿church,﻿Church of St. Mary of the Plains,English,,,﻿Territory of Wyoming,,,﻿Cheyenne,﻿Cheyenne,﻿WY,﻿WY,41.14,-104.820278,,,,﻿wil_kelly_002,﻿Rev.,﻿William Kelley,,﻿Pastor,,,,,,1869,﻿,﻿,﻿VANebraska,VANebraska
﻿che.wy.0001,﻿church,﻿Church of St. Mary of the Plains,English,,,﻿Territory of Wyoming,,,﻿Cheyenne,﻿Cheyenne,﻿WY,,41.14,-104.820278,,,,,﻿Rev.,﻿--,,﻿Assistant-Pastor,,,,,,1869,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0004,﻿church,[Unnamed Institution],﻿german,,,,﻿Platte County,,﻿Columbus,﻿Columbus,﻿NE,﻿NE,41.430297,-97.35939,,,,﻿jam_ryan_001,﻿Rev.,﻿James Ryan,,﻿Pastor,,,,,,1869,﻿,﻿,﻿VANebraska,VANebraska
﻿oma.ne.0015,﻿church,[Unnamed Institution],English,,,,,,﻿Cottonwood Springs,,﻿NE,﻿NE,41.016111,-100.5175,﻿oma.ne.0004,﻿attended from Columbus,,,,,,,,,,,,1869,﻿,﻿,﻿VANebraska,VANebraska
