instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,courses,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿vin.in.0001,﻿church,﻿St. Frances Xavier,English,,,,,,﻿Vincennes,,﻿IN,,38.679024,-87.53415,,,,﻿sim_g_bruté_901,﻿Right Rev.,﻿Simon G. Bruté,﻿D. D.,,,,,,,1835,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.0090,﻿church,[Unnamed Institution],English,,﻿Black Oak Ridge,,﻿Davies County,,,,﻿IN,,38.66456,-87.046859,,,,﻿sim_lalumiere_901,﻿Rev.,﻿Simon Lalumiere,,,,,,,,1835,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.9005,﻿church,[Unnamed Institution],English,,﻿Duchee River,,,,,,﻿IN,,,,,,,,,,,,,,,,,1835,,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.0081,﻿church,[Unnamed Institution],English,,,,,,﻿Logansport,,﻿IN,,40.75247502,-86.37526621,,﻿[visited] occasionally by the Rev. S. T. Badin,﻿occasionally,﻿s_t_badin_901,﻿Rev.,﻿S. T. Badin,,,,,,,,1835,,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.0001,﻿church,[Unnamed Institution],English,﻿church not yet dedicated,,,,,﻿Fort Wayne,,﻿IN,,41.080556,-85.139167,,﻿[visited] occasionally by the Rev. S. T. Badin,﻿occasionally,﻿s_t_badin_901,﻿Rev.,﻿S. T. Badin,,,,,,,,1835,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.9031,﻿church,[Unnamed Institution],English,,﻿Racoon Creek,,,,,,﻿IN,,,,,,,,,,,,﻿Vacant,,,,,1835,,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.0055,﻿church,[Unnamed Institution],English,,,,,,﻿Independence,,﻿IN,,40.337778,-87.171667,,,,,,,,,﻿Vacant,,,,,1835,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.9032,﻿church,[Unnamed Institution],English,,,,,,﻿Mossissinoway,﻿Mississinewa,﻿IN,,40.680603,-85.884261,,,,,,,,,﻿Vacant,,,,,1835,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.0093,﻿church,[Unnamed Institution],English,,,,,,﻿Mount Pleasant,,﻿IN,,,,,,,,,,,,,,,,,1835,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.9000,﻿convent,﻿St. Clare's Convent,English,"﻿English, French, Arithmetic, Geography, History, Rhetoric, Plain Sewing, Marking and Ornamental Needle-work, Drawing, Painting in water colors, Fancy work and Embroidery, Spelling, Reading, Writing, Grammar and Syntax, music (piano forte and guitar)",,,,,﻿Vincennes,,﻿IN,,38.6775,-87.501944,,,,,,,,,,,,﻿manage[d] and govern[ed] [by] Sisters of Charity,,1835,,﻿,﻿,﻿Vincennes,Vincennes
