instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿vin.in.0001,﻿cathedral,﻿Cathederal of St. Frances Xavier,English,,,,,﻿Knox County,﻿Vincennes,,﻿IN,,﻿38.679024,﻿-87.53415,,,,﻿sim_g_bruté_901,﻿Right Rev.,﻿Simon G. Bruté,﻿D. D.,,,,,,,1836,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.0090,﻿church,﻿St. Peter's,English,,﻿Black Oak Ridge,,﻿Davies County,,,﻿Montgomery,﻿IN,,﻿38.66456,﻿-87.046859,,,,﻿sim_lalumiere_901,﻿Rev.,﻿Simon Lalumiere,,,,,,,,1836,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.9003,﻿church,﻿St. Mary's,English,,﻿Black Oak Ridge,,﻿Davies County,,,,﻿IN,,﻿38.6625,﻿-87.081111,,,,﻿sim_lalumiere_901,﻿Rev.,﻿Simon Lalumiere,,,,,,,,1836,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.9004,﻿church,[Unnamed Institution],English,,﻿an Indian Village on the Tippecanoa,,,,﻿Chicocos,,﻿IN,,,,,,,﻿deseille_902,﻿Rev. Mr.,﻿Deseille,,,﻿of Michigan,,,,,1836,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.9005,﻿church,[Unnamed Institution],English,,﻿Duchee River,,,,,,﻿IN,,,,,,﻿occasionally,,,,,,,,,,,1836,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.0033,﻿church,﻿St. John's,English,,,,﻿Dearborn County,,﻿Dover,,﻿IN,,﻿39.244488,﻿-84.94799,,,﻿[visited] every other Sunday [by] Rev. Jos. Ferneding,﻿jos_ferneding_001,﻿Rev.,﻿Jos. Ferneding,,,,,,,,1836,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.9005,﻿church,﻿St. Joseph's,English,,,,﻿Allen County,,﻿Fort Wayne,,﻿IN,,﻿40.978014,﻿-85.081991,,,,﻿mat_f_ruff_901,﻿Rev.,﻿Matthew Ruff,,,,,,,,1836,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.0001,﻿church,﻿St. Mary's,English,,,,﻿Allen County,,﻿Fort Wayne,,﻿IN,,﻿41.080556,﻿-85.139167,,,,﻿mat_f_ruff_901,﻿Rev.,﻿Matthew Ruff,,,,,,,,1836,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.9007,﻿church,[Unnamed Institution],English,,,,,,﻿Huntingdon,,﻿IN,,﻿40.880556,﻿-85.506389,,,,﻿mat_f_ruff_901,﻿Rev.,﻿Matthew Ruff,,,,,,,,1836,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.0081,﻿church,[Unnamed Institution],English,,,,﻿Cass County,,﻿Logansport,,﻿IN,,﻿40.752475,﻿-86.375266,,,﻿visited occasionally,,,,,,,,,,,1836,﻿,﻿,﻿Vincennes,Vincennes
