instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿whe.va.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, Hampden street, in rear of cathedral",﻿Fifth street,,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.07805,-80.727094,,,,﻿ric_v_whelan_001,﻿Rt. Rev.,﻿Richard V. Whelan,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, Hampden street, in rear of cathedral",﻿Fifth street,,,,﻿Wheeling,﻿Wheeling,﻿VA,,40.07805,-80.727094,,,,﻿joh_sullivan_002,﻿Rev.,﻿John Sullivan,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, Hampden street, in rear of cathedral",﻿Fifth street,,,,﻿Wheeling,﻿Wheeling,﻿VA,,40.07805,-80.727094,,,,﻿hen_hoffman_002,﻿Rev.,﻿Henry Hoffman,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0002,﻿church,﻿St. Alphonsus',﻿German,"﻿Residence, in the rear of the church","﻿Market Street, Centre Wheeling",,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.061027,-80.723717,,,,﻿pet_kreusch_001,﻿Rev.,﻿Peter Kreusch,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0002,﻿church,﻿St. Alphonsus',﻿German,"﻿Residence, in the rear of the church","﻿Market Street, Centre Wheeling",,,,﻿Wheeling,﻿Wheeling,﻿VA,,40.061027,-80.723717,,,,﻿leo_kircher_001,﻿Rev.,﻿Leonard Kircher,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0081_02,﻿chapel,﻿Chapel of St. Joseph,English,,﻿Wheeling Hospital,,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.05909,-80.684821,﻿whe.va.0001,﻿Attended from the Cathedral,﻿Daily,﻿rob_keleher_001,﻿Rev.,﻿Robert Keleher,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0004,﻿chapel,﻿Chapel of St. Joseph's Academy,English,,﻿St. Joseph's Academy,,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.063962,-80.720915,﻿whe.va.0085,﻿Attended from the Seminary,,﻿aug_p_louage_001,﻿Rev.,﻿Aug. Louage,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0005,﻿church,[Unnamed Institution],English,﻿Residence at present of Rev.,,,,﻿Washington County,﻿Abingdon,﻿Abingdon,,﻿VA,36.709833,-81.977348,,,,﻿mic_duggan_001,﻿Rev.,﻿Michael Duggan,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0006,﻿church,﻿St. John's,English,,,,,,﻿Benwood,﻿Benwood,﻿VA,﻿WV,40.01637,-80.73465,﻿whe.va.0001,﻿Visited from Wheeling,﻿monthly,,,,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0007,﻿church,[Unnamed Institution],English,,,,,﻿Brooke County,﻿Bethany,﻿Bethany,﻿VA,﻿WV,40.205627,-80.556738,﻿whe.va.0070,﻿Attended from Wellsburgh,﻿monthly,,,,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0008,﻿church,[Unnamed Institution],English,,,,﻿Upshur County,﻿Randolph County,,,﻿VA,﻿WV,38.809255,-80.008775,﻿whe.va.0073,﻿Attended from Weston,,,,,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0009,﻿station,[Unnamed Institution],English,,﻿Braxton Court-House,,,﻿Braxton County,﻿Braxton Court-House,,﻿VA,﻿WV,38.702337,-80.721442,,,﻿attended occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0010,﻿church,[Unnamed Institution],English,,,,,﻿Harrison County,﻿Bridgeport,﻿Bridgeport,﻿VA,﻿WV,39.286479,-80.256198,﻿whe.va.0018,﻿Attended from Clarksburgh,﻿monthly,,,,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0011,﻿church,[Unnamed Institution],English,﻿Church likely to be erected soon.,﻿on Tennesse line,,,,﻿Bristol,﻿Bristol,,﻿VA,36.595142,-82.188737,﻿whe.va.0005,﻿Attended from Abingdon,,,,,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0012,﻿church,[Unnamed Institution],English,,,,,﻿Putnam County,﻿Buffalo,﻿Buffalo,﻿VA,﻿WV,38.617586,-81.981804,﻿whe.va.0016,﻿Attended from Charleston,,,,,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0013,﻿church,[Unnamed Institution],English,,,,,,﻿Burning Springs,﻿Burning Springs,﻿VA,﻿WV,38.981193,-81.314007,﻿whe.va.0047,﻿Attended from Parkersburgh,﻿monthly,,,,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0014,﻿church,[Unnamed Institution],English,﻿A church will soon be erected here,,,,﻿Marshall County,﻿Cameron,﻿Cameron,﻿VA,﻿WV,38.597626,-80.454903,﻿whe.va.0042,﻿Attended from Moundsville,﻿monthly,,,,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0015,﻿church,[Unnamed Institution],English,,,,,,﻿Cannelton,﻿Cannelton,﻿VA,﻿WV,38.194272,-81.295945,﻿whe.va.0016,﻿Attended from Charleston,﻿monthly,,,,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0016,﻿church,[Unnamed Institution],English,﻿Residence of Rev. Joseph Stenger.  A church is now in course of construction,,,,﻿Kanawha County,﻿Charleston,﻿Charleston,﻿VA,﻿WV,38.34982,-81.632623,,,﻿Mass twice in the month,﻿jos_stenger_001,﻿Rev.,﻿Joseph Stenger,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0017,﻿church,[Unnamed Institution],English,,,,,﻿Wood County,﻿Claysville,﻿Davisville,﻿VA,﻿WV,39.201187,-81.498455,﻿whe.va.0047,﻿Attended from Parkersburgh,﻿monthly,,,,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0018,﻿church,﻿Church of the Immaculate Conception,English,,,,,﻿Harrison County,﻿Clarksburgh,﻿Clarksburg,﻿VA,﻿WV,39.279506,-80.332574,,,,﻿dan_oconnor_002,﻿Rev.,﻿Daniel O'Connor,,﻿Resident Pastor,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0019,﻿church,[Unnamed Institution],English,﻿Church to be erected here,,,,,﻿Coalburgh,﻿Coalburg,﻿VA,﻿WV,38.207603,-81.459282,﻿whe.va.0016,﻿Attended from Charleston,﻿monthly,,,,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0020,﻿church,﻿Church of the Holy Trinity,English,,,,,﻿Ritchie County,﻿Cornwallis,﻿Cornwallis,﻿VA,﻿WV,39.18223,-81.031299,﻿whe.va.0047,﻿Attended from Parkersburgh,﻿monthly,,,,,,,,,,,1869,﻿,﻿,﻿Wheeling,Wheeling
