diocese,dioceseID,year,dioceseInfo,editorialNote
Savannah,sav.ga,1866,"Climate- The soil and the climate of Georgia invite settlers to come here and work to their own advantage the agricultural resources of the State, which are inexhaustible. Catholics are not advised to settle in the midst of sectarian districts, far from any Catholic church, where they and their children would be exposed to the danger of shipwreck in the faith. But if they understand gardening, and have a small capital, they will find, in the vicinity of cities, rich lots, which will repay well their industry.",
Savannah,sav.ga,1867,"Climate- The soil and the climate of Georgia invite settlers to come here and work to their own advantage the agricultural resources of the State, which are inexhaustible. Catholics are not advised to settle in the midst of sectarian districts, far from any Catholic church, where they and their children would be exposed to the danger of shipwreck in the faith. But if they understand gardening, and have a small capital, they will find, in the vicinity of cities, rich lots, which will repay well their industry.",
Savannah,sav.ga,1868,"Climate- The soil and the climate of Georgia invite settlers to come here and work to their own advantage the agricultural resources of the State, which are inexhaustible. Catholics are not advised to settle in the midst of sectarian districts, far from any Catholic church, where they and their children would be exposed to the danger of shipwreck in the faith. But if they understand gardening, and have a small capital, they will find, in the vicinity of cities, rich lots, which will repay well their industry.",
Savannah,sav.ga,1869,"Climate- The soil and the climate of Georgia invite settlers to come here and work to their own advantage the agricultural resources of the State, which are inexhaustible. Catholics are not advised to settle in the midst of sectarian districts, far from any Catholic church, where they and their children would be exposed to the danger of shipwreck in the faith. But if they understand gardening, and have a small capital, they will find, in the vicinity of cities, rich lots, which will repay well their industry.",
Savannah,sav.ga,1870,"Climate- The soil and the climate of Georgia invite settlers to come here and work to their own advantage the agricultural resources of the State, which are inexhaustible. Catholics are not advised to settle in the midst of sectarian districts, far from any Catholic church, where they and their children would be exposed to the danger of shipwreck in the faith. But if they understand gardening, and have a small capital, they will find, in the vicinity of cities, rich lots, which will repay well their industry.",
StPaul,stp.mn,1867,There are Catholic schools attached to nearly all the churches and chapels throughout the diocese.,
StPaul,stp.mn,1868,There are Catholic schools attached to nearly all the churches and chapels throughout the diocese.,
StPaul,stp.mn,1869,There are Catholic schools attached to nearly all the churches and chapels throughout the diocese.,
Buffalo,buf.ny,1868,There are schools attached to all the German and most of the other churches in the diocese.,
Louisville,lou.ky,1869,"In Louisville there are conferences of St. Vincent of Paul, connected with the cathedral, St. John's Church, St, Patrick's, St. Michael's, and St. Louis Bertrand's, numbering in all about 500 members, laboring with great zeal, and doing much good. The German congregations have also benevolent and mutual relief societies. The cathedral congregation has a charitable association of ladies under the title Mary and Martha Society, designed to procure clothing for the children of the poor.",
Boston,bos.ma,1869,Conferences of St. Vincent de Paul's Society are established in nearly all the city parishes,
Charleston,"sav.ga, cha.sc, vic.nc",1834,"There are 12 to 14 stations in other parts of Georgia, which are visited once or twice in the year.  Six or eight other stations in South Carolina are occasionally visited by the Bishop or one of his clergymen.  Several other stations in North Carolina are occasionally visited.",
StLouis,"stl.mo, alt.il, dub.ia, chi.il",1835,"After the above cluster, almanac says ""The Rev. gentlemen of the Seminary in this place, attend several stations in the lower counties.",
StLouis,"stl.mo, alt.il, dub.ia, chi.il",1836,"After the above cluster, almanac says ""The Rev. gentlemen of the Seminary in this place, attend several stations in the lower counties.""",
Charleston,"sav.ga, cha.sc, vic.nc",1835,"After the above cluster, almanac says ""Six or eight other stations in this State are visited by the Bishop, or one of his Clergymen.",
Wheeling,whe.wv,1865,"Sunday schools in most of the churches. Two of the priests of the diocese are temporarily absent, Rev. Henry Malone and Rev. Henry Hoffman.",
